股票代碼,公司名稱,當下價格,當下漲跌幅(%),外資昨日買超(張),外資前三日總買超(張),投信昨日買超(張),投信前三日總買超(張)
1605,華新,39.65,9.99,45862.54,109700.7,1012.43,4454.3
4973,廣穎,44.1,9.98,885.14,1323.39,0.0,0.0
3060,銘異,36.35,9.98,684.0,1950.0,0.0,0.0
2303,聯電,54.1,9.96,24654.71,44384.58,-8337.92,-21955.02
3576,聯合再生,9.32,9.9,-1456.5,512.5,0.0,0.0
2495,普安,33.3,9.9,114.05,696.02,0.0,0.0
2367,燿華,31.65,9.9,6024.0,2543.0,0.0,0.0
1717,長興,55.7,9.86,2609.74,4152.87,442.0,442.0
1303,南亞,64.7,9.85,20758.03,-6085.51,-3557.0,-15402.96
2014,中鴻,17.2,8.86,325.0,915.0,0.0,0.0
3709,鑫聯大投控,61.2,7.94,210.0,792.0,0.0,0.0
2027,大成鋼,37.5,6.99,-4725.5,-21558.06,11.0,8888.0
1301,台塑,40.65,6.41,155.87,-9156.43,0.0,-324.07
2002,中鋼,19.45,5.14,-6796.87,-16962.01,-133.0,-252.49
1608,華榮,40.0,4.17,1111.9,-466.42,-8.0,-24.27
2609,陽明,57.6,3.78,3486.55,5655.36,-187.0,-659.73
2603,長榮,195.5,3.17,196.88,-2738.69,-614.49,3545.86
2615,萬海,80.5,2.94,-791.6,-2340.66,-39.0,-52.82
