股票代碼,公司名稱,收盤價,近10日漲幅,成交量(張),量能比
1605,華新,39.65,30.21%,264591,1.56
1711,永光,22.3,15.54%,33664,4.92
1717,長興,55.7,35.19%,127396,4.27
1727,中華化,52.0,19.82%,18661,2.57
2014,中鴻,17.2,11.69%,39863,2.31
2313,華通,110.5,14.51%,141522,1.95
2337,旺宏,57.6,47.88%,465772,1.66
2344,華邦電,106.5,45.69%,351786,1.56
2367,燿華,31.65,11.84%,102198,3.11
2369,菱生,26.65,16.63%,32173,1.92
2409,友達,16.7,48.44%,852102,4.26
3189,景碩,175.0,21.53%,64764,1.68
3481,群創,22.15,75.1%,358140,5.55
3532,台勝科,119.0,26.87%,16280,2.21
4157,太景*-KY,14.85,22.73%,14863,2.2
6116,彩晶,10.6,42.86%,35250,4.14
6182,合晶,34.95,11.31%,47252,2.15
6188,廣明,118.0,16.83%,13118,3.1
6239,力成,205.5,19.48%,27622,2.1
8105,凌巨,15.0,32.16%,28057,6.19
8131,福懋科,68.4,21.49%,24436,2.38
8150,南茂,53.2,15.65%,66244,1.81
8431,匯鑽科,78.1,22.8%,10395,3.89
