股票代碼,公司名稱,收盤價,近10日漲幅,成交量(張),量能比
1519,華城,807.0,15.29%,11957,1.83
2323,中環,11.0,16.28%,63261,3.93
2331,精英,25.15,19.76%,34254,3.81
2344,華邦電,74.6,28.62%,543798,1.58
2406,國碩,27.0,31.71%,71622,3.57
2495,普安,28.95,3.39%,12126,1.79
2883,凱基金,17.05,8.25%,55022,1.56
3060,銘異,32.75,17.17%,27071,2.2
3105,穩懋,182.0,27.27%,31586,2.51
3163,波若威,399.0,25.47%,21434,2.02
4906,正文,27.9,6.49%,21859,1.78
4977,眾達-KY,147.0,18.55%,17891,3.62
4979,華星光,260.5,10.62%,24932,2.04
5498,凱崴,29.4,7.1%,36441,1.55
5521,工信,18.6,24.0%,29812,2.56
6133,金橋,20.2,19.17%,12533,3.73
8039,台虹,103.5,31.68%,42951,2.84
8074,鉅橡,39.5,8.82%,26888,2.82
8110,華東,54.6,47.77%,314670,2.91
