公司名稱,股票代碼,最新收盤價,標的債券,債券代號,轉換價格,差異百分比,股票成交量,股票5MA,可轉債成交量,可轉債5MA
合晶,6182,33.4,合晶八,61828,33.5,0.3,53306982,16123458.0,227,63.0
金山電,8042,62.5,金山電六,80426,60.0,-4.0,25165358,10340383.0,359,142.0
