股票代碼,公司名稱,最新收盤價,投信買超天數,投信5日淨買超,平均買超張數,5日最高價,5日最低價,價格波動率
1216,統一,75.7,5,33902799,6780,76.4,73.9,3.38%
1402,遠東新,29.05,5,69710855,13942,29.25,28.2,3.72%
1513,中興電,175.5,5,13866184,2773,185.5,175.0,6.00%
2317,鴻海,246.5,5,5002295,1000,270.5,246.0,9.96%
2344,華邦電,203.0,5,130383103,26076,225.0,201.0,11.94%
2376,技嘉,325.0,5,3735866,747,344.0,318.5,8.01%
2377,微星,139.0,5,10111369,2022,141.0,131.0,7.63%
2382,廣達,367.0,5,13173396,2634,381.0,357.0,6.72%
2412,中華電,142.0,5,9611592,1922,145.5,142.0,2.46%
2504,國產,32.75,5,13368949,2673,34.05,32.3,5.42%
2633,台灣高鐵,26.5,5,47660000,9532,26.75,25.65,4.29%
2845,遠東銀,13.1,5,50828740,10165,13.25,12.8,3.52%
2880,華南金,37.3,5,77694739,15538,38.0,36.25,4.83%
2884,玉山金,34.5,5,66155237,13231,36.35,34.35,5.82%
2886,兆豐金,46.2,5,110688621,22137,47.4,44.3,7.00%
2890,永豐金,39.5,5,97609573,19521,40.9,38.9,5.14%
2892,第一金,33.0,5,88162648,17632,33.25,32.0,3.91%
2903,遠百,23.45,5,4426000,885,23.8,22.95,3.70%
2912,統一超,224.0,4,2712175,542,230.5,221.0,4.30%
3045,台灣大,118.0,4,9675297,1935,120.5,118.0,2.12%
3231,緯創,154.5,5,31447649,6289,163.5,153.0,6.86%
3596,智易,188.0,5,2641364,528,195.5,179.5,8.91%
3706,神達,86.4,4,7574000,1514,89.2,83.5,6.83%
4904,遠傳,106.0,5,69179335,13835,110.0,104.0,5.77%
5876,上海商銀,42.8,5,37586000,7517,42.8,41.2,3.88%
8926,台汽電,76.9,5,6945000,1389,84.3,75.5,11.66%
