股票代碼,公司名稱,收盤價,近10日漲幅,成交量(張),量能比
1809,中釉,36.0,34.83%,23648,2.92
2301,光寶科,204.0,24.01%,98460,2.07
2327,國巨,389.0,31.86%,96857,1.65
2351,順德,183.0,21.19%,14140,1.7
2376,技嘉,317.0,15.27%,21918,2.15
2395,研華,476.5,33.66%,10464,2.0
2451,創見,312.5,24.25%,22628,1.59
2464,盟立,122.0,44.21%,55247,2.12
2472,立隆電,221.5,28.78%,10762,1.53
2855,統一證,40.0,17.65%,11856,1.53
3006,晶豪科,202.0,29.9%,43461,1.54
3026,禾伸堂,330.0,47.65%,22732,2.62
3033,威健,43.85,25.29%,21596,3.89
3034,聯詠,498.0,22.66%,20155,1.84
3374,精材,226.5,23.43%,28439,1.89
4722,國精化,236.5,25.8%,10764,2.0
4973,廣穎,99.6,20.87%,15886,1.63
5425,台半,73.0,23.52%,23623,2.67
6147,頎邦,198.0,47.76%,84759,2.24
6173,信昌電,122.0,47.34%,16510,2.05
6182,合晶,56.9,39.8%,165138,4.22
6278,台表科,201.0,41.05%,30433,3.68
6488,環球晶,802.0,40.21%,19248,2.65
8086,宏捷科,159.5,17.71%,29598,1.66
