股票代碼,公司名稱,收盤價,近10日漲幅,成交量(張),量能比
1711,永光,27.8,33.33%,60648,2.41
2103,台橡,19.6,28.52%,11160,2.08
2208,台船,24.3,10.2%,13498,1.76
2301,光寶科,193.5,17.99%,38376,1.88
2367,燿華,61.2,18.15%,103651,1.55
2455,全新,200.0,19.05%,41199,2.67
2515,中工,18.3,33.58%,85805,3.5
2883,凱基金,20.85,15.51%,98860,2.25
2890,永豐金,32.65,14.16%,31303,1.57
3576,聯合再生,18.3,63.39%,40959,2.26
4919,新唐,72.9,16.64%,13065,2.17
6202,盛群,62.8,33.9%,19160,5.93
6213,聯茂,133.5,25.35%,33553,1.78
6217,中探針,77.5,30.25%,10294,1.62
6244,茂迪,30.85,32.4%,20822,1.77
6271,同欣電,172.0,22.42%,16336,2.01
