股票代碼,公司名稱,符合策略數,符合策略
4919,新唐,3,"外資買超, 強勢股, 隔日衝"
2883,凱基金,3,"外資買超, 強勢股, 隔日衝"
2515,中工,3,"外資買超, 大戶持有, 強勢股"
6217,中探針,3,"外資買超, 大戶持有, 強勢股"
6202,盛群,3,"外資買超, 大戶持有, 強勢股"
2301,光寶科,3,"外資買超, 大戶持有, 強勢股"
4927,泰鼎-KY,2,"大戶持有, 隔日衝"
2887,台新金,2,"外資買超, 隔日衝"
1815,富喬,2,"外資買超, 大戶持有"
3576,聯合再生,2,"外資買超, 強勢股"
1711,永光,2,"外資買超, 強勢股"
8033,雷虎,2,"外資買超, 大戶持有"
2313,華通,2,"外資買超, 投信連續"
6187,萬潤,2,"外資買超, 大戶持有"
6290,良維,2,"外資買超, 大戶持有"
3363,上詮,2,"外資買超, 大戶持有"
2436,偉詮電,2,"大戶持有, 強勢股"
2489,瑞軒,2,"大戶持有, 強勢股"
3167,大量,2,"大戶持有, 強勢股"
4908,前鼎,2,"大戶持有, 盤整突破"
3209,全科,2,"大戶持有, 盤整突破"
