股票代碼,公司名稱,最新收盤價,投信買超天數,投信5日淨買超,平均買超張數,5日最高價,5日最低價,價格波動率
1216,統一,77.1,5,17110891,3422,80.3,75.5,6.36%
2317,鴻海,253.0,5,4134097,826,259.5,236.5,9.73%
2376,技嘉,349.5,5,3205112,641,358.0,330.5,8.32%
2382,廣達,322.0,5,4531647,906,337.5,314.0,7.48%
2474,可成,188.5,5,3337970,667,194.0,186.0,4.30%
2542,興富發,43.5,5,20269600,4053,44.95,43.25,3.93%
2610,華航,21.25,5,11446433,2289,22.0,20.2,8.91%
2801,彰銀,24.7,5,32790476,6558,24.85,23.85,4.19%
2880,華南金,41.4,5,37123574,7424,41.95,39.65,5.80%
2881,富邦金,130.0,4,2687843,537,130.0,122.5,6.12%
2883,凱基金,30.7,4,4808484,961,31.3,29.5,6.10%
2884,玉山金,36.4,4,3822730,764,37.2,35.05,6.13%
2886,兆豐金,49.4,5,21562066,4312,49.8,47.1,5.73%
2887,台新金,34.95,4,31835684,6367,35.0,33.45,4.63%
2890,永豐金,39.6,5,26123293,5224,40.6,37.6,7.98%
2892,第一金,34.8,5,27272682,5454,35.1,33.4,5.09%
2912,統一超,239.5,5,5062114,1012,245.0,232.0,5.60%
3706,神達,91.2,5,4253000,850,92.7,88.8,4.39%
5871,中租-KY,120.0,5,9756634,1951,124.5,118.0,5.51%
8069,元太,184.5,5,3628094,725,198.0,175.5,12.82%
