股票代碼,公司名稱,符合策略數,符合策略
3231,緯創,3,"外資買超, 大戶持有, 盤整突破"
4979,華星光,3,"外資買超, 大戶持有, 盤整突破"
6182,合晶,2,"外資買超, 隔日衝"
2834,臺企銀,2,"外資買超, 隔日衝"
2887,台新金,2,"外資買超, 投信連續"
2890,永豐金,2,"外資買超, 投信連續"
2615,萬海,2,"外資買超, 強勢股"
8112,至上,2,"外資買超, 大戶持有"
2884,玉山金,2,"外資買超, 投信連續"
2881,富邦金,2,"外資買超, 投信連續"
8114,振樺電,2,"外資買超, 盤整突破"
6414,樺漢,2,"外資買超, 盤整突破"
6515,穎崴,2,"外資買超, 大戶持有"
4566,時碩工業,2,"強勢股, 盤整突破"
6166,凌華,2,"強勢股, 盤整突破"
3163,波若威,2,"大戶持有, 盤整突破"
3081,聯亞,2,"大戶持有, 盤整突破"
6141,柏承,2,"大戶持有, 盤整突破"
5227,立凱-KY,2,"大戶持有, 盤整突破"
3088,艾訊,2,"大戶持有, 盤整突破"
