股票代碼,公司名稱,族群,今日漲跌幅,近三交易日漲跌幅,今日成交量
6558,興能高,BBU_電池模組,2.45,2.28,4288
3625,西勝,BBU_電池模組,0.0,-5.12,759
6121,新普,BBU_電池模組,-1.21,-3.66,957
6781,AES-KY,BBU_電池模組,-2.11,-9.73,1700
3323,加百裕,BBU_電池模組,-2.12,-6.22,2413
3211,順達,BBU_電池模組,-4.26,-10.57,10131
4931,新盛力,BBU_電池模組,-7.56,-9.38,24882
3305,昇貿,BBU_電源供應器與整合,9.92,7.78,21193
5309,系統電,BBU_電源供應器與整合,0.15,-2.41,8898
3625,西勝,BBU_電源供應器與整合,0.0,-5.12,759
2301,光寶科,BBU_電源供應器與整合,-1.21,-12.79,41395
2308,台達電,BBU_電源供應器與整合,-3.71,-5.47,12351
6451,訊芯-KY,CPO_先進封裝測試,9.9,26.4,6260
6257,矽格,CPO_先進封裝測試,3.09,3.33,23166
3265,台星科,CPO_先進封裝測試,0.55,2.8,3756
3363,上詮,CPO_先進封裝測試,-6.76,-8.59,5946
6515,穎崴,CPO_先進封裝測試,-7.21,-1.71,355
2455,全新,CPO_光通訊,0.0,-4.4,2643
4977,眾達-KY,CPO_光通訊,-3.82,-16.27,7829
6442,光聖,CPO_光通訊,-6.2,-8.66,3264
3163,波若威,CPO_光通訊,-6.86,-10.8,882
3081,聯亞,CPO_光通訊,-9.85,-13.09,3144
4979,華星光,CPO_光通訊,-9.85,-19.42,2824
6531,愛普*,IC設計,2.86,2.37,9491
8054,安國,IC設計,1.49,0.0,3234
2388,威盛,IC設計,-0.53,0.67,21208
3529,力旺,IC設計,-2.3,-6.93,509
6533,晶心科,IC設計,-2.78,-7.54,978
6643,M31,IC設計,-3.13,-11.19,1776
2454,聯發科,IC設計,-4.26,-11.89,7341
3035,智原,IC設計,-4.28,-8.87,17316
3035,智原,IC設計,-4.28,-8.87,17316
3443,創意,IC設計,-4.53,-13.02,3680
3443,創意,IC設計,-4.53,-13.02,3680
3661,世芯-KY,IC設計,-4.66,-13.28,2725
3661,世芯-KY,IC設計,-4.66,-13.28,2725
5469,瀚宇博,PCB,-1.97,-3.86,3360
3715,定穎投控,PCB,-3.31,-3.05,15836
2316,楠梓電,PCB,-3.36,-4.43,7841
1815,富喬,PCB,-3.76,-5.09,23524
2313,華通,PCB,-4.07,-9.42,47185
2367,燿華,PCB,-4.92,-4.63,46278
6213,聯茂,PCB,-5.6,-11.38,12970
2383,台光電,PCB,-6.2,-5.82,2616
3037,欣興,PCB,-6.81,-6.17,31599
3189,景碩,PCB,-6.9,-1.62,33389
8046,南電,PCB,-7.2,-12.67,19102
4958,臻鼎-KY,PCB,-8.13,-1.47,52405
8358,金居,PCB,-8.78,-18.34,3179
2368,金像電,PCB,-9.79,-7.19,7370
6274,台燿,PCB,-10.0,-10.0,1538
5469,瀚宇博,TPU_伺服器主板與印刷電路板,-1.97,-3.86,3360
3715,定穎投控,TPU_伺服器主板與印刷電路板,-3.31,-3.05,15836
2383,台光電,TPU_伺服器主板與印刷電路板,-6.2,-5.82,2616
3037,欣興,TPU_伺服器主板與印刷電路板,-6.81,-6.17,31599
2368,金像電,TPU_伺服器主板與印刷電路板,-9.79,-7.19,7370
6805,富世達,TPU_光通訊與連接器,-2.53,-6.22,1692
6442,光聖,TPU_光通訊與連接器,-6.2,-8.66,3264
2345,智邦,TPU_光通訊與連接器,-6.36,-0.79,7039
3081,聯亞,TPU_光通訊與連接器,-9.85,-13.09,3144
6831,未知,TPU_散熱,0.42,15.81,793
3324,雙鴻,TPU_散熱,-1.97,-6.13,2759
6805,富世達,TPU_散熱,-2.53,-6.22,1692
3017,奇鋐,TPU_散熱,-3.91,-2.58,6646
3491,昇達科,低軌衛星,4.0,-4.25,2223
6190,萬泰科,低軌衛星,-1.15,-4.09,5952
2485,兆赫,低軌衛星,-3.39,0.89,42823
6443,元晶,低軌衛星,-4.02,-7.95,17013
2313,華通,低軌衛星,-4.07,-9.42,47185
2367,燿華,低軌衛星,-4.92,-4.63,46278
2345,智邦,低軌衛星,-6.36,-0.79,7039
6451,訊芯-KY,光學元件或組裝,9.9,26.4,6260
3008,大立光,光學元件或組裝,9.89,23.26,3089
3504,揚明光,光學元件或組裝,8.26,17.84,10386
3406,玉晶光,光學元件或組裝,5.0,12.43,7906
2374,佳能,光學元件或組裝,2.37,-0.24,33320
3362,先進光,光學元件或組裝,0.9,7.66,6612
6668,中揚光,光學元件或組裝,-0.53,3.47,890
3019,亞光,光學元件或組裝,-1.7,0.35,19719
6209,今國光,光學元件或組裝,-1.9,1.52,19369
4976,佳凌,光學元件或組裝,-2.4,3.74,2100
4977,眾達-KY,光學元件或組裝,-3.82,-16.27,7829
6442,光聖,光學元件或組裝,-6.2,-8.66,3264
3450,聯鈞,光學元件或組裝,-6.28,-15.94,4681
3081,聯亞,光學元件或組裝,-9.85,-13.09,3144
4979,華星光,光學元件或組裝,-9.85,-19.42,2824
1727,中華化,化學,9.94,11.2,21498
4770,上品,化學,1.34,-1.74,521
1303,南亞,化學,0.0,-4.26,83288
1301,台塑,化學,-0.87,-4.09,17188
1326,台化,化學,-1.11,-5.53,11530
1402,遠東新,化學,-1.12,-0.75,25008
1717,長興,化學,-1.13,-4.84,55335
1773,勝一,化學,-1.13,-2.23,1273
1440,南紡,化學,-1.29,-4.56,2751
4763,材料-KY,化學,-1.42,-0.6,5071
1725,元禎,化學,-1.43,-5.2,162
4755,三福化,化學,-1.45,-3.55,541
1723,中碳,化學,-1.73,-2.1,735
4720,德淵,化學,-1.81,0.37,15397
6505,台塑化,化學,-2.1,-3.39,6552
1409,新纖,化學,-2.32,0.0,7263
1722,台肥,化學,-2.66,-2.66,7484
1710,東聯,化學,-3.77,-6.12,4049
1304,台聚,化學,-3.92,-3.92,6115
4749,新應材,化學,-9.38,-13.62,4648
6187,萬潤,半導體設備,-1.32,-7.79,2950
3680,家登,半導體設備,-2.07,-5.65,3254
3138,耀登,半導體設備,-2.94,-7.48,1234
3583,辛耘,半導體設備,-4.41,-6.72,3559
2460,建通,半導體設備,-4.76,-0.16,1172
6640,均華,半導體設備,-6.16,-7.12,877
6196,帆宣,半導體設備,-7.35,-3.81,7285
4306,炎洲,塑膠,1.92,1.14,1424
1303,南亞,塑膠,0.0,-4.26,83288
1307,三芳,塑膠,-0.16,-1.39,647
1323,永裕,塑膠,-0.26,-0.77,66
1313,聯成,塑膠,-0.47,-6.25,3396
1321,大洋,塑膠,-0.51,-0.34,151
1301,台塑,塑膠,-0.87,-4.09,17188
1315,達新,塑膠,-0.98,-1.63,35
1326,台化,塑膠,-1.11,-5.53,11530
1305,華夏,塑膠,-1.19,-3.85,3002
1325,恆大,塑膠,-2.04,-2.22,257
1337,再生-KY,塑膠,-2.04,-4.0,650
6505,台塑化,塑膠,-2.1,-3.39,6552
1308,亞聚,塑膠,-2.26,-3.35,2538
1312,國喬,塑膠,-2.35,-9.57,6526
1314,中石化,塑膠,-2.75,-5.08,25849
1309,台達化,塑膠,-2.8,-6.01,5148
1304,台聚,塑膠,-3.92,-3.92,6115
4576,大銀微系統,工業自動化與機器人,9.94,2.91,8639
6215,和椿,工業自動化與機器人,9.66,3.57,14048
2049,上銀,工業自動化與機器人,4.81,6.8,11850
5443,均豪,工業自動化與機器人,3.97,2.34,15707
1583,程泰,工業自動化與機器人,3.1,-1.13,126
1590,亞德客-KY,工業自動化與機器人,0.0,-4.56,1939
1597,直得,工業自動化與機器人,-0.28,-4.01,1396
8473,山林水,廠務系統與水處理,1.31,2.65,595
6624,萬年清,廠務系統與水處理,0.97,-2.91,42
8936,國統,廠務系統與水處理,0.2,0.0,2636
6803,崑鼎,廠務系統與水處理,0.17,0.17,44
1535,中宇,廠務系統與水處理,-0.3,-0.51,77
6944,未知,廠務系統與水處理,-1.75,-1.43,735
6894,衛司特,廠務系統與水處理,-2.13,1.18,112
2464,盟立,機器人,10.0,7.2,21760
4576,大銀微系統,機器人,9.94,2.91,8639
4540,全球傳動,機器人,9.92,2.9,18409
2359,所羅門,機器人,9.76,5.47,10519
6215,和椿,機器人,9.66,3.57,14048
2049,上銀,機器人,4.81,6.8,11850
5443,均豪,機器人,3.97,2.34,15707
4583,台灣精銳,機器人,2.38,-0.39,369
6188,廣明,機器人,1.44,-1.52,5072
6125,廣運,機器人,0.34,-3.29,2381
1590,亞德客-KY,機器人,0.0,-4.56,1939
1597,直得,機器人,-0.28,-4.01,1396
2308,台達電,機器人,-3.71,-5.47,12351
1504,東元,機器人,-4.14,-4.28,18945
