股票代碼,公司名稱,收盤價,近10日漲幅,成交量(張),量能比
1528,恩德,30.35,23.88%,43735,2.05
1802,台玻,69.2,27.21%,279186,1.84
2049,上銀,282.0,14.17%,30507,1.86
2327,國巨,322.0,24.81%,76263,1.61
2376,技嘉,279.0,22.37%,25948,2.31
2388,威盛,62.4,20.0%,22249,1.87
2402,毅嘉,72.4,39.5%,36236,3.62
2409,友達,20.05,40.21%,697359,1.98
2484,希華,36.65,30.2%,31400,3.5
2495,普安,45.2,32.16%,25800,1.96
3031,佰鴻,32.35,45.07%,18276,6.71
3090,日電貿,107.0,14.44%,12097,2.1
3450,聯鈞,345.5,34.17%,25212,1.62
3645,達邁,93.5,24.83%,26352,2.02
3673,TPK-KY,66.5,48.11%,14998,2.97
4576,大銀微系統,193.5,40.22%,10180,3.87
4720,德淵,22.15,19.41%,15210,4.07
4764,雙鍵,195.5,53.94%,13016,1.84
4989,榮科,98.3,51.7%,18803,1.65
5439,高技,396.5,35.56%,10587,2.93
6168,宏齊,28.0,21.21%,21287,2.03
6175,立敦,62.4,25.18%,14315,3.37
6213,聯茂,229.5,51.99%,53921,1.83
6271,同欣電,183.0,24.07%,25038,1.53
6278,台表科,137.0,44.67%,33365,5.94
6706,惠特,149.5,22.04%,24198,1.84
6789,采鈺,410.0,24.81%,14075,2.06
