股票代碼,公司名稱,收盤價,近10日漲幅,成交量(張),量能比
1727,中華化,75.7,30.29%,19217,3.42
2454,聯發科,2615.0,52.03%,24314,2.12
2464,盟立,106.5,41.81%,31112,3.09
3260,威剛,484.0,28.72%,60055,2.12
3605,宏致,83.6,28.62%,25016,4.43
4540,全球傳動,60.8,17.15%,10892,1.54
4720,德淵,27.45,33.58%,12670,3.54
4927,泰鼎-KY,59.1,16.57%,37634,2.63
4958,臻鼎-KY,394.0,56.66%,75673,2.35
4967,十銓,303.0,37.1%,53516,2.38
4973,廣穎,91.6,14.79%,20452,2.22
5347,世界,146.0,17.27%,49099,1.51
8027,鈦昇,163.0,14.79%,16545,2.37
8046,南電,932.0,44.27%,23729,1.54
8064,東捷,86.3,13.85%,19099,2.09
8103,瀚荃,128.0,41.44%,10241,2.16
