排名,股票代碼,公司產業,公司名稱,大戶持有比例差,大戶增加比例(%),第一天開盤價,期間最高價,期間最低價,最後一天收盤價,周漲幅
1,4977,通信網路業,眾達-KY,10.4,64.2,125.0,173.0,122.0,173.0,38.4
2,3450,半導體業,聯鈞,9.8,37.8,248.0,309.5,243.5,309.5,24.8
3,4927,電子工業,泰鼎-KY,9.4,29.8,34.1,48.65,33.65,47.25,38.6
4,4946,文化創意業,辣椒,7.7,22.1,112.0,160.0,112.0,160.0,42.9
5,6217,電子零組件類,中探針,7.2,21.1,65.8,93.7,64.8,93.7,42.4
6,1815,電子零組件類,富喬,9.0,21.1,100.0,121.5,99.2,110.5,10.5
7,8021,其他電子業,尖點,8.2,20.5,210.5,268.0,210.5,256.0,21.6
8,6706,光電業,惠特,4.6,19.4,111.0,133.5,108.0,133.5,20.3
9,4989,電子工業,榮科,6.1,19.4,55.0,66.0,54.7,64.2,16.7
10,6187,其他電子類,萬潤,8.2,17.7,402.0,547.0,402.0,547.0,36.1
11,3580,其他電子類,友威科,1.6,17.2,67.3,72.3,64.5,69.5,3.3
12,4916,電子工業,事欣科,4.1,16.1,61.4,65.5,61.0,63.8,3.9
13,6470,通信網路類,宇智,2.8,15.7,53.6,53.8,53.5,53.7,0.2
14,6244,光電業類,茂迪,4.4,14.2,25.8,34.5,24.85,33.0,27.9
15,3535,光電業,晶彩科,5.2,13.5,104.0,127.5,100.0,127.5,22.6
16,6672,電子工業,騰輝電子-KY,3.6,13.4,95.5,107.0,94.6,102.0,6.8
17,4722,化學工業,國精化,6.4,12.5,173.5,223.5,172.0,217.0,25.1
18,3060,電子工業,銘異,1.5,11.6,31.1,34.9,31.1,33.9,9.0
19,8033,其他,雷虎,4.1,11.6,156.5,164.0,154.0,161.0,2.9
20,3689,電子零組件類,湧德,3.1,11.4,111.5,121.0,109.5,118.5,6.3
21,6127,電子零組件類,九豪,2.2,10.8,33.2,40.45,33.2,39.95,20.3
22,6213,電子工業,聯茂,5.9,10.3,122.0,148.5,120.5,141.5,16.0
23,2413,電子工業,環科,5.7,9.9,41.6,58.1,41.4,56.8,36.5
24,6290,電子零組件類,良維,5.0,9.8,194.5,231.5,191.5,227.0,16.7
25,6830,其他電子業,汎銓,3.7,9.8,224.0,285.0,221.5,285.0,27.2
26,3543,光電業,州巧,5.1,9.5,45.05,58.8,44.1,53.5,18.8
27,1727,化學工業,中華化,4.5,8.8,43.45,49.0,43.45,47.7,9.8
28,3481,光電業,群創,3.1,8.8,22.7,27.3,22.15,26.8,18.1
29,2489,光電業,瑞軒,4.1,8.8,29.8,39.6,29.8,39.6,32.9
30,6823,半導體類,濾能,4.4,8.5,60.4,63.7,60.4,61.7,2.2
31,4979,通信網路類,華星光,3.6,8.1,333.0,443.5,330.0,421.5,26.6
32,6443,光電業,元晶,1.4,7.9,37.5,45.1,37.45,45.1,20.3
33,6104,半導體類,創惟,1.2,7.9,95.2,106.0,93.8,101.5,6.6
34,6271,半導體業,同欣電,4.0,7.6,155.5,196.0,152.5,177.0,13.8
35,8028,半導體業,昇陽半導體,2.4,7.5,168.0,191.0,168.0,188.0,11.9
36,8358,電子零組件類,金居,4.0,7.3,285.0,318.5,268.5,290.0,1.8
37,2492,電子工業,華新科,4.1,7.3,131.0,159.5,131.0,156.0,19.1
38,3026,電子工業,禾伸堂,2.8,7.3,108.0,120.5,108.0,119.0,10.2
39,2605,航運業,新興,3.3,6.8,30.0,34.45,29.3,33.75,12.5
40,8261,半導體業,富鼎,2.5,6.7,90.6,99.7,90.5,98.4,8.6
41,3576,光電業,聯合再生,2.2,6.5,15.15,22.1,15.0,22.1,45.9
42,6770,半導體業,力積電,3.0,6.5,65.8,78.9,65.3,76.7,16.6
43,2472,電子工業,立隆電,3.3,6.3,110.5,127.0,110.5,127.0,14.9
44,7402,光電業類,邑錡,2.4,6.1,132.5,145.0,131.0,139.5,5.3
45,3105,半導體類,穩懋,3.5,6.0,270.0,348.5,266.5,338.0,25.2
46,3028,電子工業,增你強,2.4,5.6,49.45,58.6,47.55,55.5,12.2
47,6237,半導體類,驊訊,1.0,5.5,38.5,40.4,37.8,39.85,3.5
48,6152,通信網路業,百一,1.2,5.3,15.2,18.3,14.55,18.25,20.1
49,6418,電子零組件類,詠昇,2.6,5.2,34.6,36.15,33.6,33.95,-1.9
50,3483,電腦及週邊類,力致,1.0,4.9,84.6,92.5,84.6,92.2,9.0
