股票代碼,公司名稱,公司產業,上市櫃,prev_body,avg_volume_5d,foreign_yesterday,foreign_3days,trust_yesterday,trust_3days
1101,台泥,水泥工業,上市,0.0,29430.81175,-6935.68,9695.13,-3.06,-16.06
1102,亞泥,水泥工業,上市,0.05000000000000426,10950.75175,194.17,8490.39,-1872.34,-8159.79
1103,嘉泥,水泥工業,上市,0.0,430.231,32.0,241.0,0.0,0.0
1104,環泥,水泥工業,上市,0.09999999999999787,940.584,-44.0,421.24,0.0,0.0
1108,幸福,水泥工業,上市,0.05000000000000071,227.58,60.19,166.19,0.0,0.0
1109,信大,水泥工業,上市,0.0,196.08025,19.0,47.0,0.0,0.0
1110,東泥,水泥工業,上市,0.25,203.9105,89.0,146.0,0.0,0.0
1201,味全,食品工業,上市,0.09999999999999964,522.68,49.0,145.0,0.0,0.0
1203,味王,食品工業,上市,0.3500000000000014,45.87575,22.0,45.0,0.0,0.0
1210,大成,食品工業,上市,0.30000000000000426,1860.8795,-514.0,-578.04,-328.0,-884.0
1213,大飲,食品工業,上市,0.08999999999999986,6.732,0.0,0.0,0.0,0.0
1215,卜蜂,食品工業,上市,0.5,1119.3875,235.6,740.45,26.0,31.0
1216,統一,食品工業,上市,1.5999999999999943,18063.8495,-10404.75,-645.66,-917.58,-7064.28
1217,愛之味,食品工業,上市,0.05000000000000071,1003.4075,-296.0,-492.99,0.0,0.0
1218,泰山,食品工業,上市,0.05000000000000071,777.8175,124.0,510.29,0.0,0.0
1219,福壽,食品工業,上市,0.09999999999999964,324.8495,55.85,110.85,0.0,0.0
1220,台榮,食品工業,上市,0.09999999999999964,204.01325,71.0,76.0,0.0,0.0
1225,福懋油,食品工業,上市,0.25,247.65425,-95.0,1.0,0.0,0.0
1227,佳格,食品工業,上市,0.25,1716.30625,-434.64,265.58,0.0,0.0
1229,聯華,食品工業,上市,0.14999999999999858,2758.127,-308.29,-788.1,0.0,0.0
1231,聯華食,食品工業,上市,1.5999999999999943,1194.971,-127.4,-176.4,0.0,0.0
1232,大統益,食品工業,上市,2.0,126.523,15.86,82.9,0.0,0.0
1233,天仁,食品工業,上市,0.14999999999999858,57.22125,-0.51,24.49,0.0,0.0
1234,黑松,食品工業,上市,0.10000000000000142,158.486,25.0,55.0,0.0,0.0
1235,興泰,食品工業,上市,1.25,51.43475,25.02,39.02,0.0,0.0
1236,宏亞,食品工業,上市,0.29999999999999716,74.9925,37.47,42.47,0.0,0.0
1240,茂生農經,農業科技業,上櫃,0.0,17.832,-1.0,0.0,0.0,0.0
1256,鮮活果汁-KY,食品工業,上市,0.5,53.22775,12.1,31.74,0.0,0.0
1259,安心,觀光餐旅,上櫃,0.10000000000000142,8.16875,1.0,2.0,0.0,0.0
1264,德麥,食品工業,上櫃,0.5,22.84025,-0.93,-0.93,0.0,0.0
1268,漢來美食,觀光餐旅,上櫃,1.0,22.675,2.0,5.0,0.0,0.0
1294,漢田生技,食品工業,上櫃,0.7000000000000028,65.1325,-4.0,-8.0,0.0,0.0
1301,台塑,塑膠工業,上市,1.3999999999999986,58772.57625,-3509.57,43954.07,-91.04,-91.04
1303,南亞,塑膠工業,上市,3.700000000000003,155651.15125,-6852.45,58401.77,-5210.38,-2690.08
1304,台聚,塑膠工業,上市,0.5499999999999989,6413.30725,-2049.0,4725.0,0.0,0.0
1305,華夏,塑膠工業,上市,0.25,3909.55275,-2075.0,586.0,0.0,0.0
1307,三芳,塑膠工業,上市,0.8999999999999986,2670.0895,-720.85,-163.85,0.0,0.0
1308,亞聚,塑膠工業,上市,0.40000000000000036,2050.95975,-381.61,1818.55,0.0,0.0
1309,台達化,塑膠工業,上市,0.25,2024.4355,-620.0,525.0,0.0,0.0
1310,台苯,塑膠工業,上市,0.02999999999999936,3457.4025,-353.0,1874.0,0.0,0.0
1312,國喬,塑膠工業,上市,0.40000000000000036,9296.16575,-1312.0,7781.7,0.0,0.0
1313,聯成,塑膠工業,上市,0.15000000000000036,4479.73525,845.0,4948.34,0.0,0.0
1314,中石化,塑膠工業,上市,0.03999999999999915,37350.955,3727.06,25338.05,0.0,0.0
1315,達新,塑膠工業,上市,0.7999999999999972,41.685,11.47,39.47,0.0,0.0
1316,上曜,建材營造業,上市,0.25,2131.488,-669.0,-1020.0,0.0,0.0
1319,東陽,汽車工業,上市,0.20000000000000284,3173.292,-472.7,-80.21,-835.61,-2344.31
1321,大洋,塑膠工業,上市,0.04999999999999716,163.839,17.0,56.0,0.0,0.0
1323,永裕,塑膠工業,上市,0.1999999999999993,48.1955,11.01,15.01,0.0,0.0
1324,地球,塑膠工業,上市,0.049999999999998934,89.77175,3.0,8.0,0.0,0.0
1325,恆大,塑膠工業,上市,0.09999999999999787,517.82675,16.33,-212.67,0.0,0.0
1326,台化,塑膠工業,上市,1.7999999999999972,76888.55725,18439.19,42223.25,-5747.03,-7644.03
1336,台翰,電子零組件業,上櫃,0.05000000000000071,76.58175,-8.0,-13.0,0.0,0.0
1337,再生-KY,塑膠工業,上市,0.25,748.04775,-10.0,-19.0,0.0,0.0
1338,廣華-KY,汽車工業,上市,0.25,299.09975,-2.0,-48.0,0.0,0.0
1339,昭輝,汽車工業,上市,0.8500000000000014,75.29825,4.0,4.0,0.0,0.0
1340,勝悅-KY,塑膠工業,上市,0.13999999999999968,237.44075,36.83,61.83,0.0,0.0
1341,富林-KY,塑膠工業,上市,0.0,14.7775,0.26,6.26,0.0,0.0
1342,八貫,其他業,上市,1.5,738.431,238.42,569.48,0.0,0.0
1402,遠東新,紡織纖維,上市,0.3500000000000014,17774.689,9914.04,13116.81,-4794.03,-8681.16
1409,新纖,紡織纖維,上市,0.14999999999999858,4626.57525,398.0,4017.0,0.0,0.0
1410,南染,紡織纖維,上市,0.25,60.08625,14.0,16.0,0.0,0.0
1413,宏洲,紡織纖維,上市,0.15000000000000036,25.70575,6.55,15.55,0.0,0.0
1414,東和,紡織纖維,上市,0.14999999999999858,258.14375,-27.0,101.0,0.0,0.0
1416,廣豐,其他業,上市,0.0,236.91175,24.0,90.0,0.0,0.0
1417,嘉裕,紡織纖維,上市,0.019999999999999574,110.623,30.0,60.0,0.0,0.0
1418,東華,紡織纖維,上市,0.5499999999999972,37.657,2.25,8.25,0.0,0.0
1419,新紡,紡織纖維,上市,0.7999999999999972,328.0675,23.0,38.0,0.0,0.0
1423,利華,紡織纖維,上市,0.14999999999999858,50.855,5.0,18.0,0.0,0.0
1432,大魯閣,運動休閒,上市,0.05000000000000071,896.6785,-119.0,-641.0,0.0,0.0
1434,福懋,紡織纖維,上市,0.05000000000000071,3671.46,-255.89,2323.11,0.0,0.0
1435,中福,其他業,上市,0.25,18.43775,6.59,26.59,0.0,0.0
1436,華友聯,建材營造業,上市,2.5,356.83475,-169.85,-118.85,0.0,-1.0
1437,勤益控,其他業,上市,0.04999999999999716,118.39475,-17.9,80.1,0.0,0.0
1438,三地開發,建材營造業,上市,0.75,82.0095,13.6,25.6,0.0,0.0
1439,雋揚,建材營造業,上市,0.14999999999999858,80.2045,-4.5,-25.5,0.0,0.0
1440,南紡,紡織纖維,上市,0.05000000000000071,1801.6715,62.0,100.0,0.0,0.0
1441,大東,紡織纖維,上市,0.05000000000000071,22.1435,4.34,13.34,0.0,0.0
1442,名軒,建材營造業,上市,0.1999999999999993,522.2535,-140.9,-786.9,0.0,-5.0
1443,立益物流,其他業,上市,1.0,35.43,18.0,24.0,0.0,0.0
1444,力麗,紡織纖維,上市,0.020000000000000462,758.159,202.0,498.87,0.0,0.0
1445,大宇,紡織纖維,上市,0.25,123.199,6.71,38.71,0.0,0.0
1446,宏和,紡織纖維,上市,0.05000000000000071,341.301,63.0,73.99,0.0,0.0
1447,力鵬,紡織纖維,上市,0.03999999999999915,839.25725,58.0,243.99,0.0,0.0
1449,佳和,紡織纖維,上市,0.09999999999999964,554.08325,-8.63,-223.63,0.0,0.0
