排名,族群,族群平均漲幅,族群上漲檔數(%),族群上漲檔數(數量),外資近一日總買超(億元),外資近三日總買超(億元),投信近一日總買超(億元),投信近三日總買超(億元)
1,軍工_航太製造與維修,1.81,100.0,6/6,-3.41,-5.64,-0.01,-0.3
2,銅,3.56,90.0,9/10,69.77,2.51,15.53,27.02
3,BBU_電池模組,4.03,85.71,6/7,5.94,20.21,15.11,33.63
4,被動元件,4.32,84.21,16/19,-212.43,-268.97,44.18,55.86
5,軍工_無人機相關,1.97,77.78,7/9,28.89,86.31,-6.74,-18.28
6,銀,2.76,75.0,3/4,-56.53,-95.23,14.91,15.45
7,玻璃,2.27,66.67,10/15,10.32,17.2,1.72,17.6
8,PCB,2.83,66.67,10/15,83.7,-56.17,16.88,6.94
9,電器電纜,0.48,60.0,6/10,2.47,14.28,-0.04,-0.07
10,TPU_光通訊與連接器,0.05,50.0,2/4,-10.11,-74.0,12.33,47.18
11,TPU_散熱,1.24,50.0,2/4,-3.15,-33.93,20.63,55.84
12,記憶體封裝與測試,0.98,50.0,2/4,-18.94,-25.35,1.47,4.85
13,電池或電源,1.22,50.0,10/20,-77.56,-53.92,33.85,65.18
14,化學,0.53,50.0,10/20,17.41,-40.56,9.33,14.67
15,航運,0.2,46.67,7/15,15.31,55.64,0.12,5.29
16,IC設計,0.79,46.15,6/13,65.53,99.37,-18.41,-19.31
17,TPU_伺服器主板與印刷電路板,1.19,40.0,2/5,33.71,28.74,20.65,10.71
18,無塵室與機電工程,-2.41,40.0,2/5,-4.08,-21.52,-0.21,-0.29
19,BBU_電源供應器與整合,0.08,40.0,2/5,-85.43,-77.09,18.86,30.72
20,紡織,-0.81,40.0,8/20,-3.71,-7.18,0.11,0.75
21,光學元件或組裝,-1.44,33.33,5/15,-14.55,-7.18,8.94,46.65
22,鋼鐵,-0.6,33.33,5/15,5.68,27.26,-0.02,8.39
23,CPO_光通訊,-1.93,33.33,2/6,-11.96,-30.94,10.08,38.02
24,網通設備組件,-1.37,30.0,6/20,18.55,49.69,-6.59,39.9
25,低軌衛星,-0.23,28.57,2/7,-2.14,-69.24,-14.68,-14.64
26,造紙,-0.19,28.57,2/7,0.56,2.4,-0.01,-0.01
27,記憶體模組,-1.15,28.57,2/7,0.07,-30.48,-0.34,-16.64
28,半導體設備,-1.95,28.57,2/7,-7.71,-4.06,-0.31,-2.43
29,軟體設計,-0.22,26.67,4/15,-0.49,0.08,-0.01,-0.01
30,金融,-0.15,26.32,5/19,11.55,-55.77,8.58,12.53
31,塑膠,-0.22,22.22,4/18,11.55,-55.77,8.58,12.53
32,機器人,-1.09,21.43,3/14,-76.98,-60.25,15.49,13.75
33,記憶體控制IC,-0.97,20.0,1/5,1.6,12.51,-0.03,-0.03
34,CPO_先進封裝測試,-2.7,20.0,1/5,-7.1,-6.41,-0.44,-1.65
35,工業自動化與機器人,-1.03,14.29,1/7,1.12,13.23,-3.38,-17.01
36,記憶體製造,-1.27,0.0,0/4,155.15,267.05,1.07,11.65
37,廠務系統與水處理,-0.89,0.0,0/7,-0.83,-3.16,-0.01,0.05
