股票代碼,公司名稱,最新收盤價,投信買超天數,投信5日淨買超,平均買超張數,5日最高價,5日最低價,價格波動率
1216,統一,75.6,5,39939967,7987,76.4,73.9,3.38%
1402,遠東新,28.6,4,50199700,10039,29.3,28.2,3.90%
1513,中興電,185.0,4,16234580,3246,185.5,171.0,8.48%
2377,微星,133.5,4,3767000,753,140.5,131.0,7.25%
2382,廣達,366.5,5,9129209,1825,385.0,364.5,5.62%
2412,中華電,144.0,4,2599655,519,146.0,143.0,2.10%
2504,國產,33.5,4,10598190,2119,34.05,32.3,5.42%
2633,台灣高鐵,26.25,4,37936000,7587,26.75,25.65,4.29%
2845,遠東銀,13.1,4,40840064,8168,13.45,12.8,5.08%
2880,華南金,38.0,4,89751612,17950,39.2,36.25,8.14%
2884,玉山金,35.45,5,70537813,14107,36.6,34.9,4.87%
2886,兆豐金,46.65,5,138579048,27715,46.95,44.3,5.98%
2890,永豐金,39.95,4,109549356,21909,40.9,37.2,9.95%
2892,第一金,32.85,4,70133316,14026,33.25,32.0,3.91%
2912,統一超,226.0,4,2773973,554,230.5,221.0,4.30%
3231,緯創,160.0,5,29281739,5856,166.0,155.0,7.10%
4904,遠傳,108.5,4,84048914,16809,110.5,104.0,6.25%
5876,上海商銀,42.0,5,32111851,6422,43.25,41.2,4.98%
8926,台汽電,78.1,5,4636000,927,84.3,77.9,8.22%
