股票代碼,公司名稱,收盤價,近10日漲幅,成交量(張),量能比
1301,台塑,58.0,30.63%,146735,2.82
1513,中興電,185.0,12.46%,13725,1.58
1718,中纖,10.15,14.04%,54273,1.89
2363,矽統,76.1,38.11%,74310,2.05
2401,凌陽,34.9,37.67%,27320,1.88
2458,義隆,180.0,22.87%,13594,2.31
2610,華航,24.2,23.79%,140540,2.17
2618,長榮航,44.5,19.46%,69764,1.67
2646,星宇航空,21.95,8.93%,15459,1.81
2886,兆豐金,46.65,7.49%,62170,1.71
2890,永豐金,39.95,21.06%,59931,2.08
3360,尚立,20.9,43.15%,19409,5.21
3362,先進光,211.0,23.39%,14995,2.54
3481,群創,70.9,60.05%,655357,1.69
5328,華容,63.9,42.47%,30369,1.59
6175,立敦,116.5,16.62%,18092,1.53
6182,合晶,125.0,59.24%,152205,2.31
6271,同欣電,271.5,20.67%,25376,2.02
6757,台灣虎航,65.6,22.39%,10891,2.44
6834,天二科技,125.5,79.29%,15328,2.5
8071,能率網通,30.8,35.68%,12533,2.28
8105,凌巨,25.15,21.5%,52260,2.38
