排名,族群,族群平均漲幅,族群上漲檔數(%),族群上漲檔數(數量),外資近一日總買超(億元),外資近三日總買超(億元),投信近一日總買超(億元),投信近三日總買超(億元)
1,航運,0.71,66.67,10/15,12.22,49.28,-0.4,-2.33
2,被動元件,1.65,63.16,12/19,-25.06,-147.98,13.74,-19.04
3,無塵室與機電工程,1.96,60.0,3/5,31.16,32.85,18.31,20.15
4,PCB,2.47,60.0,9/15,77.33,-12.4,50.17,22.5
5,TPU_伺服器主板與印刷電路板,1.82,60.0,3/5,99.63,22.52,20.19,-28.73
6,記憶體封裝與測試,0.25,50.0,2/4,-25.28,-31.37,0.73,-12.58
7,銀,1.63,50.0,2/4,-23.32,-62.27,37.87,81.38
8,記憶體製造,1.4,50.0,2/4,-246.66,-543.15,151.1,435.95
9,光學元件或組裝,0.89,46.67,7/15,-37.06,-23.74,1.5,-22.48
10,廠務系統與水處理,-14.09,42.86,3/7,0.26,-2.23,-0.01,-0.17
11,工業自動化與機器人,-0.01,42.86,3/7,0.31,2.52,0.32,2.41
12,BBU_電池模組,-0.09,42.86,3/7,1.51,-8.74,-5.62,-5.34
13,紡織,-0.14,40.0,8/20,3.35,8.99,1.7,3.48
14,塑膠,0.52,38.89,7/18,18.66,-20.65,16.93,107.84
15,金融,0.49,36.84,7/19,18.66,-20.65,16.93,107.84
16,化學,-0.22,35.0,7/20,16.42,-40.63,20.9,117.1
17,銅,-0.3,30.0,3/10,0.04,-84.95,24.44,124.84
18,網通設備組件,-1.87,30.0,6/20,19.24,-33.54,-89.5,-233.39
19,半導體設備,-0.46,28.57,2/7,0.01,-9.94,-0.64,-1.48
20,低軌衛星,-2.31,28.57,2/7,-30.47,-99.57,-8.38,-14.98
21,造紙,-0.93,28.57,2/7,-0.13,0.11,-0.01,-0.01
22,記憶體模組,-1.1,28.57,2/7,-9.5,-66.0,-1.49,-1.9
23,鋼鐵,-0.32,26.67,4/15,5.71,20.41,-3.8,-12.58
24,玻璃,-1.07,26.67,4/15,56.58,-84.4,28.54,36.24
25,TPU_散熱,-1.23,25.0,1/4,-19.06,0.78,3.86,6.48
26,TPU_光通訊與連接器,-2.02,25.0,1/4,-6.5,-26.1,-14.01,-29.16
27,IC設計,-0.9,23.08,3/13,41.83,0.59,-65.55,-172.78
28,機器人,-0.94,21.43,3/14,-8.02,-106.6,-23.37,-98.17
29,記憶體控制IC,-1.94,20.0,1/5,-8.23,2.32,0.04,0.42
30,BBU_電源供應器與整合,-0.42,20.0,1/5,-3.05,-102.34,-23.69,-100.64
31,電池或電源,-0.9,20.0,4/20,-18.54,-164.95,-21.4,-84.39
32,軍工_航太製造與維修,-0.98,16.67,1/6,-2.03,-1.06,0.0,-0.22
33,軟體設計,-1.21,13.33,2/15,-0.14,-1.22,-0.01,-0.03
34,軍工_無人機相關,-1.86,11.11,1/9,54.29,-1.85,-75.79,-190.05
35,電器電纜,-1.78,10.0,1/10,-19.56,-65.05,7.91,22.29
36,CPO_光通訊,-3.34,0.0,0/6,8.09,16.19,-8.74,-30.78
37,CPO_先進封裝測試,-3.49,0.0,0/5,-5.46,-22.96,0.24,19.14
