股票代碼,公司名稱,最新收盤價,投信買超天數,投信5日淨買超,平均買超張數,5日最高價,5日最低價,價格波動率
2317,鴻海,250.0,4,4604521,920,254.5,226.5,12.36%
2801,彰銀,25.2,4,8104560,1620,25.75,24.0,7.29%
2812,台中銀,18.9,4,6517954,1303,20.85,18.75,11.20%
2834,臺企銀,16.9,5,8228421,1645,18.4,16.8,9.52%
2880,華南金,43.25,5,27818769,5563,45.15,40.7,10.93%
2881,富邦金,128.5,5,18013888,3602,131.0,120.5,8.71%
2882,國泰金,99.2,5,19342458,3868,102.5,92.5,10.81%
2886,兆豐金,50.7,5,20447347,4089,53.7,49.05,9.48%
2892,第一金,35.3,5,6807979,1361,36.9,34.15,8.05%
5880,合庫金,26.55,5,8205594,1641,27.65,25.7,7.59%
6005,群益證,34.85,5,3460799,692,35.2,32.1,9.66%
