排名,股票代碼,公司名稱,公司產業,上市櫃,5天正天數,今日主力買超(張),5日累積買超(張)
1,6770,力積電,半導體業,上市,5,39480,414013
2,2317,鴻海,其他電子業,上市,5,104885,191256
3,2324,仁寶,電腦及週邊設備業,上市,4,75705,85816
4,2881,富邦金,金融保險業,上市,5,1406,76846
5,2337,旺宏,半導體業,上市,4,4418,76244
6,3231,緯創,電腦及週邊設備業,上市,5,54609,76167
7,2408,南亞科,半導體業,上市,3,15633,57056
8,2353,宏碁,電腦及週邊設備業,上市,4,45253,52191
9,8150,南茂,半導體業,上市,4,4099,43092
10,2891,中信金,金融保險業,上市,5,3325,32699
11,2449,京元電子,半導體業,上市,4,1759,30723
12,6182,合晶,半導體業,上櫃,5,4828,29003
13,6147,頎邦,半導體業,上櫃,4,5735,26136
14,1409,新纖,紡織纖維,上市,4,3527,22995
15,2610,華航,航運業,上市,3,26384,22117
16,6005,群益證,金融保險業,上市,5,1900,19283
17,2609,陽明,航運業,上市,4,6822,17907
18,2618,長榮航,航運業,上市,3,19997,16617
19,6806,森崴能源,綠能環保,上市,4,12180,12224
20,2376,技嘉,電腦及週邊設備業,上市,4,8066,12122
21,2886,兆豐金,金融保險業,上市,3,9316,9521
22,2357,華碩,電腦及週邊設備業,上市,4,6213,9338
23,8131,福懋科,半導體業,上市,5,3303,8492
24,2349,錸德,光電業,上市,4,1862,8203
25,8070,長華*,電子通路業,上市,5,826,8112
26,3704,合勤控,通信網路業,上市,4,1258,7953
27,4938,和碩,電腦及週邊設備業,上市,4,1187,7655
28,4939,亞電,電子零組件業,上櫃,3,4717,7401
29,2492,華新科,電子零組件業,上市,5,419,6913
30,2603,長榮,航運業,上市,4,4760,6718
31,2014,中鴻,鋼鐵工業,上市,4,3158,6433
32,5351,鈺創,半導體業,上櫃,4,1594,6083
33,3380,明泰,通信網路業,上市,4,2775,6022
34,2332,友訊,通信網路業,上市,4,3581,5989
35,1563,巧新,汽車工業,上市,5,2965,5637
36,1314,中石化,塑膠工業,上市,3,896,5478
37,6488,環球晶,半導體業,上櫃,5,2034,5462
38,2646,星宇航空,航運業,上市,4,3114,5425
39,6026,福邦證,金融保險業,上櫃,5,2325,5137
40,3689,湧德,電子零組件業,上櫃,4,803,5108
41,5483,中美晶,半導體業,上櫃,4,2158,4816
42,5388,中磊,通信網路業,上市,5,400,4758
43,2406,國碩,光電業,上市,4,733,4714
44,2328,廣宇,電子零組件業,上市,3,380,4702
45,3062,建漢,通信網路業,上市,3,1981,4150
46,2105,正新,橡膠工業,上市,4,2396,4017
47,5328,華容,電子零組件業,上櫃,3,6544,3617
48,8358,金居,電子零組件業,上櫃,5,1231,3593
