股票代碼,公司名稱,最新收盤價,投信買超天數,投信5日淨買超,平均買超張數,5日最高價,5日最低價,價格波動率
1216,統一,73.7,5,29244523,5848,74.3,70.0,6.14%
2379,瑞昱,609.0,5,3605131,721,624.0,580.0,7.59%
2412,中華電,140.5,5,17560870,3512,142.0,136.0,4.41%
2603,長榮,224.0,5,52647181,10529,225.0,209.0,7.66%
2618,長榮航,37.7,5,133646088,26729,37.85,34.8,8.76%
2880,華南金,32.85,5,154366400,30873,33.45,29.6,13.01%
2886,兆豐金,41.45,5,55459627,11091,41.45,39.4,5.20%
2887,台新金,24.6,5,225917814,45183,24.7,23.0,7.39%
2891,中信金,62.1,5,42245305,8449,62.6,57.3,9.25%
2892,第一金,27.75,4,5085556,1017,27.85,27.2,2.39%
2912,統一超,227.5,5,23939672,4787,230.5,203.5,13.27%
3034,聯詠,496.5,5,4297715,859,497.0,475.0,4.63%
3045,台灣大,114.0,5,17696953,3539,115.0,110.0,4.55%
4904,遠傳,97.1,5,14428956,2885,97.6,92.9,5.06%
5871,中租-KY,108.5,5,7595143,1519,110.5,107.0,3.27%
5876,上海商銀,39.8,5,21272020,4254,40.0,38.65,3.49%
