股票代碼,公司名稱,收盤價,近10日漲幅,成交量(張),量能比
1504,東元,78.7,15.23%,59156,3.72
1605,華新,39.7,14.41%,114616,1.83
1802,台玻,74.8,15.43%,180789,1.63
2302,麗正,38.25,49.71%,10553,4.37
2303,聯電,146.0,31.53%,289268,1.76
2312,金寶,40.6,42.71%,120797,3.11
2317,鴻海,293.5,18.11%,205766,1.75
2324,仁寶,40.35,42.83%,113043,3.69
2328,廣宇,61.0,17.53%,26828,1.86
2344,華邦電,168.0,28.74%,295190,1.63
2352,佳世達,30.65,22.11%,27389,2.03
2353,宏碁,38.7,41.24%,27395,2.35
2356,英業達,77.2,48.75%,241053,4.12
2376,技嘉,387.0,17.1%,38916,1.8
2377,微星,141.5,25.22%,79728,2.12
2405,輔信,18.4,21.05%,15182,2.72
2603,長榮,224.0,13.42%,38077,1.93
2855,統一證,48.2,21.11%,11286,1.55
2881,富邦金,110.5,16.07%,87829,3.14
2882,國泰金,88.2,14.84%,57818,1.97
3231,緯創,174.0,28.41%,94609,1.51
3305,昇貿,167.5,22.26%,12706,1.64
3481,群創,56.1,44.96%,478118,1.86
3673,TPK-KY,89.5,30.47%,48207,2.52
3706,神達,93.5,16.73%,62080,2.29
4938,和碩,91.2,19.22%,39426,1.64
5309,系統電,75.9,15.0%,17420,1.71
5328,華容,39.8,38.43%,44950,2.82
5392,能率,48.9,15.74%,20162,2.71
5864,致和證,43.4,40.0%,10789,2.56
6016,康和證,30.2,38.53%,26384,2.65
6116,彩晶,18.8,81.64%,58323,4.41
6155,鈞寶,69.0,32.69%,20681,2.68
6282,康舒,65.8,29.53%,103122,2.29
6456,GIS-KY,83.9,24.85%,36104,2.21
6548,長科*,75.0,53.53%,12239,2.57
6706,惠特,216.5,24.43%,13702,1.54
8043,蜜望實,155.0,27.05%,10714,2.13
8105,凌巨,19.3,22.54%,20015,2.05
8110,華東,65.2,31.85%,56172,3.55
