股票代碼,公司名稱,符合策略數,符合策略
2543,皇昌,4,"外資買超, 強勢股, 盤整突破, 隔日衝"
1314,中石化,3,"外資買超, 強勢股, 隔日衝"
1312,國喬,3,"外資買超, 強勢股, 隔日衝"
1304,台聚,3,"外資買超, 強勢股, 隔日衝"
2395,研華,3,"外資買超, 強勢股, 隔日衝"
1718,中纖,3,"外資買超, 強勢股, 隔日衝"
1582,信錦,3,"外資買超, 強勢股, 盤整突破"
1305,華夏,2,"強勢股, 隔日衝"
1308,亞聚,2,"強勢股, 隔日衝"
1309,台達化,2,"強勢股, 隔日衝"
3481,群創,2,"外資買超, 大戶持有"
6505,台塑化,2,"外資買超, 強勢股"
2485,兆赫,2,"外資買超, 強勢股"
6770,力積電,2,"外資買超, 大戶持有"
2883,凱基金,2,"外資買超, 投信連續"
3049,精金,2,"外資買超, 強勢股"
1402,遠東新,2,"外資買超, 強勢股"
2412,中華電,2,"外資買超, 投信連續"
4989,榮科,2,"外資買超, 大戶持有"
8358,金居,2,"外資買超, 大戶持有"
3450,聯鈞,2,"外資買超, 大戶持有"
1310,台苯,2,"強勢股, 盤整突破"
1313,聯成,2,"強勢股, 盤整突破"
4952,凌通,2,"強勢股, 盤整突破"
6290,良維,2,"大戶持有, 強勢股"
