排名,股票代碼,公司產業,公司名稱,大戶持有比例差,大戶增加比例(%),第一天開盤價,期間最高價,期間最低價,最後一天收盤價,周漲幅
1,8066,居家生活類,來思達,11.2,40.0,20.1,20.65,19.35,19.8,-1.5
2,8932,其他,智通*,27.2,37.4,,,,,
3,6443,光電業,元晶,7.0,36.6,41.7,54.2,41.05,48.1,15.3
4,6470,通信網路類,宇智,4.1,19.9,53.6,53.9,53.6,53.7,0.2
5,8034,通信網路類,榮群,2.8,18.2,27.2,29.4,25.7,26.25,-3.5
6,2485,通信網路業,兆赫,3.6,15.6,41.5,56.2,41.3,56.2,35.4
7,3060,電子工業,銘異,2.0,13.9,33.7,34.8,29.4,30.4,-9.8
8,6651,半導體類,全宇昕,5.7,13.0,99.7,101.5,98.2,101.0,1.3
9,6217,電子零組件類,中探針,5.2,12.6,93.7,111.0,90.0,111.0,18.5
10,6706,光電業,惠特,3.0,10.6,122.5,144.0,118.0,120.0,-2.0
11,4749,半導體類,新應材,3.8,10.2,900.0,1030.0,862.0,1015.0,12.8
12,3580,其他電子類,友威科,1.1,10.1,69.7,72.3,61.8,68.3,-2.0
13,2489,光電業,瑞軒,4.8,9.5,38.5,47.9,37.75,43.65,13.4
14,8028,半導體業,昇陽半導體,3.1,9.1,183.0,193.5,167.0,176.0,-3.8
15,6187,其他電子類,萬潤,4.6,8.4,505.0,610.0,501.0,590.0,16.8
16,3693,電腦及週邊類,營邦,3.7,8.3,454.0,480.0,401.5,428.5,-5.6
17,6141,電子工業,柏承,3.5,7.7,11.2,18.5,11.2,17.95,60.3
18,3563,光電業,牧德,3.7,6.9,537.0,697.0,535.0,620.0,15.5
19,5443,光電業類,均豪,2.3,6.7,89.5,96.5,85.0,95.1,6.3
20,6727,電子零組件類,亞泰金屬,1.6,6.5,230.0,230.0,195.5,203.0,-11.7
21,6546,通信網路類,正基,2.9,6.5,77.0,90.0,75.0,81.0,5.2
22,4303,塑膠工業,信立,1.2,6.5,57.1,57.1,51.3,53.5,-6.3
23,3455,光電業類,由田,1.6,6.3,116.0,120.5,106.0,118.0,1.7
24,4989,電子工業,榮科,2.2,5.9,63.9,74.5,60.2,68.2,6.7
25,3211,電腦及週邊類,順達,3.3,5.9,290.0,342.0,286.0,322.0,11.0
26,3498,其他電子類,陽程,2.4,5.9,49.7,69.3,49.25,61.5,23.7
27,3224,電子通路類,三顧,4.0,5.8,43.2,44.5,41.55,41.65,-3.6
28,2458,半導體業,義隆,3.1,5.4,120.5,138.0,119.5,131.5,9.1
29,5328,電子零組件類,華容,2.2,5.3,28.5,29.65,24.8,26.6,-6.7
30,3587,其他電子類,閎康,1.9,5.1,221.0,229.0,200.0,214.0,-3.2
31,3092,電子工業,鴻碩,1.8,5.1,31.9,40.5,31.45,34.05,6.7
32,8111,光電業類,立碁,1.9,5.0,70.1,74.3,64.8,65.8,-6.1
33,8088,半導體類,品安,1.1,5.0,53.9,54.2,44.9,47.5,-11.9
34,6788,半導體類,華景電,1.3,4.7,332.0,360.0,304.0,332.0,0.0
35,4577,其他電子類,達航科技,3.3,4.7,80.0,96.8,71.7,93.5,16.9
36,3430,化學工業,奇鈦科,1.8,4.7,75.3,82.8,67.0,71.9,-4.5
37,2404,其他電子業,漢唐,2.4,4.4,1045.0,1135.0,975.0,1100.0,5.3
38,6509,化學工業,聚和,1.4,4.3,39.2,42.55,38.45,40.25,2.7
39,4760,其他電子類,勤凱,1.7,4.2,200.5,201.5,172.0,179.0,-10.7
40,3236,電子零組件類,千如,1.4,4.2,32.6,33.45,28.15,29.55,-9.4
41,2471,資訊服務業,資通,1.0,4.2,50.0,52.1,47.05,49.95,-0.1
42,1582,電子工業,信錦,1.3,4.2,70.7,90.5,70.2,90.5,28.0
43,6243,半導體業,迅杰,1.1,4.2,34.0,37.7,32.0,34.05,0.1
44,3169,半導體類,亞信,1.5,4.2,95.5,108.5,94.7,97.8,2.4
45,3535,光電業,晶彩科,1.8,4.1,124.0,149.0,118.0,148.5,19.8
46,6667,其他電子類,信紘科,2.0,4.0,257.5,274.0,248.0,266.0,3.3
47,8039,電子工業,台虹,2.3,4.0,90.4,114.5,89.1,103.0,13.9
48,3615,光電業類,安可,1.4,4.0,29.4,36.7,28.05,32.8,11.6
49,1476,紡織纖維,儒鴻,3.3,4.0,423.5,433.0,388.0,394.0,-7.0
50,3360,電子通路類,尚立,1.1,3.9,17.5,17.85,15.45,16.4,-6.3
