CB代號,CB名稱,個股現價,轉換價格,餘額比例(%),距轉換價差距(%),已發行/近期上市
52845,jpp五KY,318.5,318.5,100,0.0,已發行CB
44391,冠星一KY,96.3,96.3,96.48,0.0,已發行CB
24643,盟立三,203.0,202.8,100,0.1,已發行CB
24643,盟立三,203.0,202.8,100,0.1,近期上市
811211,至上11,90.4,90.1,100,0.33,已發行CB
41904,佐登四KY,26.0,26.1,100,-0.38,已發行CB
35431,州巧一,44.4,44.2,100,0.45,已發行CB
24867,一詮七,254.5,256.0,100,-0.59,已發行CB
69041,伯鑫一,123.5,124.7,100,-0.96,已發行CB
84312,匯鑽科二,67.3,68.0,100,-1.03,已發行CB
55344,長虹四,75.6,74.8,100,1.07,已發行CB
81114,立碁四,73.5,74.4,100,-1.21,已發行CB
84113,福貞三KY,13.0,13.2,100,-1.52,已發行CB
14722,三洋實業二,90.5,91.9,100,-1.52,已發行CB
65761,逸達一,83.0,84.3,100,-1.54,已發行CB
22363,百達三KY,120.0,118.1,22.80,1.61,已發行CB
62822,康舒二,44.35,45.2,99.92,-1.88,已發行CB
23031,聯電一,143.0,146.0,100,-2.05,已發行CB
61012,寬魚國際二,38.1,38.9,71.16,-2.06,已發行CB
77431,金利食安一,21.95,22.5,100,-2.44,近期上市
77431,金利食安一,21.95,22.5,100,-2.44,已發行CB
15142,亞力二,102.5,105.1,100,-2.47,已發行CB
35161,亞帝歐一,26.3,25.62,100,2.65,已發行CB
81552,博智二,347.0,338.0,100,2.66,已發行CB
17172,長興二,73.5,75.7,100,-2.91,已發行CB
68211,聯寶一,40.95,42.19,41.5,-2.94,已發行CB
15602,中砂二,730.0,708.3,100,3.06,已發行CB
15602,中砂二,730.0,708.3,100,3.06,近期上市
30454,台灣大四,117.0,113.5,99.71,3.08,已發行CB
61011,寬魚國際一,38.1,36.9,96.8,3.25,已發行CB
84762,台境二,18.85,19.5,89.96,-3.33,已發行CB
76311,聚賢研發一創,145.5,150.8,100,-3.51,已發行CB
35914,艾笛森四,23.6,24.5,100,-3.67,已發行CB
26418,正德八,18.1,18.82,92.08,-3.83,已發行CB
82103,勤誠三,937.0,975.6,100,-3.96,已發行CB
30166,嘉晶六,100.5,105.0,100,-4.29,已發行CB
14723,三洋實業三,90.5,94.6,100,-4.33,已發行CB
45811,光隆精密一KY,48.0,50.2,100,-4.38,已發行CB
27532,八方雲集二,179.5,187.9,100,-4.47,已發行CB
45554,氣立四,44.9,42.9,100,4.66,已發行CB
12561,鮮活果汁一KY,173.5,182.5,99.15,-4.93,已發行CB
