股票代碼,公司名稱,突破日期,突破日股價,今日收盤價,今日至突破日漲跌幅,突破日成交量(張),20MA成交量(張),成交量倍數
1597,直得,2026-08-07,144.0,141.0,-2.08%,5820,1420,4.1
3014,聯陽,2026-08-07,131.5,135.0,2.66%,5383,1640,3.28
8050,廣積,2026-08-07,63.6,69.0,8.49%,16275,4929,3.3
6269,台郡,2026-08-07,64.5,66.6,3.26%,16400,4889,3.35
4931,新盛力,2026-08-07,217.0,216.5,-0.23%,16205,4493,3.61
4576,大銀微系統,2026-08-07,222.5,218.0,-2.02%,7920,1740,4.55
4540,全球傳動,2026-08-07,55.5,60.0,8.11%,13004,2256,5.76
3701,大眾控,2026-08-07,43.5,42.55,-2.18%,5155,1308,3.94
3594,磐儀,2026-08-07,58.7,60.0,2.21%,7404,2342,3.16
3543,州巧,2026-08-07,36.6,36.0,-1.64%,5070,1651,3.07
3490,單井,2026-08-07,29.7,30.4,2.36%,5065,1120,4.52
3114,好德,2026-08-07,37.4,38.8,3.74%,5387,930,5.79
3036,文曄,2026-08-07,218.5,211.5,-3.2%,42344,12114,3.5
2010,春源,2026-08-07,22.1,22.95,3.85%,5800,1240,4.68
2031,新光鋼,2026-08-07,42.8,45.0,5.14%,10470,1405,7.45
2033,佳大,2026-08-07,16.1,17.0,5.59%,7604,672,11.31
2049,上銀,2026-08-07,370.0,387.0,4.59%,17347,4133,4.2
2354,鴻準,2026-08-07,62.7,61.8,-1.44%,81425,9925,8.2
2421,建準,2026-08-06,142.0,151.5,6.69%,11894,2385,4.99
2049,上銀,2026-08-06,360.0,387.0,7.5%,12613,3364,3.75
2009,第一銅,2026-08-06,39.3,39.9,1.53%,6156,1608,3.83
6547,高端疫苗,2026-08-06,52.2,51.6,-1.15%,9951,2570,3.87
4908,前鼎,2026-08-06,169.0,143.5,-15.09%,5421,1627,3.33
4707,磐亞,2026-08-06,32.0,31.9,-0.31%,13006,3947,3.29
8088,品安,2026-08-06,47.65,47.1,-1.15%,7096,1217,5.83
3339,泰谷,2026-08-06,39.05,37.8,-3.2%,6212,1317,4.72
2354,鴻準,2026-08-06,58.2,61.8,6.19%,30110,6039,4.99
2362,藍天,2026-08-06,47.5,50.5,6.32%,12720,1638,7.76
2464,盟立,2026-08-06,171.5,173.5,1.17%,25511,8008,3.19
2455,全新,2026-08-06,384.0,364.0,-5.21%,35122,8828,3.98
2436,偉詮電,2026-08-05,60.4,61.6,1.99%,10015,3144,3.19
2301,光寶科,2026-08-05,260.0,247.0,-5.0%,90355,25621,3.53
3048,益登,2026-08-05,59.0,57.5,-2.54%,15202,3711,4.1
1608,華榮,2026-08-05,33.95,34.95,2.95%,22414,3676,6.1
5340,建榮,2026-08-05,73.0,70.3,-3.7%,8080,1441,5.6
2492,華新科,2026-08-05,274.0,251.0,-8.39%,43709,11692,3.74
6547,高端疫苗,2026-08-05,52.0,51.6,-0.77%,7706,2165,3.56
2204,中華,2026-08-05,52.5,50.8,-3.24%,6729,1536,4.38
