股票代碼,公司名稱,最新收盤價,投信買超天數,投信5日淨買超,平均買超張數,5日最高價,5日最低價,價格波動率
1303,南亞,236.0,5,29129859,5825,239.5,220.5,8.62%
2027,大成鋼,47.1,5,6169000,1233,47.55,44.95,5.78%
2303,聯電,147.5,5,47325704,9465,149.5,135.0,10.74%
2317,鴻海,250.5,4,2509439,501,253.5,243.5,4.11%
2353,宏碁,32.4,5,2638335,527,32.8,30.75,6.67%
2376,技嘉,355.0,5,3831394,766,357.5,341.0,4.84%
2382,廣達,344.0,5,8461581,1692,346.0,328.5,5.33%
2542,興富發,46.85,5,9648000,1929,47.0,44.85,4.79%
2603,長榮,242.5,5,10795200,2159,242.5,228.5,6.13%
2618,長榮航,42.05,4,6970217,1394,42.45,40.85,3.92%
2633,台灣高鐵,26.05,5,4897000,979,26.15,25.85,1.16%
2801,彰銀,29.6,5,39170000,7834,29.75,26.55,12.05%
2855,統一證,52.5,5,5781100,1156,53.5,50.5,5.94%
2882,國泰金,112.0,4,9504591,1900,114.0,108.0,5.56%
2884,玉山金,47.3,5,26995362,5399,47.35,44.35,6.76%
2886,兆豐金,51.9,5,22066945,4413,52.9,49.4,7.09%
2887,台新金,44.05,5,26234174,5246,44.8,41.55,7.82%
2890,永豐金,45.95,5,40832068,8166,46.3,42.6,8.69%
2891,中信金,71.2,5,19417598,3883,71.7,66.3,8.14%
2892,第一金,40.75,5,29306505,5861,40.95,37.7,8.62%
3231,緯創,186.5,4,5146852,1029,188.5,179.5,5.01%
5876,上海商銀,49.95,4,2656000,531,50.0,47.1,6.16%
6505,台塑化,86.2,4,13245000,2649,90.6,80.0,13.25%
9904,寶成,24.8,5,6988000,1397,24.8,24.0,3.33%
