stock_id,lots
1101,-15323
1102,-586
1103,-51
1104,-63
1108,-5
1109,-7
1110,-54
1201,-300
1203,0
1210,-53
1213,0
1215,-214
1216,-1757
1217,-36
1218,-11
1219,17
1220,-5
1225,-1
1227,-118
1229,189
1231,-26
1232,0
1233,0
1234,-3
1235,-50
1236,0
1240,-1
1256,2
1259,0
1264,-2
1268,-1
1294,-1
1301,1689
1303,13889
1304,296
1305,115
1307,11
1308,235
1309,7
1310,247
1312,699
1313,91
1314,-13892
1315,0
1316,-216
1319,1
1321,0
1323,-1
1324,-1
1325,-2
1326,910
1336,0
1337,-19
1338,4
1339,-7
1340,2
1341,0
1342,2
1402,1289
1409,987
1410,-2
1413,0
1414,4
1416,1
1417,4
1418,2
1419,0
1423,0
1432,-4
1434,64
1435,0
1436,-33
1437,2
1438,0
1439,0
1440,586
1442,3
1443,0
1444,15
1445,0
1446,-3
1447,-27
1449,42
1451,-3
1452,-1
1453,-2
1454,-2
1455,-22
1456,61
1457,-1
1459,1
1460,-55
1463,2
1464,-1
1465,-1
1466,-3
1467,-2
1468,0
1470,0
1471,-2
1472,0
1473,-19
1474,-1
1475,0
1476,-371
1477,-155
1503,-79
1504,-569
1506,-41
1512,0
1513,360
1514,-776
1515,-22
1516,0
1517,-11
1519,-156
1521,-1
1522,99
1524,-11
1525,0
1526,-4
1527,14
1528,-788
1529,-59
1530,-1
1531,-31
1532,-38
1533,-3
1535,3
1536,153
1537,-11
1538,0
1539,0
1540,-1
1558,5
1560,120
1563,97
1565,-28
1568,-3
1569,690
1570,-1
1580,-1
1582,-9
1583,0
1584,-14
1586,-1
1587,1
1590,-84
1591,-40
1593,0
1595,-153
1597,-4
1598,-9
1599,0
1603,-6
1604,13
1605,-733
1608,-422
1609,8
1611,-43
1612,78
1614,-2
1615,-8
1616,-27
1617,-84
1618,-72
1626,-1
1702,8
1707,-38
1708,1571
1709,-22068
1710,92
1711,-129
1712,-59
1713,2
1714,731
1717,-676
1718,102
1720,-2
1721,-16
1722,-2320
1723,-63
1725,0
1726,-22
1727,-4992
1730,-3
1731,-7
1732,0
1733,0
1734,19
1735,-1
1736,89
1737,-33
1742,0
1752,0
1760,-19
1762,0
1773,-60
1776,0
1777,0
1781,0
1783,-1
1784,3
1785,-404
1786,-18
1788,-1
1789,-112
1795,-75
1796,0
1799,-1
1802,442
1805,0
1806,-6
1808,-212
1809,3051
1810,74
1813,0
1815,-8956
1817,0
1903,1
1904,311
1905,52
1906,-2
1907,-158
1909,-123
2002,-4734
2006,611
2007,3
2008,0
2009,-172
2010,409
2012,0
2013,-12
2014,492
2015,-2
2017,77
2020,259
2022,8
2023,42
2024,0
2025,223
2027,3188
2028,27
2029,12
2030,5277
2031,360
2032,398
2033,-413
2034,2338
2035,0
2038,63
2049,-132
2059,-3
2061,-140
2062,-13
2063,0
2065,-4
2066,0
2067,0
2069,221
2070,0
2073,0
2101,-221
2102,-157
2103,-239
2104,-2882
2105,-98
2106,36
2107,10
2108,0
2114,0
2115,0
2201,-356
2204,1
2206,-26
2207,-132
2208,-204
2211,-395
2221,-91
2227,-1
2228,2
2230,37
2231,-12
2233,-23
2235,0
2236,62
2239,0
2241,-398
2243,-27
2247,-10
2248,0
2250,-1
2301,358
2302,-705
2303,-49597
2305,-164
2308,324
2312,201
2313,-666
2314,-9
2316,92
2317,-21799
2321,0
2323,425
2324,-5565
2327,1954
2328,54
2329,-320
2330,-4904
2331,-146
2332,-1575
2337,-8389
2338,-365
2340,137
2342,-6766
2344,-16974
2345,-324
2347,176
2348,-42
2349,-12
2351,742
2352,-40
2353,1782
2354,-170
2355,108
2356,-3950
2357,40
2359,-59
2360,129
2362,12
2363,-1533
2364,-22
2365,-12
2367,331
2368,-3389
2369,212
2371,-459
2373,0
2374,3
2375,-138
2376,-77
2377,271
2379,-441
2380,-3
2382,-2501
2383,-234
2385,-17
2387,-21
2388,-1104
2390,7
2392,-14
2393,355
2395,477
2397,6
2399,-105
2401,-14
2402,212
2404,528
2405,-15
2406,-84
2408,-20210
2409,-74600
2412,901
2413,-91
2414,-3
2417,-19
2419,9
2420,-4
2421,312
2423,-25
2424,0
2425,29
2426,-1789
2427,-9
2428,-13
2429,-5
2430,10
2431,1
2433,-8
2434,-33
2436,660
2438,-19
2439,-70
2440,7
2441,-239
2442,-167
2444,105
2449,2230
2450,-4
2451,-84
2453,-1
2454,359
2455,383
2457,-187
2458,-215
2459,-14
2460,-70
2461,30
2462,28
2464,-918
2465,-61
2466,490
2467,13
2468,159
2471,21
2472,-312
2474,-19
2476,8
2477,15
2478,189
2480,7
2481,33
2482,-5
2483,11
2484,-122
2485,-75
2486,-54
2488,0
2489,-2118
2491,-137
2492,2909
2493,-307
2495,94
2496,0
2497,3
2498,-448
2501,-639
2504,-417
2505,-6
2506,6
2509,-7
2511,13
2514,-13
2515,-175
2516,263
2520,265
2524,-1
2527,-27
2528,-41
2530,-18
2534,-81
2535,-98
2536,5
2537,21
2538,-9
2539,16
2540,-26
2542,-2366
2543,-2
2545,1
2546,14
2547,-652
2548,-92
2596,6
2597,-42
2603,177
2605,-1994
2606,68
2607,30
2608,5
2609,-283
2610,-10088
2611,-83
2612,3
2613,-7
2614,-56
2615,1039
2616,-22
2617,33
2618,-7330
2630,-32
2633,-1040
2634,-112
2636,372
2637,-97
2640,-1
2641,-5
2642,-1
2643,0
2645,-119
2646,-623
2701,-5
2702,0
2704,0
2705,-10
2706,0
2707,-27
2712,0
2718,0
2719,0
2722,-1
2723,-2
2724,0
2726,0
2727,188
2729,-1
2731,22
2732,-5
2734,-1
2736,0
2739,-20
2740,0
2743,-1
2745,-6
2748,1
2751,0
2752,-1
2753,5
2754,-1
2755,-3
2756,0
2762,-24
2801,-457
2812,-5105
2816,-64
2820,-1652
2832,-15
2834,-2856
2836,-50
2838,-248
2845,-872
2849,-14
2850,-72
2851,94
2852,-60
2855,488
2880,190
2881,-2871
2882,-2078
2883,-2381
2884,856
2885,-1722
2886,-2070
2887,-3190
2889,-4718
2890,918
2891,-1603
2892,1056
2897,-426
2901,0
2903,-273
2904,-1
2905,-420
2906,-7
2908,0
2910,0
2911,-1
2912,-900
2913,-100
2915,362
2916,0
2923,-53
2924,0
2926,0
2929,6
2939,0
2941,0
2945,6
2947,0
2948,0
2949,0
3002,-16
3003,145
3004,-16
3005,-17
3006,-1382
3008,-76
3010,91
3011,18
3013,-45
3014,-660
3015,29
3016,7918
3017,144
3018,-3
3019,-2895
3021,379
3022,383
3023,-105
3024,144
3025,4
3026,2509
3027,-1
3028,30
3029,442
3030,121
3031,659
3032,-206
3033,-62
3034,-546
3035,942
3036,378
3037,2017
3038,15
3040,-2
3041,-51
3042,-1108
3043,-3
3044,-149
3045,266
3046,-4
3047,-92
3048,-155
3049,-266
3050,48
3051,-13
3052,11
3054,-5
3055,-748
3056,1
3057,-21
3058,-47
3059,-17
3060,-15
3062,-212
3064,0
3066,-168
3067,0
3071,-43
3073,0
3078,29
3081,-25
3083,0
3085,0
3086,-37
3088,101
3090,-352
3092,4
3093,-2
3094,-2770
3095,-1
3105,2490
3114,344
3115,-1
3118,-4
3122,-1
3128,-5
3130,-1
3131,7
3138,-281
3141,-318
3147,-6
3149,74
3152,-9
3162,-137
3163,-122
3164,-1
3167,816
3168,0
3169,7
3171,0
3176,-128
3178,-96
3188,-8
3189,7068
3191,0
3205,0
3206,0
3207,-1
3209,-11
3211,-254
3213,10
3217,-15
3218,-16
3219,225
3221,-533
3224,0
3226,0
3227,-123
3228,11
3229,-331
3230,-122
3231,6720
3232,0
3234,-582
3236,287
