排名,股票代碼,公司名稱,公司產業,上市櫃,5天正天數,今日主力買超(張),5日累積買超(張)
1,2409,友達,光電業,上市,4,69727,343635
2,2885,元大金,金融保險業,上市,5,12,32687
3,2002,中鋼,鋼鐵工業,上市,4,11834,26975
4,5880,合庫金,金融保險業,上市,5,2274,24919
5,2892,第一金,金融保險業,上市,5,358,23307
6,6505,台塑化,油電燃氣業,上市,4,16175,20368
7,3711,日月光投控,半導體業,上市,4,7491,19799
8,2618,長榮航,航運業,上市,3,1482,11053
9,2412,中華電,通信網路業,上市,5,3083,11025
10,5314,世紀,半導體業,上櫃,4,3393,10577
11,6116,彩晶,光電業,上市,4,6755,9176
12,6179,亞通,其他業,上櫃,3,3972,7181
13,1314,中石化,塑膠工業,上市,3,6672,6702
14,3045,台灣大,通信網路業,上市,5,965,6616
15,2855,統一證,金融保險業,上市,5,211,6092
16,1605,華新,電器電纜,上市,3,1736,5424
17,1102,亞泥,水泥工業,上市,3,1845,5069
18,2834,臺企銀,金融保險業,上市,3,12887,5032
19,3037,欣興,電子零組件業,上市,3,3861,4139
20,2455,全新,通信網路業,上市,4,822,3991
21,2605,新興,航運業,上市,5,79,3391
22,3374,精材,半導體業,上櫃,5,182,3323
23,2606,裕民,航運業,上市,4,1970,3178
24,3702,大聯大,電子通路業,上市,5,1984,3143
25,1718,中纖,化學工業,上市,3,4073,2611
26,3693,營邦,電腦及週邊設備業,上櫃,5,618,2363
27,6538,倉和,電子零組件業,上櫃,5,264,2289
28,3680,家登,半導體業,上櫃,4,1698,2165
29,1609,大亞,電器電纜,上市,3,1572,2113
30,6214,精誠,資訊服務業,上市,5,511,2089
31,1304,台聚,塑膠工業,上市,3,1539,2032
32,8227,巨有科技,半導體業,上櫃,3,999,1963
33,6547,高端疫苗,生技醫療業,上櫃,4,1391,1920
34,3229,晟鈦,電子零組件業,上市,4,1475,1799
35,2520,冠德,建材營造業,上市,4,243,1716
36,2337,旺宏,半導體業,上市,4,1120,1713
37,4904,遠傳,通信網路業,上市,4,133,1671
38,2474,可成,其他電子業,上市,4,561,1510
39,1229,聯華,食品工業,上市,3,745,1487
40,6023,元大期,金融保險業,上櫃,4,808,1425
41,1513,中興電,電機機械,上市,4,901,1412
42,4961,天鈺,半導體業,上市,3,34,1411
43,1710,東聯,化學工業,上市,3,1236,1358
44,2511,太子,建材營造業,上市,5,134,1310
45,6834,天二科技,電子零組件業,上市,3,196,1231
46,2023,燁輝,鋼鐵工業,上市,5,287,1220
47,2633,台灣高鐵,航運業,上市,3,4,1089
48,3406,玉晶光,光電業,上市,4,761,1036
49,6177,達麗,建材營造業,上市,4,312,982
50,1104,環泥,水泥工業,上市,3,52,938
51,2836,高雄銀,金融保險業,上市,3,258,924
52,2612,中航,航運業,上市,4,340,806
53,5607,遠雄港,航運業,上市,4,71,792
54,2360,致茂,其他電子業,上市,4,100,747
55,1210,大成,食品工業,上市,4,27,708
56,8358,金居,電子零組件業,上櫃,4,364,698
57,2601,益航,貿易百貨業,上市,4,461,679
58,2543,皇昌,建材營造業,上市,5,200,645
59,2539,櫻花建,建材營造業,上市,4,259,644
60,2540,愛山林,建材營造業,上市,3,328,630
61,1612,宏泰,電器電纜,上市,4,399,613
62,4939,亞電,電子零組件業,上櫃,3,41,565
63,6532,瑞耘,半導體業,上櫃,4,81,563
64,3703,欣陸,建材營造業,上市,4,191,524
65,1709,和益,化學工業,上市,3,2024,524
66,4716,大立,化學工業,上櫃,4,23,455
67,9907,統一實,其他業,上市,3,183,451
68,1514,亞力,電機機械,上市,4,500,436
69,4908,前鼎,通信網路業,上櫃,4,268,410
70,2461,光群雷,其他電子業,上市,5,60,392
71,3490,單井,光電業,上櫃,4,210,379
72,9919,康那香,其他業,上市,4,68,360
73,4974,亞泰,電子零組件業,上櫃,4,281,340
74,5512,力麒,建材營造業,上櫃,4,149,335
75,2504,國產,建材營造業,上市,4,26,333
76,6021,美好證,金融保險業,上櫃,5,77,327
77,2849,安泰銀,金融保險業,上市,4,7,326
78,1604,聲寶,電器電纜,上市,5,18,310
79,2206,三陽工業,汽車工業,上市,5,202,302
80,6743,安普新,其他電子業,上市,5,37,288
81,2597,潤弘,建材營造業,上市,4,212,277
82,2355,敬鵬,電子零組件業,上市,3,619,247
83,5521,工信,建材營造業,上市,3,229,242
84,4923,力士,半導體業,上櫃,3,151,239
85,3653,健策,電子零組件業,上市,4,151,227
86,8421,旭源,其他業,上櫃,3,21,214
87,3437,榮創,光電業,上市,3,229,214
88,2516,新建,建材營造業,上市,4,167,203
89,2211,長榮鋼,鋼鐵工業,上市,3,81,198
90,8277,商丞,半導體業,上櫃,5,42,194
91,6840,東研信超,其他電子業,上櫃,5,6,190
92,1708,東鹼,化學工業,上市,3,465,189
93,1904,正隆,造紙工業,上市,3,71,186
94,2425,承啟,電腦及週邊設備業,上市,3,2,181
95,5274,信驊,半導體業,上櫃,4,31,179
96,2548,華固,建材營造業,上市,4,190,174
97,3705,永信,生技醫療業,上市,5,50,173
98,4174,浩鼎,生技醫療業,上櫃,3,111,172
99,2107,厚生,橡膠工業,上市,4,103,162
100,6933,AMAX-KY,電腦及週邊設備業,上市,4,158,153
101,1558,伸興,電機機械,上市,5,36,152
102,1618,合機,電器電纜,上市,4,14,148
103,2607,榮運,航運業,上市,4,53,145
104,6576,逸達,生技醫療業,上櫃,4,15,138
105,6153,嘉聯益,電子零組件業,上市,3,857,134
106,1442,名軒,建材營造業,上市,5,58,132
107,1734,杏輝,生技醫療業,上市,3,26,131
108,7703,銳澤,其他電子業,上櫃,4,41,130
109,8103,瀚荃,電子零組件業,上市,4,9,127
110,3546,宇峻,文化創意業,上櫃,4,12,118
111,6245,立端,通信網路業,上櫃,4,285,116
112,1217,愛之味,食品工業,上市,4,10,112
113,2923,鼎固-KY,建材營造業,上市,4,25,107
114,2748,雲品,觀光餐旅,上市,5,20,104
115,2243,宏旭-KY,汽車工業,上市,4,119,103
116,1598,岱宇,運動休閒,上市,4,16,97
117,6462,神盾,半導體業,上櫃,3,32,95
118,2903,遠百,貿易百貨業,上市,3,31,89
119,1532,勤美,電機機械,上市,4,30,88
120,3609,三一東林,電子零組件業,上櫃,4,28,86
121,3685,元創精密,電機機械,上櫃,4,6,81
122,6148,驊宏資,資訊服務業,上櫃,4,11,80
123,2505,國揚,建材營造業,上市,4,18,75
124,3628,盈正,其他電子業,上櫃,4,59,75
125,6199,天品,其他業,上櫃,4,29,73
126,3188,鑫龍騰,建材營造業,上櫃,5,3,71
127,6873,泓德能源,綠能環保,上市,3,37,68
128,3710,連展投控,電子零組件業,上櫃,3,51,67
129,3092,鴻碩,電子零組件業,上市,4,42,66
130,1527,鑽全,電機機械,上市,4,1,57
131,1325,恆大,塑膠工業,上市,3,59,56
132,2020,美亞,鋼鐵工業,上市,4,11,52
133,1459,聯發,紡織纖維,上市,5,2,52
134,1234,黑松,食品工業,上市,4,7,51
135,3623,富晶通,光電業,上櫃,4,4,49
136,6670,復盛應用,運動休閒,上市,4,21,46
137,2453,凌群,資訊服務業,上市,4,27,45
138,2115,六暉-KY,汽車工業,上市,3,41,44
139,5324,士開,建材營造業,上櫃,4,9,43
140,6712,長聖,生技醫療業,上櫃,4,20,41
141,3206,志豐,電子零組件業,上櫃,5,5,39
142,2351,順德,半導體業,上市,3,622,38
143,1806,冠軍,玻璃陶瓷,上市,4,1,36
144,1702,南僑,食品工業,上市,3,10,35
145,2015,豐興,鋼鐵工業,上市,4,4,35
146,6609,瀧澤科,電機機械,上櫃,4,24,30
147,3522,御嵿,觀光餐旅,上櫃,4,2,28
148,2013,中鋼構,鋼鐵工業,上市,3,3,28
149,6136,富爾特,通信網路業,上市,4,5,25
150,5244,弘凱,光電業,上市,4,7,23
151,3625,西勝,電腦及週邊設備業,上櫃,4,12,23
152,2430,燦坤,電子通路業,上市,5,1,23
153,2524,京城,建材營造業,上市,4,3,20
154,2704,國賓,觀光餐旅,上市,5,11,19
155,6425,易發,電機機械,上櫃,3,43,17
156,4113,聯上,建材營造業,上櫃,3,3,14
157,3054,立萬利,食品工業,上市,3,3,14
158,6785,昱展新藥,生技醫療業,上櫃,4,8,12
159,1540,喬福,電機機械,上市,4,4,11
160,2537,聯上發,建材營造業,上市,3,68,10
161,5201,凱衛,資訊服務業,上櫃,3,9,10
162,2228,劍麟,汽車工業,上市,3,24,9
163,6598,ABC-KY,生技醫療業,上市,3,28,9
164,2596,綠意,建材營造業,上櫃,3,13,9
165,1467,南緯,紡織纖維,上市,3,6,3
166,6689,伊雲谷,數位雲端,上市,4,14,3
167,2482,連宇,其他電子業,上市,3,1,-2
168,2705,六福,觀光餐旅,上市,4,2,-3
169,1232,大統益,食品工業,上市,3,7,-3
170,1784,訊聯,生技醫療業,上櫃,3,10,-4
171,5011,久陽,鋼鐵工業,上櫃,3,9,-6
172,2427,三商電,資訊服務業,上市,3,66,-6
173,5283,禾聯碩,電器電纜,上市,3,10,-7
174,5210,寶碩,資訊服務業,上櫃,4,9,-8
175,6872,浩宇生醫,生技醫療業,上櫃,3,24,-12
176,3379,彬台,電機機械,上櫃,3,7,-14
177,4536,拓凱,運動休閒,上市,3,39,-16
178,4943,康控-KY,電子零組件業,上市,3,1,-20
179,8183,精星,其他電子業,上櫃,3,76,-35
180,8464,億豐,居家生活,上市,3,33,-42
181,2031,新光鋼,鋼鐵工業,上市,3,9,-51
182,6592,和潤企業,其他業,上市,3,2,-62
183,4414,如興,紡織纖維,上市,3,1,-75
184,1336,台翰,電子零組件業,上櫃,3,1,-80
185,5534,長虹,建材營造業,上市,3,8,-81
186,4306,炎洲,塑膠工業,上市,3,90,-114
187,2070,精湛,電機機械,上櫃,3,16,-122
188,2915,潤泰全,貿易百貨業,上市,3,59,-123
189,1736,喬山,運動休閒,上市,4,18,-132
190,1517,利奇,電機機械,上市,3,23,-150
191,3545,敦泰,半導體業,上市,3,18,-153
192,2913,農林,貿易百貨業,上市,3,87,-179
193,8932,智通*,其他業,上櫃,3,173,-182
194,3591,艾笛森,光電業,上市,4,145,-200
195,4534,慶騰,電機機械,上櫃,3,32,-206
196,3021,鴻名,電子零組件業,上市,4,61,-207
197,1907,永豐餘,造紙工業,上市,3,41,-214
198,8215,明基材,光電業,上市,3,48,-218
199,2010,春源,鋼鐵工業,上市,3,107,-240
200,4991,環宇-KY,半導體業,上櫃,4,202,-317
201,2889,國票金,金融保險業,上市,3,1887,-343
202,8105,凌巨,光電業,上市,4,142,-344
203,1447,力鵬,紡織纖維,上市,3,134,-348
204,1808,潤隆,建材營造業,上市,3,522,-398
205,4532,瑞智,電機機械,上市,3,103,-456
206,4915,致伸,電子零組件業,上市,3,446,-475
207,9945,潤泰新,其他業,上市,3,401,-495
208,2851,中再保,金融保險業,上市,3,111,-614
209,3149,正達,光電業,上市,4,845,-642
210,2328,廣宇,電子零組件業,上市,3,265,-821
211,1440,南紡,紡織纖維,上市,3,281,-874
212,3260,威剛,半導體業,上櫃,3,5,-973
213,3380,明泰,通信網路業,上市,3,455,-1446
214,5904,寶雅,居家生活,上櫃,3,1080,-2647
