公司名稱,股票代碼,最新收盤價,標的債券,債券代號,轉換價格,差異百分比,股票成交量,股票5MA,可轉債成交量,可轉債5MA
耀登,3138,113.5,耀登二,31382,114.7,1.06,1790401,890793.0,544,109.0
綠茵,6846,74.9,綠茵二,68462,78.0,4.14,139188,41367.0,3,1.0
