排名,族群,族群平均漲幅,族群上漲檔數(%),族群上漲檔數(數量),外資近一日總買超(億元),外資近三日總買超(億元),投信近一日總買超(億元),投信近三日總買超(億元)
1,造紙,4.24,100.0,7/7,0.46,0.98,0.0,0.0
2,塑膠,3.55,83.33,15/18,17.42,34.94,-2.37,-1.98
3,金融,3.3,78.95,15/19,17.42,34.95,-2.37,-1.98
4,低軌衛星,1.51,57.14,4/7,73.51,130.11,12.69,21.96
5,化學,0.27,55.0,11/20,11.85,28.04,-1.42,-0.08
6,PCB,2.05,53.33,8/15,168.21,259.52,22.83,30.64
7,銀,-1.14,50.0,2/4,5.63,12.2,-0.06,-2.03
8,TPU_散熱,2.74,50.0,2/4,14.32,21.72,8.32,10.34
9,軍工_無人機相關,-0.93,44.44,4/9,-35.44,-44.5,-5.39,-10.21
10,BBU_電池模組,-1.37,42.86,3/7,15.47,31.86,5.88,12.62
11,工業自動化與機器人,0.02,42.86,3/7,-1.78,6.53,0.19,0.16
12,半導體設備,0.55,42.86,3/7,11.08,3.8,0.04,23.94
13,BBU_電源供應器與整合,-0.9,40.0,2/5,-13.97,126.64,5.53,8.03
14,光學元件或組裝,-0.27,40.0,6/15,0.35,30.63,13.14,29.5
15,銅,0.88,40.0,4/10,36.76,80.05,3.09,11.17
16,TPU_伺服器主板與印刷電路板,0.68,40.0,2/5,39.8,33.37,-5.26,-5.93
17,鋼鐵,-0.66,40.0,6/15,1.27,11.71,0.23,4.26
18,CPO_先進封裝測試,-0.09,40.0,2/5,7.83,21.53,-0.88,-6.43
19,紡織,-0.8,40.0,8/20,1.93,-2.65,-0.11,-0.2
20,IC設計,0.0,38.46,5/13,-38.78,-61.26,-20.15,-18.61
21,電池或電源,-1.2,35.0,7/20,-9.82,157.05,11.39,20.75
22,CPO_光通訊,-0.9,33.33,2/6,-13.89,8.98,17.44,37.05
23,玻璃,-0.28,33.33,5/15,9.94,52.67,2.55,-1.85
24,TPU_光通訊與連接器,1.76,25.0,1/4,6.75,-5.47,14.72,30.85
25,機器人,-1.04,21.43,3/14,-26.23,114.82,6.13,12.86
26,記憶體控制IC,-2.53,20.0,1/5,-0.02,2.17,-0.01,-0.05
27,網通設備組件,-0.64,20.0,4/20,-17.23,15.59,20.62,48.3
28,電器電纜,-1.52,20.0,2/10,-10.98,2.68,-0.02,0.03
29,軍工_航太製造與維修,-0.99,16.67,1/6,-0.27,2.13,0.0,0.05
30,被動元件,-0.85,15.79,3/19,-17.43,120.63,5.8,10.63
31,航運,-1.42,6.67,1/15,-2.26,1.5,-0.27,0.52
32,軟體設計,-1.21,6.67,1/15,1.16,1.41,0.14,0.14
33,記憶體封裝與測試,-2.83,0.0,0/4,-4.27,-5.22,-0.02,2.34
34,記憶體模組,-7.97,0.0,0/7,8.78,24.32,-7.64,-26.76
35,記憶體製造,-3.98,0.0,0/4,-58.86,-140.13,-10.73,-60.62
36,無塵室與機電工程,-5.7,0.0,0/5,-37.76,-8.65,-2.2,-0.36
37,廠務系統與水處理,-1.5,0.0,0/7,-2.82,-2.4,0.0,0.0
