排名,股票代碼,公司產業,公司名稱,大戶持有比例差,大戶增加比例(%),第一天開盤價,期間最高價,期間最低價,最後一天收盤價,周漲幅
1,2485,通信網路業,兆赫,12.6,50.4,25.55,38.4,24.65,35.45,38.7
2,5328,電子零組件類,華容,12.2,31.7,20.35,28.4,20.35,28.4,39.6
3,4987,電腦及週邊類,科誠,15.8,31.6,74.0,81.9,73.5,81.5,10.1
4,4989,電子工業,榮科,12.9,29.8,49.5,68.2,47.75,65.4,32.1
5,2406,光電業,國碩,8.7,29.0,25.0,32.95,24.25,30.6,22.4
6,6282,電子工業,康舒,9.6,23.4,43.5,59.2,43.5,54.7,25.7
7,8034,通信網路類,榮群,2.8,17.9,24.0,27.5,23.9,26.5,10.4
8,8043,電子零組件類,蜜望實,7.5,14.0,80.3,108.5,79.1,95.1,18.4
9,3236,電子零組件類,千如,4.4,13.4,29.7,38.75,29.5,37.05,24.7
10,2481,半導體業,強茂,5.8,12.2,80.4,92.9,78.1,91.5,13.8
11,2367,電子工業,燿華,3.6,11.9,29.25,38.15,29.25,36.65,25.3
12,4541,其他,晟田,3.3,10.9,44.45,50.0,44.45,47.55,7.0
13,4130,生技醫療類,健亞,5.0,10.7,36.15,40.15,30.6,30.95,-14.4
14,3535,光電業,晶彩科,4.2,10.7,94.0,103.0,84.3,96.9,3.1
15,8064,光電業類,東捷,4.0,10.7,46.9,60.9,45.85,55.6,18.6
16,4939,電子零組件類,亞電,3.8,10.7,36.6,41.4,35.4,39.2,7.1
17,6155,電子工業,鈞寶,5.8,9.6,46.85,61.2,45.7,55.6,18.7
18,8155,電子零組件類,博智,4.6,8.5,170.5,193.0,169.0,175.0,2.6
19,2369,半導體業,菱生,2.6,8.5,24.95,29.5,23.25,28.15,12.8
20,6712,生技醫療類,長聖,3.2,8.1,162.0,163.0,159.0,159.5,-1.5
21,6217,電子零組件類,中探針,2.0,8.0,50.6,53.3,49.1,52.8,4.3
22,5425,半導體類,台半,2.7,7.9,53.4,70.8,52.1,65.7,23.0
23,2312,其他電子業,金寶,3.9,7.7,22.7,35.65,22.3,33.7,48.5
24,6590,資訊服務類,普鴻,3.8,7.5,73.0,74.0,72.1,74.0,1.4
25,2375,電子工業,凱美,1.6,6.7,88.4,108.0,88.0,104.5,18.2
26,3305,其他電子業,昇貿,2.5,6.1,108.0,130.0,108.0,125.0,15.7
27,8996,電機機械,高力,3.0,6.0,600.0,765.0,599.0,680.0,13.3
28,6104,半導體類,創惟,0.9,5.8,92.6,110.5,92.4,100.5,8.5
29,6237,半導體類,驊訊,1.0,5.8,40.4,42.0,39.2,40.9,1.2
30,6182,半導體類,合晶,1.2,5.7,33.8,41.5,32.0,38.5,13.9
31,3664,通信網路類,安瑞-KY,3.4,5.7,17.15,17.3,15.9,16.0,-6.7
32,5439,電子零組件類,高技,2.4,5.6,314.5,323.0,299.0,304.0,-3.3
33,6284,電子零組件類,佳邦,2.7,5.5,82.0,97.7,81.7,92.0,12.2
34,4953,資訊服務類,緯軟,2.6,5.5,135.0,139.0,132.5,135.5,0.4
35,4977,通信網路業,眾達-KY,0.9,5.4,128.5,131.5,118.0,118.5,-7.8
36,3406,光電業,玉晶光,2.6,5.1,436.0,474.0,436.0,451.0,3.4
37,1711,化學工業,永光,2.3,5.1,20.5,25.25,19.85,23.05,12.4
38,3167,電機機械,大量,2.3,5.0,215.5,246.5,214.5,225.5,4.6
39,5201,資訊服務類,凱衛,2.4,4.9,43.75,46.3,43.3,43.8,0.1
40,3339,光電業類,泰谷,1.4,4.7,26.1,28.4,25.55,27.3,4.6
41,6770,半導體業,力積電,2.2,4.7,48.0,56.4,44.7,56.4,17.5
42,6485,半導體類,點序,1.2,4.6,108.0,126.5,95.0,116.0,7.4
43,2365,電子工業,昆盈,0.9,4.6,35.0,37.15,34.2,36.2,3.4
44,3691,光電業類,碩禾,2.6,4.5,78.0,114.5,76.4,114.5,46.8
45,6190,通信網路類,萬泰科,1.6,4.4,47.0,51.6,46.5,49.05,4.4
46,6257,半導體業,矽格,2.4,4.3,115.0,141.0,112.0,137.5,19.6
47,3360,電子通路類,尚立,1.1,4.2,15.5,17.0,15.35,15.6,0.6
48,1721,化學工業,三晃,1.4,4.1,15.85,20.6,14.85,20.6,30.0
49,5251,光電業類,天鉞電,1.4,4.0,34.2,35.0,33.9,34.75,1.6
50,2439,通信網路業,美律,1.9,4.0,101.0,110.5,98.6,106.5,5.4
