股票代碼,公司名稱,收盤價,近10日漲幅,成交量(張),量能比
1444,力麗,8.96,24.44%,16896,3.18
1718,中纖,13.45,44.94%,92049,4.03
2409,友達,32.7,35.68%,898082,1.55
2425,承啟,45.2,17.86%,12102,3.72
2458,義隆,189.0,25.17%,13733,2.27
2472,立隆電,453.5,17.49%,28325,1.73
2634,漢翔,56.6,19.79%,65341,3.22
3037,欣興,1070.0,11.46%,33861,1.51
3360,尚立,22.7,49.34%,14635,5.77
4532,瑞智,28.15,14.66%,17067,3.5
5328,華容,71.1,52.74%,29985,1.81
5371,中光電,86.9,25.58%,42625,2.73
6156,松上,28.8,27.43%,11025,3.5
6191,精成科,106.5,3.4%,39544,2.09
8936,國統,65.0,12.26%,19119,1.75
