股票代碼,公司名稱,最新收盤價,投信買超天數,投信5日淨買超,平均買超張數,5日最高價,5日最低價,價格波動率
1216,統一,74.5,5,26074874,5214,76.4,74.5,2.55%
1402,遠東新,28.5,4,56781777,11356,29.25,28.0,4.46%
1513,中興電,177.0,5,11129002,2225,185.5,175.0,6.00%
2317,鴻海,251.0,4,4018877,803,262.5,246.0,6.71%
2344,華邦電,207.5,4,85524185,17104,225.0,197.5,13.92%
2376,技嘉,344.0,5,4768787,953,346.5,318.5,8.79%
2377,微星,146.0,5,19360000,3872,146.0,131.0,11.45%
2382,廣達,368.0,5,12886940,2577,375.0,357.0,5.04%
2412,中華電,141.5,5,12641409,2528,145.5,141.5,2.83%
2504,國產,33.25,5,13343055,2668,34.05,32.3,5.42%
2542,興富發,43.05,5,7465450,1493,43.85,42.2,3.91%
2610,華航,23.7,4,24089934,4817,24.75,22.25,11.24%
2633,台灣高鐵,26.5,5,44224000,8844,26.75,25.65,4.29%
2845,遠東銀,13.0,5,44532740,8906,13.25,12.9,2.71%
2880,華南金,38.0,5,58698158,11739,38.15,36.25,5.24%
2884,玉山金,34.45,5,77112781,15422,35.8,34.15,4.83%
2886,兆豐金,46.1,5,125131385,25026,47.4,44.4,6.76%
2890,永豐金,39.9,5,109636649,21927,40.9,38.9,5.14%
2892,第一金,32.75,5,101702961,20340,33.25,32.0,3.91%
2903,遠百,23.0,5,7337000,1467,23.8,22.9,3.93%
3045,台灣大,116.5,5,14896443,2979,120.5,116.0,3.88%
3231,緯創,158.5,5,29384189,5876,162.0,153.0,5.88%
3596,智易,192.0,5,2552594,510,196.0,180.5,8.59%
3706,神達,87.3,4,11824000,2364,89.2,83.5,6.83%
4904,遠傳,105.0,5,52914620,10582,110.0,103.0,6.80%
5483,中美晶,180.0,5,4595966,919,180.0,161.0,11.80%
5876,上海商銀,42.7,5,34386000,6877,42.8,41.2,3.88%
8926,台汽電,76.3,5,7521000,1504,83.8,75.5,10.99%
