股票代碼,公司名稱,收盤價,近10日漲幅,成交量(張),量能比
2002,中鋼,20.75,7.79%,236123,3.15
2014,中鴻,19.75,18.98%,136000,4.36
2034,允強,22.55,7.38%,12161,2.48
2038,海光,16.55,8.17%,13220,6.45
2233,宇隆,289.5,21.64%,12012,3.83
2337,旺宏,92.8,38.51%,397775,1.85
2367,燿華,51.8,41.34%,138595,3.38
2451,創見,266.5,4.92%,22911,1.75
3006,晶豪科,195.0,26.21%,59444,2.73
3019,亞光,163.5,18.05%,43228,4.69
3028,增你強,46.0,13.72%,23439,1.93
3037,欣興,378.5,38.14%,76990,1.51
3189,景碩,252.0,30.91%,76967,1.7
3221,台嘉碩,30.1,13.8%,22502,4.85
3550,聯穎,17.3,11.25%,23548,4.7
4956,光鋐,23.3,10.69%,11672,3.24
4958,臻鼎-KY,195.5,12.36%,59065,1.99
6285,啟碁,185.0,71.3%,57983,4.43
6426,統新,122.5,39.05%,21171,2.61
6770,力積電,69.5,23.23%,502280,1.55
8096,擎亞,76.3,49.9%,52847,3.49
8104,錸寶,42.0,5.13%,20981,2.62
