股票代碼,公司名稱,最新收盤價,投信買超天數,投信5日淨買超,平均買超張數,5日最高價,5日最低價,價格波動率
1102,亞泥,37.2,5,50323375,10064,38.0,36.25,4.83%
1216,統一,77.1,4,44140270,8828,80.5,76.5,5.23%
1605,華新,31.8,4,7848456,1569,34.85,31.25,11.52%
1785,光洋科,66.5,4,2525000,505,70.6,63.6,11.01%
2027,大成鋼,35.6,4,30175000,6035,36.35,34.7,4.76%
2357,華碩,548.0,5,10120004,2024,557.0,535.0,4.11%
2603,長榮,190.0,5,10130159,2026,192.5,185.5,3.77%
2645,長榮航太,142.0,4,5662000,1132,151.0,140.5,7.47%
2883,凱基金,17.25,4,17487085,3497,17.8,17.25,3.19%
2884,玉山金,33.75,5,234111846,46822,34.15,32.85,3.96%
2887,台新金,20.4,5,289757085,57951,21.25,20.2,5.20%
3045,台灣大,108.5,5,58391020,11678,111.5,106.0,5.19%
5483,中美晶,106.5,5,3209016,641,109.0,100.0,9.00%
6188,廣明,107.0,4,5564000,1112,111.5,100.0,11.50%
6274,台燿,494.0,4,3810600,762,512.0,475.0,7.79%
6488,環球晶,406.0,4,5053216,1010,421.0,380.0,10.79%
9907,統一實,17.8,4,14794000,2958,18.55,17.75,4.51%
