股票代碼,公司名稱,收盤價,近10日漲幅,成交量(張),量能比
1528,恩德,23.75,46.6%,52558,6.95
2441,超豐,89.0,8.14%,16637,1.9
2451,創見,196.0,15.29%,24495,2.67
2495,普安,33.05,16.37%,20807,1.59
3006,晶豪科,118.0,50.7%,44646,2.11
3092,鴻碩,25.6,62.03%,11119,5.68
3260,威剛,279.5,55.71%,57998,1.94
3264,欣銓,124.5,38.95%,35811,3.82
3481,群創,17.05,32.17%,932979,5.21
3701,大眾控,54.4,41.3%,24342,7.78
4967,十銓,189.0,43.18%,38076,1.77
4979,華星光,325.5,30.46%,35233,1.75
4989,榮科,52.5,29.15%,45336,2.18
5351,鈺創,50.8,30.76%,64670,2.56
6116,彩晶,7.8,5.69%,38963,2.99
6205,詮欣,62.0,58.97%,12063,7.64
6257,矽格,116.5,20.73%,28158,3.54
6265,方土昶,32.15,62.78%,28496,2.51
6706,惠特,140.5,28.9%,24622,2.64
8068,全達,28.9,42.01%,12175,6.95
8131,福懋科,64.7,42.35%,35250,1.79
