股票代碼,公司名稱,突破日期,突破日股價,今日收盤價,今日至突破日漲跌幅,突破日成交量(張),20MA成交量(張),成交量倍數
8444,綠河-KY,2026-06-22,4.99,5.06,1.4%,10038,552,18.18
6208,日揚,2026-06-22,108.5,106.0,-2.3%,5021,1610,3.12
1310,台苯,2026-06-22,9.6,10.15,5.73%,19401,6227,3.12
3484,崧騰,2026-06-22,56.0,52.9,-5.54%,7290,1067,6.83
2634,漢翔,2026-06-22,48.1,50.1,4.16%,19052,5163,3.69
3715,定穎投控,2026-06-22,182.5,194.5,6.58%,38842,12286,3.16
4904,遠傳,2026-06-22,108.0,108.0,0.0%,43158,14016,3.08
2332,友訊,2026-06-22,20.8,18.95,-8.89%,62717,12279,5.11
6271,同欣電,2026-06-22,256.5,266.5,3.9%,27332,8973,3.05
6603,富強鑫,2026-06-22,25.75,25.35,-1.55%,5964,1958,3.05
1905,華紙,2026-06-22,18.8,18.45,-1.86%,73132,15057,4.86
3094,聯傑,2026-06-22,40.2,41.8,3.98%,10181,3392,3.0
6208,日揚,2026-06-18,94.0,106.0,12.77%,5947,1512,3.93
6182,合晶,2026-06-18,119.5,116.5,-2.51%,115199,36167,3.19
3060,銘異,2026-06-18,37.75,41.65,10.33%,22559,6958,3.24
6177,達麗,2026-06-18,48.85,45.9,-6.04%,8039,2618,3.07
4976,佳凌,2026-06-18,44.6,40.95,-8.18%,18480,4576,4.04
4904,遠傳,2026-06-18,110.5,108.0,-2.26%,42315,12271,3.45
6668,中揚光,2026-06-18,46.9,45.1,-3.84%,6827,2001,3.41
3484,崧騰,2026-06-18,51.7,52.9,2.32%,5412,723,7.48
6742,澤米,2026-06-18,68.1,69.0,1.32%,18058,3825,4.72
6919,康霈*,2026-06-18,99.2,119.5,20.46%,53934,7438,7.25
3312,弘憶股,2026-06-18,61.2,67.4,10.13%,22887,7568,3.02
1301,台塑,2026-06-18,48.4,52.4,8.26%,188508,39891,4.73
3041,揚智,2026-06-18,29.0,30.95,6.72%,13516,3214,4.2
2492,華新科,2026-06-18,537.0,617.0,14.9%,68149,8815,7.73
2207,和泰車,2026-06-18,460.0,481.0,4.57%,8781,1626,5.4
2002,中鋼,2026-06-18,18.8,19.5,3.72%,387667,102638,3.78
2458,義隆,2026-06-18,159.5,178.5,11.91%,14910,4043,3.69
2302,麗正,2026-06-18,45.5,47.65,4.73%,30436,8953,3.4
2838,聯邦銀,2026-06-18,22.6,22.4,-0.88%,7573,2520,3.0
2915,潤泰全,2026-06-18,52.4,52.6,0.38%,25797,5066,5.09
1905,華紙,2026-06-18,15.95,18.45,15.67%,44217,11539,3.83
6757,台灣虎航,2026-06-17,56.2,58.9,4.8%,17890,4585,3.9
1905,華紙,2026-06-17,15.55,18.45,18.65%,37075,9476,3.91
6182,合晶,2026-06-17,107.0,116.5,8.88%,172355,31985,5.39
1907,永豐餘,2026-06-17,28.15,27.4,-2.66%,12935,2609,4.96
6517,保勝光學,2026-06-17,76.0,77.1,1.45%,11257,2049,5.49
2105,正新,2026-06-17,29.55,30.05,1.69%,86620,25705,3.37
6209,今國光,2026-06-17,95.5,97.2,1.78%,95741,27670,3.46
8042,金山電,2026-06-17,189.5,190.5,0.53%,19754,4369,4.52
6668,中揚光,2026-06-17,45.5,45.1,-0.88%,12881,1693,7.61
2332,友訊,2026-06-17,17.45,18.95,8.6%,35055,9208,3.81
2305,全友,2026-06-17,30.0,37.0,23.33%,27643,9177,3.01
6180,橘子,2026-06-17,49.8,51.4,3.21%,5123,1605,3.19
3094,聯傑,2026-06-17,36.95,41.8,13.13%,14212,3109,4.57
5011,久陽,2026-06-17,21.15,23.05,8.98%,5265,1465,3.59
4976,佳凌,2026-06-17,38.05,40.95,7.62%,27817,3782,7.35
2342,茂矽,2026-06-17,48.8,58.6,20.08%,50499,11411,4.43
2399,映泰,2026-06-17,54.0,51.6,-4.44%,46197,12501,3.7
2425,承啟,2026-06-17,40.5,39.35,-2.84%,11249,2294,4.9
3630,新鉅科,2026-06-17,33.9,33.65,-0.74%,26662,4194,6.36
3532,台勝科,2026-06-17,387.0,378.5,-2.2%,15391,3752,4.1
3504,揚明光,2026-06-17,89.5,91.5,2.23%,15344,3597,4.27
3360,尚立,2026-06-17,15.3,17.25,12.75%,7845,976,8.04
3026,禾伸堂,2026-06-17,830.0,897.0,8.07%,15854,3711,4.27
3362,先進光,2026-06-17,197.0,205.0,4.06%,22345,6394,3.49
