排名,族群,族群平均漲幅,族群上漲檔數(%),族群上漲檔數(數量),外資近一日總買超(億元),外資近三日總買超(億元),投信近一日總買超(億元),投信近三日總買超(億元)
1,BBU_電池模組,1.91,100.0,7/7,7.82,12.2,0.67,0.47
2,軍工_航太製造與維修,3.76,100.0,6/6,2.83,4.08,-0.21,-0.43
3,記憶體封裝與測試,5.32,100.0,4/4,-3.34,3.92,1.13,4.58
4,TPU_散熱,2.67,100.0,4/4,9.83,17.81,-5.37,-18.18
5,TPU_伺服器主板與印刷電路板,4.77,100.0,5/5,119.54,121.67,5.99,2.85
6,記憶體製造,7.81,100.0,4/4,-132.14,-135.9,126.92,205.21
7,軍工_無人機相關,4.0,100.0,9/9,168.44,245.24,-85.4,-190.24
8,記憶體控制IC,4.87,100.0,5/5,7.28,15.89,0.1,-0.6
9,工業自動化與機器人,2.28,85.71,6/7,-1.26,-0.18,0.33,0.4
10,電池或電源,3.27,85.0,17/20,37.43,48.65,-38.9,-50.01
11,銅,5.16,80.0,8/10,77.56,147.12,25.54,35.88
12,CPO_先進封裝測試,3.08,80.0,4/5,29.46,37.37,-5.92,-4.62
13,BBU_電源供應器與整合,2.61,80.0,4/5,20.08,25.63,-46.31,-64.68
14,無塵室與機電工程,3.08,80.0,4/5,15.93,20.27,0.13,1.34
15,化學,2.9,80.0,16/20,3.15,78.57,9.92,-42.49
16,銀,3.05,75.0,3/4,-33.9,-187.22,27.52,137.33
17,TPU_光通訊與連接器,3.7,75.0,3/4,19.33,11.12,-7.94,1.67
18,金融,1.7,73.68,14/19,8.58,91.93,5.61,-49.24
19,玻璃,4.79,73.33,11/15,105.37,111.36,32.53,26.17
20,鋼鐵,1.27,73.33,11/15,27.14,94.03,-4.47,-63.43
21,塑膠,1.66,72.22,13/18,8.58,91.94,5.61,-49.24
22,記憶體模組,1.32,71.43,5/7,-23.1,-2.13,1.37,-0.94
23,廠務系統與水處理,1.93,71.43,5/7,2.15,4.72,-0.0,-0.01
24,電器電纜,2.48,70.0,7/10,21.96,18.12,6.83,14.49
25,航運,0.39,66.67,10/15,11.49,18.54,-1.01,-3.88
26,PCB,3.94,66.67,10/15,108.29,-58.68,-7.69,163.58
27,機器人,1.42,64.29,9/14,15.74,18.32,-45.99,-64.36
28,IC設計,2.91,61.54,8/13,158.85,118.31,-94.94,-99.52
29,半導體設備,0.3,57.14,4/7,-1.64,2.13,-0.24,1.27
30,光學元件或組裝,0.24,46.67,7/15,-22.19,-17.84,-9.27,14.96
31,網通設備組件,0.64,45.0,9/20,158.08,272.61,-103.22,-212.04
32,軟體設計,0.76,40.0,6/15,-1.51,-2.01,-0.0,-0.02
33,CPO_光通訊,0.21,33.33,2/6,-9.14,-24.84,-7.67,10.02
34,低軌衛星,-0.29,28.57,2/7,18.95,-7.77,-5.09,-10.63
35,被動元件,-0.71,21.05,4/19,-43.01,-191.6,-7.74,96.59
36,紡織,-0.74,15.0,3/20,-4.83,-1.08,0.96,-0.72
37,造紙,-0.14,14.29,1/7,-0.18,1.55,-0.0,-0.0
