股票代碼,公司名稱,最新收盤價,投信買超天數,投信5日淨買超,平均買超張數,5日最高價,5日最低價,價格波動率
1210,大成,54.0,5,26381000,5276,55.2,51.7,6.77%
1216,統一,72.9,5,17530388,3506,74.5,72.0,3.47%
1319,東陽,97.8,5,16826387,3365,98.0,87.8,11.62%
1402,遠東新,26.75,4,70929611,14185,28.2,25.1,12.35%
2105,正新,33.5,5,76555866,15311,35.3,32.7,7.95%
2347,聯強,85.3,5,42239859,8447,94.0,84.1,11.77%
2412,中華電,138.5,5,13915644,2783,143.0,138.0,3.62%
2542,興富發,41.9,5,49671000,9934,43.7,41.2,6.07%
2597,潤弘,184.5,5,9109000,1821,189.5,166.5,13.81%
2884,玉山金,32.9,5,23253924,4650,33.7,31.4,7.32%
2886,兆豐金,41.2,5,38974874,7794,42.7,40.8,4.66%
2890,永豐金,31.9,5,4281725,856,33.3,30.3,9.90%
2892,第一金,29.1,5,19650426,3930,29.65,27.7,7.04%
3045,台灣大,115.0,4,10314525,2062,117.0,114.0,2.63%
3293,鈊象,780.0,5,8249000,1649,809.0,740.0,9.32%
5871,中租-KY,115.5,5,47752173,9550,120.5,108.0,11.57%
