公司名稱,股票代碼,最新收盤價,標的債券,債券代號,轉換價格,差異百分比,股票成交量,股票5MA,可轉債成交量,可轉債5MA
威健,3033,33.35,威健七,30337,34.44,3.27,23375363,6868026.0,850,218.0
金山電,8042,58.1,金山電六,80426,60.0,3.27,2397699,1055009.0,9,4.0
