股票代碼,公司名稱,收盤價,近10日漲幅,成交量(張),量能比
1101,台泥,26.35,5.61%,33189,1.51
1301,台塑,51.3,24.97%,95054,2.82
1304,台聚,12.5,8.23%,11887,2.11
1326,台化,44.1,38.24%,97128,2.36
1503,士電,246.0,24.24%,15529,3.09
1513,中興電,185.5,18.15%,27637,2.94
2049,上銀,259.5,22.12%,10338,3.41
2365,昆盈,41.6,14.6%,11276,3.51
2374,佳能,91.1,14.16%,26630,2.48
2436,偉詮電,54.7,12.55%,12246,2.6
2454,聯發科,1780.0,18.67%,10480,1.79
2486,一詮,131.0,42.7%,45008,2.26
2495,普安,36.0,13.92%,18781,1.52
3006,晶豪科,166.0,11.78%,36158,2.27
3019,亞光,159.5,14.34%,17811,2.92
3149,正達,60.2,37.44%,21806,3.2
3234,光環,61.0,38.79%,11693,3.56
3264,欣銓,166.0,17.73%,21725,1.82
3605,宏致,69.3,10.35%,13871,3.03
4533,協易機,41.25,64.34%,41882,6.61
5347,世界,163.0,31.45%,62557,2.09
6126,信音,39.1,15.0%,15550,4.53
6133,金橋,28.95,31.29%,34933,3.47
6168,宏齊,24.5,18.93%,20801,7.02
6285,啟碁,167.0,56.07%,39156,4.75
6415,矽力*-KY,287.5,30.09%,21609,2.27
6485,點序,124.5,7.33%,10579,1.5
8096,擎亞,64.2,23.46%,50466,1.81
