股票代碼,公司名稱,族群,今日漲跌幅,近三交易日漲跌幅,今日成交量
6121,新普,BBU_電池模組,1.25,-1.75,310
6558,興能高,BBU_電池模組,0.51,-1.51,230
3323,加百裕,BBU_電池模組,0.0,1.47,613
3625,西勝,BBU_電池模組,-0.29,-4.47,291
4931,新盛力,BBU_電池模組,-1.54,-1.85,4499
3211,順達,BBU_電池模組,-3.46,-4.98,7495
6781,AES-KY,BBU_電池模組,-6.22,1.35,2396
2308,台達電,BBU_電源供應器與整合,1.88,4.34,12261
3305,昇貿,BBU_電源供應器與整合,0.95,1.43,1417
2301,光寶科,BBU_電源供應器與整合,-0.29,1.47,21954
3625,西勝,BBU_電源供應器與整合,-0.29,-4.47,291
5309,系統電,BBU_電源供應器與整合,-3.66,0.83,3484
3363,上詮,CPO_先進封裝測試,1.21,-8.16,824
6515,穎崴,CPO_先進封裝測試,0.49,1.24,183
6257,矽格,CPO_先進封裝測試,-1.66,-4.05,6729
3265,台星科,CPO_先進封裝測試,-1.79,-5.19,1057
6451,訊芯-KY,CPO_先進封裝測試,-1.85,-1.12,671
6442,光聖,CPO_光通訊,5.25,6.65,1379
4979,華星光,CPO_光通訊,-0.18,-7.28,1241
2455,全新,CPO_光通訊,-0.63,-8.67,11146
4977,眾達-KY,CPO_光通訊,-1.17,-2.32,7604
3163,波若威,CPO_光通訊,-2.34,-9.52,3350
3081,聯亞,CPO_光通訊,-2.4,-13.3,2672
6643,M31,IC設計,3.44,-5.08,399
6531,愛普*,IC設計,2.5,4.06,1826
3661,世芯-KY,IC設計,0.12,-4.98,1731
3661,世芯-KY,IC設計,0.12,-4.98,1731
6533,晶心科,IC設計,-0.43,-6.68,528
2454,聯發科,IC設計,-1.53,5.75,13156
3443,創意,IC設計,-1.67,2.11,626
3443,創意,IC設計,-1.67,2.11,626
8054,安國,IC設計,-1.83,1.9,2183
3529,力旺,IC設計,-2.13,0.0,513
2388,威盛,IC設計,-3.51,-8.57,8294
3035,智原,IC設計,-4.53,-8.92,13625
3035,智原,IC設計,-4.53,-8.92,13625
8358,金居,PCB,2.07,2.78,5047
2383,台光電,PCB,1.49,-0.78,3600
6274,台燿,PCB,0.93,-6.7,2607
3189,景碩,PCB,0.0,-3.42,24948
6213,聯茂,PCB,0.0,-8.15,5950
2316,楠梓電,PCB,-0.44,-3.39,2956
3715,定穎投控,PCB,-0.84,-3.01,6842
8046,南電,PCB,-1.72,4.81,17717
2368,金像電,PCB,-2.16,-2.16,5672
1815,富喬,PCB,-2.64,1.84,30540
3037,欣興,PCB,-2.67,1.65,33105
4958,臻鼎-KY,PCB,-2.79,10.22,71577
2367,燿華,PCB,-3.69,0.17,22642
2313,華通,PCB,-3.97,7.23,43477
5469,瀚宇博,PCB,-7.98,-7.88,11423
2383,台光電,TPU_伺服器主板與印刷電路板,1.49,-0.78,3600
3715,定穎投控,TPU_伺服器主板與印刷電路板,-0.84,-3.01,6842
2368,金像電,TPU_伺服器主板與印刷電路板,-2.16,-2.16,5672
3037,欣興,TPU_伺服器主板與印刷電路板,-2.67,1.65,33105
5469,瀚宇博,TPU_伺服器主板與印刷電路板,-7.98,-7.88,11423
6442,光聖,TPU_光通訊與連接器,5.25,6.65,1379
6805,富世達,TPU_光通訊與連接器,-0.72,8.09,1537
3081,聯亞,TPU_光通訊與連接器,-2.4,-13.3,2672
2345,智邦,TPU_光通訊與連接器,-3.7,3.27,4561
3017,奇鋐,TPU_散熱,1.98,-3.74,4122
3324,雙鴻,TPU_散熱,1.31,-4.53,3158
6805,富世達,TPU_散熱,-0.72,8.09,1537
6831,未知,TPU_散熱,-2.95,-5.92,1291
6443,元晶,低軌衛星,0.0,-3.15,2798
6190,萬泰科,低軌衛星,-1.53,-4.83,10039
2485,兆赫,低軌衛星,-2.25,0.66,9231
2367,燿華,低軌衛星,-3.69,0.17,22642
2345,智邦,低軌衛星,-3.7,3.27,4561
2313,華通,低軌衛星,-3.97,7.23,43477
3491,昇達科,低軌衛星,-4.01,-0.96,2532
6442,光聖,光學元件或組裝,5.25,6.65,1379
3406,玉晶光,光學元件或組裝,3.0,0.19,1348
2374,佳能,光學元件或組裝,2.6,5.19,16599
4976,佳凌,光學元件或組裝,1.91,1.03,431
3008,大立光,光學元件或組裝,0.58,2.98,1553
3504,揚明光,光學元件或組裝,0.46,-1.96,831
4979,華星光,光學元件或組裝,-0.18,-7.28,1241
3019,亞光,光學元件或組裝,-0.7,1.79,12545
3450,聯鈞,光學元件或組裝,-1.15,-5.03,8819
4977,眾達-KY,光學元件或組裝,-1.17,-2.32,7604
3362,先進光,光學元件或組裝,-1.39,-1.84,429
6668,中揚光,光學元件或組裝,-1.6,-4.37,345
6451,訊芯-KY,光學元件或組裝,-1.85,-1.12,671
6209,今國光,光學元件或組裝,-2.18,3.28,4386
3081,聯亞,光學元件或組裝,-2.4,-13.3,2672
1722,台肥,化學,9.93,9.68,20006
1727,中華化,化學,9.91,17.68,18527
1717,長興,化學,7.08,5.28,78279
4720,德淵,化學,3.28,3.66,11134
1725,元禎,化學,3.18,1.57,304
1303,南亞,化學,2.35,6.64,88354
1326,台化,化學,2.14,6.38,49498
6505,台塑化,化學,2.08,4.65,9027
4749,新應材,化學,1.81,3.06,2274
1409,新纖,化學,1.49,1.8,7365
4763,材料-KY,化學,1.18,0.23,5090
4755,三福化,化學,0.97,-3.11,635
1773,勝一,化學,0.58,-1.99,1502
1402,遠東新,化學,0.0,-0.38,9699
1710,東聯,化學,0.0,-1.12,2140
1301,台塑,化學,-0.2,1.59,20097
1723,中碳,化學,-0.38,-3.7,461
1440,南紡,化學,-0.39,0.39,733
4770,上品,化學,-0.66,-1.1,227
1304,台聚,化學,-2.14,-4.51,6777
3583,辛耘,半導體設備,4.61,-5.28,4088
6640,均華,半導體設備,4.59,-1.66,448
3680,家登,半導體設備,2.56,9.15,5566
6196,帆宣,半導體設備,-1.31,-2.46,932
6187,萬潤,半導體設備,-1.35,-5.98,2350
3138,耀登,半導體設備,-2.86,-2.55,1036
2460,建通,半導體設備,-4.38,-5.96,2231
1325,恆大,塑膠,3.68,3.68,475
1303,南亞,塑膠,2.35,6.64,88354
1326,台化,塑膠,2.14,6.38,49498
6505,台塑化,塑膠,2.08,4.65,9027
1307,三芳,塑膠,0.97,-1.1,1006
1321,大洋,塑膠,0.16,-1.75,168
4306,炎洲,塑膠,0.0,0.38,431
1315,達新,塑膠,-0.16,0.16,19
1301,台塑,塑膠,-0.2,1.59,20097
1305,華夏,塑膠,-1.05,-4.07,3273
1314,中石化,塑膠,-1.07,0.13,9812
1323,永裕,塑膠,-1.21,-8.09,100
1337,再生-KY,塑膠,-1.34,0.78,422
1308,亞聚,塑膠,-2.02,-5.52,2843
1304,台聚,塑膠,-2.14,-4.51,6777
1313,聯成,塑膠,-2.17,-2.6,2703
1309,台達化,塑膠,-2.32,-7.56,9500
1312,國喬,塑膠,-3.14,-2.76,7617
5443,均豪,工業自動化與機器人,7.49,4.27,10694
1597,直得,工業自動化與機器人,7.41,20.28,16811
1590,亞德客-KY,工業自動化與機器人,6.05,9.56,2626
2049,上銀,工業自動化與機器人,2.49,5.11,10290
4576,大銀微系統,工業自動化與機器人,1.51,12.85,3000
6215,和椿,工業自動化與機器人,-0.47,4.9,3564
1583,程泰,工業自動化與機器人,-0.74,0.11,19
8936,國統,廠務系統與水處理,2.63,1.5,1527
1535,中宇,廠務系統與水處理,0.39,-1.17,42
8473,山林水,廠務系統與水處理,-0.68,-0.14,308
6803,崑鼎,廠務系統與水處理,-0.69,0.35,33
6944,未知,廠務系統與水處理,-0.99,-8.42,661
6894,衛司特,廠務系統與水處理,-1.19,-3.49,64
6624,萬年清,廠務系統與水處理,-2.2,-6.67,38
2464,盟立,機器人,7.51,24.86,53277
5443,均豪,機器人,7.49,4.27,10694
1597,直得,機器人,7.41,20.28,16811
1590,亞德客-KY,機器人,6.05,9.56,2626
4540,全球傳動,機器人,4.44,18.03,20913
6188,廣明,機器人,2.58,0.72,4776
2049,上銀,機器人,2.49,5.11,10290
1504,東元,機器人,1.97,1.97,10366
2308,台達電,機器人,1.88,4.34,12261
4576,大銀微系統,機器人,1.51,12.85,3000
