股票代碼,公司名稱,收盤價,近10日漲幅,成交量(張),量能比
1444,力麗,9.35,32.81%,29803,4.61
1447,力鵬,8.27,35.35%,10173,1.9
1710,東聯,18.4,36.3%,14836,2.32
2302,麗正,50.4,20.57%,13075,1.64
2375,凱美,232.5,28.1%,28832,1.51
2484,希華,79.8,13.35%,16527,1.56
3236,千如,73.0,10.94%,33290,2.32
4532,瑞智,28.55,17.98%,10417,4.24
4763,材料-KY,47.9,6.92%,16738,1.7
5328,華容,78.2,52.73%,25456,1.76
5371,中光電,88.0,29.79%,61341,3.78
6182,合晶,135.0,26.17%,30712,1.93
6271,同欣電,287.5,28.06%,42671,2.57
8182,加高,54.0,5.06%,11657,1.81
8261,富鼎,297.5,67.13%,12471,1.57
