股票代碼,公司名稱,突破日期,突破日股價,今日收盤價,今日至突破日漲跌幅,突破日成交量(張),20MA成交量(張),成交量倍數
1102,亞泥,2026-07-01,35.0,35.1,0.29%,86002,20050,4.29
3005,神基,2026-07-01,103.0,106.5,3.4%,20038,6014,3.33
3031,佰鴻,2026-07-01,33.8,34.5,2.07%,22372,3414,6.55
3227,原相,2026-07-01,244.0,230.5,-5.53%,10336,2853,3.62
3594,磐儀,2026-07-01,53.4,55.8,4.49%,6975,718,9.71
1444,力麗,2026-07-01,9.45,9.35,-1.06%,29803,5874,5.07
3694,海華,2026-07-01,63.8,66.4,4.08%,10321,1803,5.72
3702,大聯大,2026-07-01,107.5,110.0,2.33%,51228,15444,3.32
4532,瑞智,2026-07-01,28.3,28.55,0.88%,10417,2899,3.59
4541,晟田,2026-07-01,55.6,56.7,1.98%,9587,1945,4.93
5314,世紀,2026-07-01,67.6,67.0,-0.89%,20162,4666,4.32
5371,中光電,2026-07-01,89.3,88.0,-1.46%,61341,10658,5.76
5443,均豪,2026-07-01,116.0,124.0,6.9%,14801,3133,4.72
5452,佶優,2026-07-01,34.5,35.9,4.06%,12948,3528,3.67
6271,同欣電,2026-07-01,277.0,287.5,3.79%,42671,12465,3.42
6509,聚和,2026-07-01,50.5,51.7,2.38%,10740,3172,3.38
6753,龍德造船,2026-07-01,138.0,141.5,2.54%,6517,1314,4.96
8033,雷虎,2026-07-01,177.0,186.0,5.08%,25951,6583,3.94
8222,寶一,2026-07-01,41.6,40.75,-2.04%,7754,956,8.1
3016,嘉晶,2026-07-01,136.5,122.0,-10.62%,38593,11841,3.26
3605,宏致,2026-07-01,79.5,85.6,7.67%,14473,3220,4.49
1709,和益,2026-07-01,22.25,23.2,4.27%,7415,2022,3.67
2208,台船,2026-07-01,20.1,18.75,-6.72%,16966,4751,3.57
2801,彰銀,2026-07-01,24.0,23.85,-0.62%,140473,43764,3.21
1447,力鵬,2026-07-01,8.27,8.27,0.0%,10173,3239,3.14
2645,長榮航太,2026-07-01,188.0,204.0,8.51%,6071,1938,3.13
2363,矽統,2026-07-01,71.2,73.5,3.23%,82848,22657,3.66
1718,中纖,2026-07-01,14.35,12.4,-13.59%,292901,54272,5.4
1815,富喬,2026-07-01,115.5,104.0,-9.96%,94589,30238,3.13
2466,冠西電,2026-07-01,64.6,71.3,10.37%,11367,1272,8.93
2630,亞航,2026-07-01,50.0,51.6,3.2%,18202,2351,7.74
2634,漢翔,2026-07-01,57.8,56.2,-2.77%,57139,11944,4.78
2208,台船,2026-06-30,17.8,18.75,5.34%,14662,4317,3.4
5314,世紀,2026-06-30,63.5,67.0,5.51%,17703,3808,4.65
5434,崇越,2026-06-30,531.0,533.0,0.38%,5191,1432,3.62
5371,中光電,2026-06-30,82.2,88.0,7.06%,42625,7780,5.48
8069,元太,2026-06-30,228.0,204.0,-10.53%,27387,8688,3.15
6753,龍德造船,2026-06-30,128.0,141.5,10.55%,5539,1037,5.34
6156,松上,2026-06-30,26.2,31.65,20.8%,11025,3348,3.29
6191,精成科,2026-06-30,107.0,103.5,-3.27%,39544,12496,3.16
8033,雷虎,2026-06-30,156.0,186.0,19.23%,37042,5499,6.74
2906,高林,2026-06-30,15.95,14.1,-11.6%,5818,820,7.09
4707,磐亞,2026-06-30,30.3,28.1,-7.26%,23726,7054,3.36
1710,東聯,2026-06-30,15.1,18.4,21.85%,47970,12368,3.88
4532,瑞智,2026-06-30,27.35,28.55,4.39%,17067,2446,6.98
2630,亞航,2026-06-30,44.5,51.6,15.96%,7685,1489,5.16
2634,漢翔,2026-06-30,52.2,56.2,7.66%,65341,9312,7.02
3413,京鼎,2026-06-30,324.5,332.0,2.31%,8909,2493,3.57
3360,尚立,2026-06-30,21.0,21.25,1.19%,14635,4163,3.51
3230,錦明,2026-06-30,46.0,47.6,3.48%,10935,2064,5.3
3227,原相,2026-06-30,233.5,230.5,-1.28%,9213,2482,3.71
8227,巨有科技,2026-06-30,217.5,198.5,-8.74%,5240,1608,3.26
3031,佰鴻,2026-06-30,31.0,34.5,11.29%,9149,2399,3.81
2645,長榮航太,2026-06-30,174.0,204.0,17.24%,6148,1741,3.53
1444,力麗,2026-06-30,8.65,9.35,8.09%,16896,4636,3.64
1444,力麗,2026-06-29,7.59,9.35,23.19%,13365,4044,3.3
5230,雷笛克光學,2026-06-29,25.0,20.8,-16.8%,6234,1575,3.96
6226,光鼎,2026-06-29,19.35,24.25,25.32%,28664,6090,4.71
6191,精成科,2026-06-29,104.5,103.5,-0.96%,34470,10797,3.19
5469,瀚宇博,2026-06-29,90.8,86.6,-4.63%,17968,5331,3.37
2906,高林,2026-06-29,14.95,14.1,-5.69%,5362,542,9.89
4716,大立,2026-06-29,23.35,22.6,-3.21%,12642,3328,3.8
4707,磐亞,2026-06-29,27.5,28.1,2.18%,19768,6144,3.22
4532,瑞智,2026-06-29,25.3,28.55,12.85%,7054,1703,4.14
2634,漢翔,2026-06-29,50.1,56.2,12.18%,26324,6423,4.1
9914,美利達,2026-06-29,74.4,77.7,4.44%,6798,2065,3.29
