股票代碼,公司名稱,最新收盤價,投信買超天數,投信5日淨買超,平均買超張數,5日最高價,5日最低價,價格波動率
1216,統一,75.1,4,27198381,5439,76.4,73.9,3.38%
1402,遠東新,28.65,4,40609467,8121,29.3,27.5,6.55%
1513,中興電,182.0,4,11360783,2272,184.5,168.0,9.82%
2377,微星,133.5,4,3369000,673,142.5,132.5,7.55%
2382,廣達,372.5,5,5084697,1016,385.0,358.0,7.54%
2504,國產,32.75,4,8134664,1626,36.75,32.3,13.78%
2633,台灣高鐵,25.75,4,31016396,6203,26.6,25.55,4.11%
2845,遠東銀,13.1,4,33681064,6736,13.45,12.8,5.08%
2880,華南金,37.55,4,56332585,11266,39.2,36.55,7.25%
2884,玉山金,35.8,5,32366528,6473,36.6,34.45,6.24%
2886,兆豐金,45.2,5,117991499,23598,46.0,43.5,5.75%
2892,第一金,32.45,4,73580191,14716,32.8,31.25,4.96%
2912,統一超,227.0,4,2868063,573,230.5,221.0,4.30%
3231,緯創,158.5,5,19295120,3859,166.0,158.0,5.06%
3706,神達,85.5,5,2659175,531,89.6,83.6,7.18%
5483,中美晶,173.5,4,6072814,1214,192.0,172.0,11.63%
5876,上海商銀,41.8,5,28065690,5613,43.3,41.2,5.10%
