股票代碼,公司名稱,族群,今日漲跌幅,近三交易日漲跌幅,今日成交量
3625,西勝,BBU_電池模組,0.63,1.91,437
6121,新普,BBU_電池模組,-1.65,2.33,558
3323,加百裕,BBU_電池模組,-1.81,0.14,1096
4931,新盛力,BBU_電池模組,-2.06,3.36,11363
6558,興能高,BBU_電池模組,-2.54,0.49,460
6781,AES-KY,BBU_電池模組,-2.9,-0.43,1109
3211,順達,BBU_電池模組,-5.52,-0.12,7513
3625,西勝,BBU_電源供應器與整合,0.63,1.91,437
2308,台達電,BBU_電源供應器與整合,-3.26,-3.48,14787
2301,光寶科,BBU_電源供應器與整合,-3.46,6.43,58205
5309,系統電,BBU_電源供應器與整合,-3.56,-0.15,5388
3305,昇貿,BBU_電源供應器與整合,-5.44,-2.46,3598
6515,穎崴,CPO_先進封裝測試,-0.11,0.0,318
6257,矽格,CPO_先進封裝測試,-2.27,10.75,14552
6451,訊芯-KY,CPO_先進封裝測試,-3.4,9.76,8726
3363,上詮,CPO_先進封裝測試,-3.79,0.0,2448
3265,台星科,CPO_先進封裝測試,-6.2,5.22,1768
3163,波若威,CPO_光通訊,-0.23,-3.88,1028
2455,全新,CPO_光通訊,-2.81,-7.01,1610
4977,眾達-KY,CPO_光通訊,-2.88,3.63,2460
3081,聯亞,CPO_光通訊,-3.79,1.78,1833
4979,華星光,CPO_光通訊,-4.89,-3.85,5589
6442,光聖,CPO_光通訊,-5.04,7.9,3744
8054,安國,IC設計,9.69,25.0,12899
2454,聯發科,IC設計,1.57,1.68,18449
3035,智原,IC設計,1.53,15.35,31052
3035,智原,IC設計,1.53,15.35,31052
3661,世芯-KY,IC設計,1.16,1.27,2239
3661,世芯-KY,IC設計,1.16,1.27,2239
3529,力旺,IC設計,0.16,0.95,617
6533,晶心科,IC設計,-0.24,2.48,498
3443,創意,IC設計,-0.63,-6.9,1910
3443,創意,IC設計,-0.63,-6.9,1910
6643,M31,IC設計,-1.9,1.66,403
2388,威盛,IC設計,-5.69,5.85,25638
6531,愛普*,IC設計,-5.83,12.54,7925
8046,南電,PCB,5.21,2.71,34962
2383,台光電,PCB,-2.15,9.62,2138
3037,欣興,PCB,-3.08,-1.42,26622
2316,楠梓電,PCB,-3.76,16.31,19257
2367,燿華,PCB,-4.13,-7.04,21129
5469,瀚宇博,PCB,-4.19,0.23,6398
8358,金居,PCB,-4.92,2.66,18089
4958,臻鼎-KY,PCB,-5.63,-8.14,40125
1815,富喬,PCB,-5.63,5.79,40955
2313,華通,PCB,-6.36,-7.95,41024
3715,定穎投控,PCB,-7.46,2.27,19355
3189,景碩,PCB,-8.67,2.97,36604
6274,台燿,PCB,-8.68,3.89,6716
6213,聯茂,PCB,-8.77,5.05,28641
2368,金像電,PCB,-9.32,-7.66,9347
2383,台光電,TPU_伺服器主板與印刷電路板,-2.15,9.62,2138
3037,欣興,TPU_伺服器主板與印刷電路板,-3.08,-1.42,26622
5469,瀚宇博,TPU_伺服器主板與印刷電路板,-4.19,0.23,6398
3715,定穎投控,TPU_伺服器主板與印刷電路板,-7.46,2.27,19355
2368,金像電,TPU_伺服器主板與印刷電路板,-9.32,-7.66,9347
6805,富世達,TPU_光通訊與連接器,-3.02,2.92,681
3081,聯亞,TPU_光通訊與連接器,-3.79,1.78,1833
6442,光聖,TPU_光通訊與連接器,-5.04,7.9,3744
2345,智邦,TPU_光通訊與連接器,-6.17,-2.4,3948
6831,未知,TPU_散熱,1.59,12.16,1529
3017,奇鋐,TPU_散熱,0.21,2.54,3079
6805,富世達,TPU_散熱,-3.02,2.92,681
3324,雙鴻,TPU_散熱,-4.65,-2.38,2338
6190,萬泰科,低軌衛星,-2.39,4.34,4513
6443,元晶,低軌衛星,-3.85,-7.52,10970
2367,燿華,低軌衛星,-4.13,-7.04,21129
2485,兆赫,低軌衛星,-5.28,-8.89,14274
2345,智邦,低軌衛星,-6.17,-2.4,3948
2313,華通,低軌衛星,-6.36,-7.95,41024
3491,昇達科,低軌衛星,-7.82,-12.58,3547
3450,聯鈞,光學元件或組裝,9.87,19.07,20431
2374,佳能,光學元件或組裝,2.82,0.52,8554
4977,眾達-KY,光學元件或組裝,-2.88,3.63,2460
6451,訊芯-KY,光學元件或組裝,-3.4,9.76,8726
3008,大立光,光學元件或組裝,-3.57,-2.82,1931
3019,亞光,光學元件或組裝,-3.68,-0.95,8759
3081,聯亞,光學元件或組裝,-3.79,1.78,1833
3406,玉晶光,光學元件或組裝,-4.26,2.63,4985
4976,佳凌,光學元件或組裝,-4.4,-6.12,4518
4979,華星光,光學元件或組裝,-4.89,-3.85,5589
6442,光聖,光學元件或組裝,-5.04,7.9,3744
3504,揚明光,光學元件或組裝,-5.25,0.23,2632
6668,中揚光,光學元件或組裝,-5.76,-7.91,1589
6209,今國光,光學元件或組裝,-7.1,-5.64,15467
3362,先進光,光學元件或組裝,-9.27,-10.36,7020
4763,材料-KY,化學,2.3,4.71,17402
1409,新纖,化學,1.42,2.15,73073
1303,南亞,化學,1.31,22.13,222203
1402,遠東新,化學,-0.52,-0.52,24518
1440,南紡,化學,-0.74,-0.74,1929
1722,台肥,化學,-0.83,-2.56,2025
4770,上品,化學,-0.93,0.23,360
4755,三福化,化學,-2.04,-2.04,418
1723,中碳,化學,-2.46,0.23,1023
1773,勝一,化學,-2.52,-0.29,501
4720,德淵,化學,-2.65,-1.85,1764
6505,台塑化,化學,-3.52,-0.95,7033
1717,長興,化學,-4.02,0.84,11223
1710,東聯,化學,-4.59,-1.1,5582
4749,新應材,化學,-5.07,-2.45,2115
1727,中華化,化學,-5.39,2.77,9330
1301,台塑,化學,-5.44,3.34,36737
1326,台化,化學,-5.52,-1.12,52379
1304,台聚,化學,-6.57,-1.16,7367
1725,元禎,化學,-9.96,8.81,2709
2460,建通,半導體設備,4.99,3.66,3129
3583,辛耘,半導體設備,-0.79,6.65,1685
3680,家登,半導體設備,-1.83,3.87,1483
6196,帆宣,半導體設備,-3.74,0.0,1463
6640,均華,半導體設備,-4.55,-3.23,222
3138,耀登,半導體設備,-5.8,-4.06,1067
6187,萬潤,半導體設備,-7.14,1.3,1307
1303,南亞,塑膠,1.31,22.13,222203
