排名,族群,族群平均漲幅,族群上漲檔數(%),族群上漲檔數(數量),外資近一日總買超(億元),外資近三日總買超(億元),投信近一日總買超(億元),投信近三日總買超(億元)
1,IC設計,0.14,53.85,7/13,100.36,259.21,-61.84,-156.78
2,TPU_散熱,-1.47,50.0,2/4,-2.38,7.45,2.23,-3.14
3,記憶體控制IC,-0.26,40.0,2/5,12.3,19.58,0.26,0.36
4,軍工_無人機相關,-0.7,33.33,3/9,60.52,228.96,-51.22,-136.62
5,紡織,-0.49,30.0,6/20,0.37,-4.46,1.17,2.13
6,鋼鐵,-1.05,26.67,4/15,-2.23,24.91,-4.85,-9.32
7,航運,-0.11,26.67,4/15,3.89,15.39,-1.44,-2.45
8,銀,-2.19,25.0,1/4,-5.44,-39.34,26.1,53.62
9,金融,-2.34,21.05,4/19,-36.72,-28.14,62.84,68.45
10,無塵室與機電工程,-0.78,20.0,1/5,-0.34,15.59,0.44,0.57
11,網通設備組件,-2.81,20.0,4/20,45.11,203.18,-65.33,-168.54
12,BBU_電源供應器與整合,-3.02,20.0,1/5,-38.82,-18.74,-19.95,-66.26
13,塑膠,-2.79,16.67,3/18,-36.72,-28.14,62.84,68.45
14,化學,-2.89,15.0,3/20,-48.12,-44.97,64.79,74.71
15,半導體設備,-2.69,14.29,1/7,1.46,-0.17,-0.73,-0.97
16,BBU_電池模組,-2.26,14.29,1/7,-9.3,-1.48,-0.13,0.54
17,造紙,-2.82,14.29,1/7,-0.03,-0.21,0.0,-0.0
18,軟體設計,-1.65,13.33,2/15,-0.62,-2.13,-0.01,-0.01
19,光學元件或組裝,-3.37,13.33,2/15,-0.93,-23.12,-12.39,-21.67
20,電器電纜,-2.08,10.0,1/10,-24.3,-2.34,6.3,13.12
21,銅,-4.23,10.0,1/10,-42.23,35.33,64.07,89.61
22,電池或電源,-2.46,10.0,2/20,-64.01,-26.58,-14.48,-53.38
23,機器人,-1.98,7.14,1/14,-36.0,-20.26,-19.2,-65.18
24,玻璃,-4.22,6.67,1/15,-63.45,41.92,0.2,32.73
25,PCB,-5.17,6.67,1/15,4.26,112.55,-22.13,-29.82
26,被動元件,-6.06,5.26,1/19,-32.15,-75.16,6.47,-1.27
27,CPO_先進封裝測試,-3.15,0.0,0/5,-6.33,23.13,9.63,3.71
28,CPO_光通訊,-3.27,0.0,0/6,1.42,-7.72,-10.86,-18.54
29,TPU_伺服器主板與印刷電路板,-5.24,0.0,0/5,-5.03,114.51,-24.79,-18.8
30,工業自動化與機器人,-2.31,0.0,0/7,1.66,0.4,0.68,1.01
31,廠務系統與水處理,-2.08,0.0,0/7,0.01,2.16,-0.15,-0.15
32,TPU_光通訊與連接器,-4.51,0.0,0/4,-17.04,2.29,-10.56,-18.5
33,低軌衛星,-5.14,0.0,0/7,-45.53,-26.58,-8.24,-13.33
34,軍工_航太製造與維修,-1.99,0.0,0/6,0.22,3.05,-0.22,-0.44
35,記憶體製造,-6.42,0.0,0/4,-168.27,-300.42,156.46,283.38
36,記憶體模組,-4.51,0.0,0/7,-46.21,-69.31,0.71,2.08
37,記憶體封裝與測試,-5.98,0.0,0/4,-6.78,-10.12,-11.33,-10.2
