股票代碼,公司名稱,最新收盤價,投信買超天數,投信5日淨買超,平均買超張數,5日最高價,5日最低價,價格波動率
1216,統一,70.8,5,25309802,5061,72.9,70.0,4.14%
1717,長興,82.4,5,2741080,548,89.9,80.1,12.23%
2357,華碩,692.0,5,3722901,744,717.0,655.0,9.47%
2382,廣達,308.5,5,60377311,12075,327.0,305.5,7.04%
2412,中華電,136.5,4,6972351,1394,138.0,136.0,1.47%
2421,建準,156.5,4,3233363,646,166.5,152.0,9.54%
2603,長榮,211.0,5,36723507,7344,222.0,209.0,6.22%
2615,萬海,80.7,4,5421757,1084,85.3,80.0,6.62%
2618,長榮航,35.3,5,79996232,15999,36.25,34.8,4.17%
2880,華南金,29.6,5,81573000,16314,32.4,29.6,9.46%
2886,兆豐金,39.8,5,46108597,9221,40.3,39.4,2.28%
2887,台新金,23.0,5,156462807,31292,24.15,23.0,5.00%
2892,第一金,27.25,4,6829724,1365,27.8,27.2,2.21%
2912,統一超,207.0,5,13223729,2644,222.0,203.5,9.09%
3045,台灣大,111.0,5,20512576,4102,113.5,110.0,3.18%
3706,神達,83.1,5,7380000,1476,89.7,82.7,8.46%
4904,遠傳,93.6,5,8904024,1780,96.7,92.9,4.09%
5871,中租-KY,107.0,5,7055950,1411,113.5,107.0,6.07%
5876,上海商銀,38.65,5,13988772,2797,40.3,38.65,4.27%
6139,亞翔,772.0,5,3465767,693,853.0,765.0,11.50%
8069,元太,233.0,4,3666192,733,251.0,222.0,13.06%
