股票代碼,公司名稱,收盤價,近10日漲幅,成交量(張),量能比
1101,台泥,26.2,13.42%,80518,1.93
1301,台塑,43.7,15.0%,34318,1.52
1303,南亞,79.4,42.81%,362661,1.84
1503,士電,207.0,23.21%,14620,3.42
1513,中興電,160.5,9.18%,25154,3.26
1514,亞力,120.0,23.84%,37324,3.69
1717,長興,70.3,52.49%,82716,4.56
1721,三晃,22.05,40.89%,17039,4.36
2002,中鋼,19.65,5.65%,76962,1.52
2303,聯電,62.5,28.87%,340870,2.57
2312,金寶,35.4,53.58%,234985,5.57
2313,華通,143.5,52.17%,78639,2.7
2327,國巨,295.5,21.11%,104664,2.11
2329,華泰,68.0,24.31%,36379,1.76
2331,精英,29.95,32.52%,31221,4.59
2367,燿華,37.1,35.9%,84255,5.11
2369,菱生,30.95,35.45%,34066,2.24
2375,凱美,107.0,15.43%,20049,1.83
2401,凌陽,23.1,16.08%,10721,2.64
2409,友達,17.25,24.55%,470528,2.6
2441,超豐,102.0,14.99%,15777,1.96
2485,兆赫,37.35,50.91%,80399,2.48
2489,瑞軒,18.0,14.29%,17201,1.62
2492,華新科,146.5,18.15%,41122,1.73
3037,欣興,301.0,30.87%,76308,1.58
3049,精金,8.38,34.51%,13116,2.39
3149,正達,47.95,21.24%,29040,5.42
3189,景碩,211.5,25.89%,68351,1.78
3372,典範,24.75,20.44%,11223,1.98
3535,晶彩科,106.5,13.18%,15513,2.01
3576,聯合再生,11.3,38.31%,24959,2.5
3624,光頡,66.7,7.93%,14187,1.54
4510,高鋒,50.4,27.92%,14846,5.2
5328,華容,31.2,46.82%,16293,1.79
5381,合正,30.45,25.31%,11759,3.61
5452,佶優,37.0,19.35%,18328,4.25
5475,德宏,111.5,25.56%,10075,1.59
6005,群益證,28.45,18.05%,13372,1.58
6152,百一,14.8,43.0%,13298,3.21
6155,鈞寶,61.1,14.85%,18507,2.02
6173,信昌電,78.1,12.86%,27484,1.57
6257,矽格,138.5,22.57%,16849,2.1
6282,康舒,58.0,37.6%,130654,3.26
8042,金山電,71.6,20.95%,13509,1.77
8074,鉅橡,59.6,24.43%,14754,1.51
8088,品安,73.1,57.54%,11742,1.91
8150,南茂,70.8,46.89%,168452,2.28
