排名,股票代碼,公司名稱,公司產業,上市櫃,5天正天數,今日主力買超(張),5日累積買超(張)
1,2887,台新金,金融保險業,上市,5,16319,89563
2,5880,合庫金,金融保險業,上市,5,4024,31285
3,2884,玉山金,金融保險業,上市,5,2657,26059
4,2324,仁寶,電腦及週邊設備業,上市,4,10086,23654
5,2867,三商壽,金融保險業,上市,5,1379,22437
6,1216,統一,食品工業,上市,5,1272,21340
7,2812,台中銀,金融保險業,上市,5,1042,18521
8,2377,微星,電腦及週邊設備業,上市,5,5543,17820
9,2105,正新,橡膠工業,上市,5,1261,16197
10,2332,友訊,通信網路業,上市,4,6594,16024
11,2801,彰銀,金融保險業,上市,4,4885,15764
12,2603,長榮,航運業,上市,4,1468,15470
13,2356,英業達,電腦及週邊設備業,上市,5,6925,14253
14,2886,兆豐金,金融保險業,上市,4,732,10178
15,3374,精材,半導體業,上櫃,3,3218,10051
16,2637,慧洋-KY,航運業,上市,5,3250,8620
17,2615,萬海,航運業,上市,3,3348,8424
18,6505,台塑化,油電燃氣業,上市,4,107,8013
19,6202,盛群,半導體業,上市,3,8533,7792
20,3005,神基,電腦及週邊設備業,上市,5,2838,6985
21,3211,順達,電腦及週邊設備業,上櫃,3,4398,5658
22,1210,大成,食品工業,上市,5,230,5272
23,2912,統一超,貿易百貨業,上市,5,683,5182
24,4938,和碩,電腦及週邊設備業,上市,3,19,4023
25,6226,光鼎,光電業,上市,4,208,4009
26,2606,裕民,航運業,上市,5,670,3675
27,2465,麗臺,電腦及週邊設備業,上市,5,2577,3670
28,8016,矽創,半導體業,上市,5,221,3510
29,5876,上海商銀,金融保險業,上市,3,2745,3504
30,3026,禾伸堂,電子零組件業,上市,3,323,3127
31,2633,台灣高鐵,航運業,上市,3,1042,3002
32,6142,友勁,通信網路業,上市,3,2512,2950
33,6214,精誠,資訊服務業,上市,4,2220,2874
34,2393,億光,光電業,上市,5,726,2814
35,2023,燁輝,鋼鐵工業,上市,5,280,2696
36,3712,永崴投控,電腦及週邊設備業,上市,5,208,2648
37,6491,晶碩,生技醫療業,上市,5,78,2387
38,6176,瑞儀,光電業,上市,5,254,2379
39,3260,威剛,半導體業,上櫃,5,563,2364
40,6477,安集,光電業,上市,4,993,2331
41,4167,松瑞藥,生技醫療業,上櫃,5,121,2276
42,2520,冠德,建材營造業,上市,5,332,2187
43,3034,聯詠,半導體業,上市,4,578,2145
44,3189,景碩,半導體業,上市,4,215,1727
45,4114,健喬,生技醫療業,上櫃,5,246,1675
46,8383,千附,其他電子業,上櫃,3,1414,1667
47,2206,三陽工業,汽車工業,上市,5,117,1661
48,3714,富采,光電業,上市,3,2621,1528
49,5471,松翰,半導體業,上市,3,2132,1477
50,4961,天鈺,半導體業,上市,5,159,1391
51,4142,國光生,生技醫療業,上市,5,101,1270
52,4105,東洋,生技醫療業,上櫃,5,68,1109
53,8050,廣積,電腦及週邊設備業,上櫃,5,28,1048
54,9938,百和,其他業,上市,3,313,1030
55,3056,富華新,建材營造業,上市,5,124,1003
56,6449,鈺邦,電子零組件業,上市,4,628,875
57,2348,海悅,其他業,上市,5,7,871
58,4746,台耀,生技醫療業,上市,5,23,795
59,2472,立隆電,電子零組件業,上市,3,772,765
60,8234,新漢,電腦及週邊設備業,上櫃,3,223,760
61,6187,萬潤,其他電子業,上櫃,4,898,751
62,3596,智易,通信網路業,上市,4,85,732
63,2611,志信,航運業,上市,5,94,727
64,3704,合勤控,通信網路業,上市,4,155,703
65,5488,松普,電子零組件業,上櫃,3,1293,682
66,3176,基亞,生技醫療業,上櫃,4,206,619
67,5258,虹堡,電腦及週邊設備業,上市,5,209,592
68,3484,崧騰,電子零組件業,上櫃,4,104,584
69,3230,錦明,光電業,上櫃,4,82,582
70,6416,瑞祺電通,通信網路業,上市,4,177,567
71,6244,茂迪,光電業,上櫃,3,54,563
72,2905,三商,貿易百貨業,上市,5,32,528
73,8105,凌巨,光電業,上市,3,125,522
74,6122,擎邦,電機機械,上櫃,3,250,501
75,1434,福懋,紡織纖維,上市,4,83,496
76,2480,敦陽科,資訊服務業,上市,5,49,485
77,1442,名軒,建材營造業,上市,5,27,484
78,6456,GIS-KY,光電業,上市,3,337,462
79,5608,四維航,航運業,上市,4,16,451
80,6206,飛捷,電腦及週邊設備業,上市,4,72,445
81,5530,龍巖,其他業,上櫃,5,78,424
82,8462,柏文,運動休閒,上市,5,98,423
83,8927,北基,油電燃氣業,上櫃,5,129,416
84,4949,有成精密,光電業,上市,3,351,415
85,2530,華建,建材營造業,上市,5,109,398
86,2102,泰豐,橡膠工業,上市,5,33,397
87,6207,雷科,電子零組件業,上櫃,3,763,391
88,8021,尖點,其他電子業,上市,4,53,386
89,6716,應廣,半導體業,上櫃,5,235,381
90,5210,寶碩,資訊服務業,上櫃,5,76,364
91,6180,橘子,文化創意業,上櫃,4,74,352
92,7714,創泓科技,數位雲端,上櫃,3,190,347
93,2483,百容,電子零組件業,上市,4,113,310
94,1736,喬山,運動休閒,上市,5,69,307
95,6024,群益期,金融保險業,上市,4,11,307
96,2608,嘉里大榮,航運業,上市,5,21,306
97,6469,大樹,生技醫療業,上櫃,5,126,305
98,6265,方土昶,電子通路業,上櫃,4,152,296
99,2379,瑞昱,半導體業,上市,4,716,280
100,6670,復盛應用,運動休閒,上市,5,63,275
101,6789,采鈺,半導體業,上市,4,39,266
102,6829,千附精密,電機機械,上櫃,3,135,266
103,6166,凌華,電腦及週邊設備業,上市,3,112,266
104,2207,和泰車,汽車工業,上市,5,12,253
105,8930,青鋼,鋼鐵工業,上櫃,5,35,219
106,6576,逸達,生技醫療業,上櫃,5,17,208
107,6023,元大期,金融保險業,上櫃,5,63,205
108,9940,信義,其他業,上市,5,38,198
109,1732,毛寶,化學工業,上市,4,71,172
110,2543,皇昌,建材營造業,上市,3,104,160
111,4207,環泰,食品工業,上櫃,4,9,160
112,2107,厚生,橡膠工業,上市,4,29,152
113,5515,建國,建材營造業,上市,4,55,139
114,1256,鮮活果汁-KY,食品工業,上市,5,47,134
115,6811,宏碁資訊,數位雲端,上櫃,5,35,129
116,2414,精技,電子通路業,上市,5,6,127
117,6830,汎銓,其他電子業,上市,3,95,125
118,2482,連宇,其他電子業,上市,5,12,116
119,6577,勁豐,電腦及週邊設備業,上櫃,4,23,114
120,2434,統懋,半導體業,上市,3,233,111
121,2908,特力,貿易百貨業,上市,5,28,106
122,4440,宜新實業,紡織纖維,上市,4,19,105
123,6261,久元,半導體業,上櫃,4,104,104
124,3672,康聯訊,通信網路業,上櫃,3,14,99
125,6756,威鋒電子,半導體業,上市,3,27,89
126,5288,豐祥-KY,電機機械,上市,5,41,87
127,4951,精拓科,半導體業,上櫃,4,19,85
128,4550,長佳,電機機械,上櫃,4,6,83
129,3206,志豐,電子零組件業,上櫃,5,22,78
130,4711,永純,化學工業,上櫃,4,4,69
