股票代碼,公司名稱,突破日期,突破日股價,今日收盤價,今日至突破日漲跌幅,突破日成交量(張),20MA成交量(張),成交量倍數
2353,宏碁,2026-02-02,26.0,27.2,4.62%,215472,42219,5.1
6588,東典光電,2026-02-02,68.3,68.7,0.59%,13664,2310,5.91
2014,中鴻,2026-01-30,19.8,19.95,0.76%,136000,18137,7.5
2038,海光,2026-01-30,15.8,16.6,5.06%,13220,2128,6.21
3550,聯穎,2026-01-30,17.6,16.1,-8.52%,23548,2752,8.55
4956,光鋐,2026-01-30,21.75,22.4,2.99%,11672,1928,6.05
6426,統新,2026-01-30,114.0,124.0,8.77%,21171,2695,7.85
6588,東典光電,2026-01-30,64.0,68.7,7.34%,9851,1766,5.58
1325,恆大,2026-01-29,36.3,30.85,-15.01%,6240,995,6.27
1584,精剛,2026-01-29,23.85,25.55,7.13%,6758,1304,5.18
2038,海光,2026-01-29,15.25,16.6,8.85%,13306,1476,9.01
8096,擎亞,2026-01-29,66.1,73.2,10.74%,64379,12594,5.11
9919,康那香,2026-01-29,21.45,17.45,-18.65%,14269,1439,9.91
