排名,股票代碼,公司產業,公司名稱,大戶持有比例差,大戶增加比例(%),第一天開盤價,期間最高價,期間最低價,最後一天收盤價,周漲幅
1,8096,電子通路類,擎亞,17.3,53.6,49.9,76.3,48.25,76.3,52.9
2,6470,通信網路類,宇智,4.8,49.5,54.8,54.8,53.4,53.4,-2.6
3,6683,半導體類,雍智科技,7.8,41.5,420.0,576.0,417.5,576.0,37.1
4,2486,光電業,一詮,10.9,27.7,99.4,135.0,98.7,128.0,28.8
5,3060,電子工業,銘異,3.2,26.2,34.4,38.5,31.7,35.4,2.9
6,3163,通信網路類,波若威,6.2,22.6,376.5,495.0,372.0,456.0,21.1
7,6706,光電業,惠特,5.1,20.4,113.5,128.5,109.5,117.5,3.5
8,3025,通信網路業,星通,4.3,16.1,72.9,78.8,69.1,69.1,-5.2
9,4979,通信網路類,華星光,5.6,14.5,290.0,341.0,282.5,316.0,9.0
10,3019,光電業,亞光,4.9,12.6,152.5,172.0,147.0,163.5,7.2
11,8155,電子零組件類,博智,6.1,10.7,180.0,236.0,180.0,220.5,22.5
12,3289,其他電子類,宜特,3.2,10.4,122.0,147.0,119.5,135.0,10.7
13,1732,化學工業,毛寶,4.7,10.1,27.5,33.4,27.1,27.9,1.5
14,4916,電子工業,事欣科,2.6,9.7,64.5,74.2,62.4,64.1,-0.6
15,8112,電子工業,至上,3.7,9.6,76.3,86.0,72.9,84.6,10.9
16,2374,光電業,佳能,3.1,9.3,87.1,97.6,83.1,85.2,-2.2
17,6485,半導體類,點序,2.0,8.7,106.5,130.0,103.0,109.5,2.8
18,2337,半導體業,旺宏,3.9,8.3,74.0,95.5,67.4,92.8,25.4
19,2009,鋼鐵工業,第一銅,4.6,7.8,48.8,57.2,48.5,50.1,2.7
20,8039,電子工業,台虹,4.1,7.7,89.2,99.9,84.8,87.9,-1.5
21,3043,其他電子業,科風,1.2,7.6,24.5,24.7,22.05,22.2,-9.4
22,3211,電腦及週邊類,順達,4.2,7.4,321.0,343.5,306.0,338.5,5.5
23,6285,通信網路業,啟碁,5.0,7.4,151.5,192.0,147.5,185.0,22.1
24,4927,電子工業,泰鼎-KY,2.0,7.2,36.6,37.2,31.1,32.0,-12.6
25,3213,電腦及週邊類,茂訊,1.6,7.0,104.0,105.0,98.5,98.7,-5.1
26,3413,半導體業,京鼎,2.6,7.0,280.5,315.0,280.0,284.0,1.2
27,3592,半導體業,瑞鼎,2.6,7.0,238.0,244.0,228.5,231.5,-2.7
28,3645,電子工業,達邁,2.9,7.0,67.1,75.3,61.5,62.6,-6.7
29,4971,半導體類,IET-KY,2.4,6.5,358.0,423.0,328.5,392.0,9.5
30,8034,通信網路類,榮群,1.0,6.3,26.8,26.85,24.1,24.25,-9.5
31,8054,半導體類,安國,2.3,6.2,122.0,143.5,121.5,137.5,12.7
32,2605,航運業,新興,2.9,6.2,29.15,32.05,28.4,29.25,0.3
33,2351,半導體業,順德,3.7,6.1,89.0,98.3,84.5,88.8,-0.2
34,3715,電子工業,定穎投控,2.6,6.0,138.0,157.5,135.0,143.0,3.6
35,8027,電機機械,鈦昇,2.2,6.0,106.0,116.5,104.5,112.0,5.7
36,3081,通信網路類,聯亞,2.9,6.0,780.0,1000.0,771.0,1000.0,28.2
37,4804,觀光事業,大略-KY,3.3,5.8,6.45,6.9,6.2,6.47,0.3
38,3593,電子工業,力銘,3.4,5.8,12.0,13.1,11.75,12.1,0.8
39,2485,通信網路業,兆赫,1.7,5.7,35.15,41.8,34.1,41.0,16.6
40,5351,半導體類,鈺創,1.6,5.4,61.9,64.8,57.2,61.2,-1.1
41,8111,光電業類,立碁,1.9,5.4,65.6,73.5,64.1,66.7,1.7
42,6243,半導體業,迅杰,1.3,5.3,35.05,38.4,34.3,34.3,-2.1
43,4744,生技醫療類,皇將,1.9,5.2,29.2,30.25,29.2,29.4,0.7
44,5439,電子零組件類,高技,2.2,5.2,304.0,319.0,295.0,298.0,-2.0
45,6182,半導體類,合晶,1.0,5.2,39.45,40.8,36.0,36.95,-6.3
46,3693,電腦及週邊類,營邦,2.2,5.1,344.0,404.0,338.0,378.0,9.9
47,3686,半導體業,達能,1.2,5.1,18.95,20.15,18.85,19.5,2.9
48,2489,光電業,瑞軒,2.0,5.1,23.1,24.9,19.4,20.3,-12.1
49,4966,半導體類,譜瑞-KY,1.7,5.0,570.0,603.0,529.0,529.0,-7.2
50,8390,其他,金益鼎,2.2,4.8,99.0,107.0,95.9,100.0,1.0
