股票代碼,公司名稱,收盤價,近10日漲幅,成交量(張),量能比
1717,長興,80.0,28.0%,218314,1.71
2355,敬鵬,53.9,19.91%,61326,1.95
2382,廣達,321.5,12.81%,39034,1.62
2426,鼎元,47.3,30.66%,26363,3.76
3026,禾伸堂,194.0,45.32%,16945,3.27
3030,德律,303.0,20.72%,15159,1.59
3031,佰鴻,28.35,16.19%,15401,3.3
3042,晶技,118.0,28.68%,37828,4.21
3264,欣銓,189.0,22.33%,40945,1.72
3455,由田,193.5,49.42%,18832,2.23
4576,大銀微系統,165.0,27.91%,11188,2.39
4906,正文,40.2,20.72%,75942,4.59
4908,前鼎,129.0,13.16%,12469,1.59
5243,乙盛-KY,119.0,63.01%,15965,2.76
5443,均豪,116.0,9.43%,13546,2.03
6147,頎邦,106.0,49.72%,48200,4.21
6217,中探針,236.5,39.94%,24356,1.82
6257,矽格,176.0,28.47%,15610,1.69
8039,台虹,137.0,21.78%,32882,1.51
