CB代號,CB名稱,個股現價,轉換價格,餘額比例(%),距轉換價差距(%),已發行/近期上市
68211,聯寶一,42.1,42.19,41.5,-0.21,已發行CB
69041,伯鑫一,125.0,124.7,100,0.24,已發行CB
35161,亞帝歐一,25.7,25.62,100,0.31,已發行CB
35431,州巧一,44.0,44.2,100,-0.45,已發行CB
81553,博智三,316.5,318.0,100,-0.47,近期上市
81553,博智三,316.5,318.0,100,-0.47,已發行CB
55344,長虹四,80.4,80.0,100,0.5,已發行CB
61012,寬魚國際二,39.1,38.9,71.16,0.51,已發行CB
64251,易發一,57.6,57.9,15.55,-0.52,已發行CB
26418,正德八,18.95,18.82,92.08,0.69,已發行CB
30454,台灣大四,115.0,113.5,99.71,1.32,已發行CB
66034,富強鑫四,27.0,26.63,100,1.39,已發行CB
12561,鮮活果汁一KY,179.5,182.5,99.15,-1.64,已發行CB
36806,家登六,471.0,478.9,100,-1.65,已發行CB
76311,聚賢研發一創,147.5,150.8,100,-2.19,已發行CB
76311,聚賢研發一創,147.5,150.8,100,-2.19,近期上市
44391,冠星一KY,98.5,96.3,97.64,2.28,已發行CB
15142,亞力二,102.5,105.1,100,-2.47,已發行CB
24023,毅嘉三,54.8,53.3,100,2.81,已發行CB
84762,台境二,20.05,19.5,90.08,2.82,已發行CB
36805,家登五,471.0,484.7,100,-2.83,已發行CB
56087,四維航七,18.75,19.3,100,-2.85,已發行CB
84113,福貞三KY,12.8,13.2,100,-3.03,已發行CB
61777,達麗七,47.5,46.1,99.9,3.04,已發行CB
35513,世禾三,174.0,168.8,100,3.08,已發行CB
82103,勤誠三,944.0,975.6,100,-3.24,已發行CB
22363,百達三KY,122.0,118.1,22.80,3.3,已發行CB
61794,亞通四,27.2,28.2,90.93,-3.55,已發行CB
33035,岱稜五,53.7,55.7,100,-3.59,已發行CB
811211,至上11,93.5,90.1,100,3.77,已發行CB
45811,光隆精密一KY,48.25,50.2,100,-3.88,已發行CB
35122,皇龍二,19.7,20.5,100,-3.9,已發行CB
35122,皇龍二,19.7,20.5,100,-3.9,近期上市
64725,保瑞五,455.0,473.5,100,-3.91,已發行CB
62822,康舒二,44.25,46.1,99.92,-4.01,已發行CB
52844,jpp四KY,334.5,348.5,100,-4.02,已發行CB
53097,系統電七,52.4,54.6,99.08,-4.03,已發行CB
15602,中砂二,679.0,708.3,100,-4.14,近期上市
66241,萬年清一,42.3,40.6,31,4.19,已發行CB
33763,新日興三,183.0,191.1,99.21,-4.24,已發行CB
66292,泰金二KY,110.5,115.5,97.43,-4.33,已發行CB
68692,雲豹能源二,67.1,70.2,100,-4.42,已發行CB
31494,正達四,65.0,68.1,100,-4.55,近期上市
31494,正達四,65.0,68.1,100,-4.55,已發行CB
14722,三洋實業二,87.6,91.9,100,-4.68,已發行CB
27532,八方雲集二,188.0,197.3,100,-4.71,已發行CB
24867,一詮七,243.5,256.0,100,-4.88,已發行CB
77131,威力德生醫一,73.0,69.6,100,4.89,已發行CB
