股票代碼,公司名稱,突破日期,突破日股價,今日收盤價,今日至突破日漲跌幅,突破日成交量(張),20MA成交量(張),成交量倍數
3707,漢磊,2026-09-22,67.0,69.5,3.73%,19868,4543,4.37
4416,三圓,2026-09-22,14.15,13.5,-4.59%,5225,1660,3.15
4956,光鋐,2026-09-22,47.0,42.2,-10.21%,23195,6878,3.37
2419,仲琦,2026-09-22,30.35,29.25,-3.62%,8485,2543,3.34
2444,兆勁,2026-09-22,14.5,14.55,0.34%,6502,835,7.78
4919,新唐,2026-09-22,127.0,133.5,5.12%,31470,5010,6.28
4903,聯光通,2026-09-22,42.05,42.05,0.0%,18478,2055,8.99
8110,華東,2026-09-22,53.0,48.95,-7.64%,47786,7295,6.55
8040,九暘,2026-09-22,84.7,85.1,0.47%,5640,1855,3.04
2406,國碩,2026-09-22,30.95,30.1,-2.75%,33061,4735,6.98
6861,睿生光電,2026-09-22,247.0,267.0,8.1%,5402,1602,3.37
6443,元晶,2026-09-22,30.0,28.4,-5.33%,43017,6183,6.96
3035,智原,2026-09-22,196.0,203.0,3.57%,15188,3661,4.15
3380,明泰,2026-09-22,33.55,32.95,-1.79%,13199,3923,3.36
3062,建漢,2026-09-22,23.15,22.35,-3.46%,7900,1538,5.14
3265,台星科,2026-09-22,182.5,189.5,3.84%,5385,1694,3.18
3264,欣銓,2026-09-22,289.0,276.5,-4.33%,38164,11495,3.32
2409,友達,2026-09-22,34.9,36.65,5.01%,1162430,375122,3.1
6168,宏齊,2026-09-22,45.0,44.0,-2.22%,68487,12571,5.45
1709,和益,2026-09-22,43.1,45.95,6.61%,82848,22086,3.75
1528,恩德,2026-09-22,27.35,26.15,-4.39%,35909,9427,3.81
6120,達運,2026-09-22,12.8,13.15,2.73%,14679,2115,6.94
6116,彩晶,2026-09-22,15.1,15.45,2.32%,236177,39219,6.02
6166,凌華,2026-09-22,126.5,127.0,0.4%,7119,1753,4.06
1569,濱川,2026-09-22,61.5,64.2,4.39%,14467,2177,6.64
5465,富驊,2026-09-22,32.25,31.8,-1.4%,6510,435,14.96
