排名,族群,族群平均漲幅,族群上漲檔數(%),族群上漲檔數(數量),外資近一日總買超(億元),外資近三日總買超(億元),投信近一日總買超(億元),投信近三日總買超(億元)
1,BBU_電池模組,0.49,85.71,6/7,-4.57,-3.79,1.29,2.82
2,IC設計,3.78,84.62,11/13,91.59,450.8,17.99,-37.27
3,PCB,2.96,66.67,10/15,242.05,342.45,-21.84,-160.24
4,BBU_電源供應器與整合,0.06,60.0,3/5,-24.37,63.31,30.78,93.6
5,玻璃,1.13,60.0,9/15,32.45,156.1,0.85,-57.74
6,造紙,0.29,57.14,4/7,0.24,-0.14,0.0,0.0
7,TPU_光通訊與連接器,1.22,50.0,2/4,-20.24,-68.16,6.35,22.52
8,TPU_散熱,1.96,50.0,2/4,-10.81,-35.96,13.57,47.8
9,銅,-0.25,50.0,5/10,-43.05,75.23,-29.02,-152.5
10,銀,-0.34,50.0,2/4,49.06,79.89,1.06,8.52
11,鋼鐵,0.59,46.67,7/15,-11.47,-1.42,-0.02,0.01
12,低軌衛星,-0.19,42.86,3/7,-7.7,-18.66,-2.75,-29.51
13,航運,-0.18,40.0,6/15,5.94,4.7,5.08,8.79
14,無塵室與機電工程,0.14,40.0,2/5,-14.35,-6.42,4.0,10.21
15,記憶體控制IC,-0.93,40.0,2/5,-7.96,-7.58,0.25,1.77
16,TPU_伺服器主板與印刷電路板,3.19,40.0,2/5,53.66,115.12,-29.44,-78.83
17,電池或電源,-0.27,35.0,7/20,-28.63,62.97,32.04,97.88
18,電器電纜,-0.42,30.0,3/10,0.71,2.34,-0.03,1.43
19,廠務系統與水處理,-0.23,28.57,2/7,0.24,0.95,0.0,-0.08
20,半導體設備,-1.72,28.57,2/7,0.92,4.35,-3.1,-5.6
21,被動元件,-0.71,26.32,5/19,21.69,139.54,32.6,102.55
22,紡織,-0.17,25.0,5/20,-4.66,-8.27,0.41,-0.33
23,網通設備組件,-0.26,25.0,5/20,45.08,307.79,5.89,34.79
24,記憶體封裝與測試,-1.34,25.0,1/4,13.34,59.73,-6.23,-17.27
25,金融,-0.77,21.05,4/19,-64.01,-84.74,2.87,11.86
26,CPO_先進封裝測試,0.27,20.0,1/5,20.92,41.86,-18.73,-45.75
27,軟體設計,-0.67,20.0,3/15,1.52,5.4,0.0,-0.0
28,塑膠,-0.83,16.67,3/18,-64.01,-84.74,2.87,11.86
29,機器人,-0.81,14.29,2/14,-34.88,47.57,31.17,94.49
30,工業自動化與機器人,-1.06,14.29,1/7,-4.53,-14.26,-0.01,0.04
31,記憶體模組,-0.56,14.29,1/7,33.79,91.94,3.83,6.36
32,軍工_無人機相關,-0.51,12.5,1/8,79.75,375.16,19.33,29.35
33,化學,-1.16,10.0,2/20,-67.25,-86.95,1.69,9.7
34,光學元件或組裝,-1.7,6.67,1/15,-65.9,-187.08,-1.77,53.45
35,軍工_航太製造與維修,-1.42,0.0,0/6,-0.56,-0.46,-0.0,-0.0
36,記憶體製造,-2.08,0.0,0/4,-96.18,136.43,-26.98,-5.18
37,CPO_光通訊,-1.87,0.0,0/6,-31.12,-69.4,-11.41,24.03
