排名,股票代碼,公司名稱,公司產業,上市櫃,今日主力買超(張),5日累積買超(張)
1,1815,富喬,電子零組件業,上櫃,16256,51225
2,5009,榮剛,鋼鐵工業,上櫃,2106,4502
3,4167,松瑞藥,生技醫療業,上櫃,531,2465
4,4904,遠傳,通信網路業,上市,148,1850
5,4931,新盛力,電腦及週邊設備業,上櫃,344,1557
6,4743,合一,生技醫療業,上櫃,600,1511
7,2070,精湛,電機機械,上櫃,43,569
8,6840,東研信超,其他電子業,上櫃,52,382
9,5512,力麒,建材營造業,上櫃,67,264
10,4714,永捷,化學工業,上櫃,150,263
11,8415,大國鋼,鋼鐵工業,上櫃,8,172
12,5511,德昌,建材營造業,上櫃,2,141
13,4536,拓凱,運動休閒,上市,32,133
14,6101,寬魚國際,文化創意業,上櫃,15,126
15,6263,普萊德,通信網路業,上櫃,9,68
16,5324,士開,建材營造業,上櫃,1,47
17,6576,逸達,生技醫療業,上櫃,15,35
18,8403,盛弘,生技醫療業,上櫃,4,34
19,6418,詠昇,電子零組件業,上櫃,16,30
