股票代碼,公司名稱,符合策略數,符合策略
2609,陽明,4,"外資買超, 大戶持有, 強勢股, 盤整突破"
2615,萬海,3,"外資買超, 強勢股, 盤整突破"
1815,富喬,3,"外資買超, 大戶持有, 盤整突破"
2603,長榮,3,"外資買超, 大戶持有, 強勢股"
2606,裕民,3,"外資買超, 強勢股, 盤整突破"
2637,慧洋-KY,3,"外資買超, 強勢股, 盤整突破"
2883,凱基金,2,"外資買超, 投信連續"
2887,台新金,2,"外資買超, 投信連續"
1402,遠東新,2,"外資買超, 投信連續"
2426,鼎元,2,"外資買超, 大戶持有"
2542,興富發,2,"外資買超, 投信連續"
5880,合庫金,2,"外資買超, 投信連續"
3406,玉晶光,2,"大戶持有, 投信連續"
6214,精誠,2,"大戶持有, 投信連續"
8070,長華*,2,"投信連續, 盤整突破"
2605,新興,2,"強勢股, 盤整突破"
3441,聯一光,2,"大戶持有, 強勢股"
5608,四維航,2,"大戶持有, 盤整突破"
8103,瀚荃,2,"大戶持有, 盤整突破"
6108,競國,2,"大戶持有, 盤整突破"
1727,中華化,2,"大戶持有, 盤整突破"
