排名,族群,族群平均漲幅,族群上漲檔數(%),族群上漲檔數(數量),外資近一日總買超(億元),外資近三日總買超(億元),投信近一日總買超(億元),投信近三日總買超(億元)
1,記憶體封裝與測試,0.98,100.0,4/4,3.35,-1.37,-0.03,0.52
2,記憶體模組,1.36,85.71,6/7,81.49,191.09,1.87,-4.81
3,記憶體控制IC,3.96,60.0,3/5,10.7,12.18,-0.0,0.25
4,低軌衛星,0.53,57.14,4/7,4.84,6.14,-9.76,-7.88
5,記憶體製造,-0.65,50.0,2/4,-28.22,183.57,4.48,2.33
6,IC設計,-1.08,46.15,6/13,-1.73,-32.57,-1.23,-65.04
7,半導體設備,-1.47,42.86,3/7,0.05,-11.8,0.06,-7.24
8,BBU_電池模組,-1.96,42.86,3/7,-1.43,3.27,-7.24,-19.27
9,BBU_電源供應器與整合,2.14,40.0,2/5,18.79,-11.19,1.09,-2.24
10,電器電纜,-0.23,40.0,4/10,-2.67,-7.19,-0.12,-0.24
11,鋼鐵,-0.33,40.0,6/15,-2.49,49.81,-0.0,8.3
12,無塵室與機電工程,-0.77,40.0,2/5,8.19,17.91,-0.08,-15.86
13,航運,-0.37,40.0,6/15,67.23,240.39,-5.39,-1.51
14,軟體設計,-0.06,33.33,5/15,1.71,0.12,0.0,1.56
15,網通設備組件,-0.9,30.0,6/20,13.38,-64.3,-4.84,-34.87
16,銅,-1.39,30.0,3/10,-37.22,3.21,-15.07,-16.35
17,廠務系統與水處理,-0.54,28.57,2/7,-0.49,-2.01,0.0,0.0
18,造紙,-0.62,28.57,2/7,-0.05,1.46,0.0,0.0
19,TPU_光通訊與連接器,-2.74,25.0,1/4,-2.79,-21.32,-6.77,21.96
20,銀,-1.54,25.0,1/4,-4.7,-94.34,-0.38,-7.28
21,TPU_散熱,-0.77,25.0,1/4,14.79,-4.7,3.17,13.86
22,被動元件,-1.06,21.05,4/19,-13.06,-133.39,11.1,5.58
23,TPU_伺服器主板與印刷電路板,-1.26,20.0,1/5,11.36,101.15,-14.73,-39.98
24,電池或電源,-0.8,20.0,4/20,12.73,-17.27,-6.27,-22.01
25,化學,-2.34,20.0,4/20,-93.93,-84.43,3.1,15.24
26,紡織,-0.9,20.0,4/20,-2.72,9.85,2.7,7.97
27,軍工_航太製造與維修,-1.0,16.67,1/6,-1.97,-9.71,-0.0,0.08
28,PCB,-1.87,13.33,2/15,-8.7,104.34,-24.13,-20.59
29,軍工_無人機相關,-0.55,12.5,1/8,-5.61,-26.9,-3.59,-75.53
30,機器人,-1.15,7.14,1/14,-4.61,-30.74,1.1,-2.83
31,光學元件或組裝,-3.3,6.67,1/15,-36.49,-98.76,12.2,61.14
32,玻璃,-1.76,6.67,1/15,-0.48,38.42,-1.63,17.62
33,金融,-2.49,5.26,1/19,-89.0,-87.43,0.42,7.51
34,CPO_光通訊,-5.27,0.0,0/6,-17.34,-48.48,7.45,58.88
35,CPO_先進封裝測試,-3.04,0.0,0/5,-4.95,-11.41,0.63,0.15
36,工業自動化與機器人,-1.41,0.0,0/7,1.53,-12.76,0.0,5.83
37,塑膠,-2.64,0.0,0/18,-89.0,-87.43,0.42,7.51
