股票代碼,公司名稱,收盤價,近10日漲幅,成交量(張),量能比
1312,國喬,13.05,16.0%,15187,2.97
1605,華新,41.5,28.48%,277315,2.18
1717,長興,59.5,45.12%,108250,5.36
2312,金寶,27.55,22.44%,213224,2.72
2313,華通,135.0,39.75%,194678,3.16
2367,燿華,34.9,25.77%,187918,5.78
2419,仲琦,29.8,23.4%,29004,3.67
2855,統一證,27.15,12.66%,10090,2.99
3138,耀登,145.0,35.51%,10402,4.15
3149,正達,45.6,29.91%,32147,4.04
3265,台星科,139.0,13.93%,13656,2.43
3481,群創,22.65,52.53%,207098,1.57
3532,台勝科,125.5,32.11%,15265,3.93
3576,聯合再生,9.78,9.15%,28408,2.07
4973,廣穎,49.8,32.98%,15866,3.64
5521,工信,26.15,14.69%,29858,2.56
6016,康和證,15.65,19.92%,17262,7.21
6163,華電網,67.2,23.53%,71397,2.42
6182,合晶,36.0,17.26%,28551,2.3
6239,力成,242.0,37.11%,38182,1.88
6257,矽格,127.5,16.97%,34169,1.58
6282,康舒,52.0,27.14%,226828,2.35
6443,元晶,37.5,35.38%,205325,5.57
8064,東捷,55.8,22.5%,16575,2.37
8088,品安,54.8,26.41%,48903,2.52
8996,高力,756.0,31.25%,16037,2.11
9955,佳龍,36.9,16.04%,12063,2.96
