排名,股票代碼,公司產業,公司名稱,大戶持有比例差,大戶增加比例(%),第一天開盤價,期間最高價,期間最低價,最後一天收盤價,周漲幅
1,8088,半導體類,品安,18.1,113.1,46.2,57.8,45.4,53.1,14.9
2,8093,電子零組件類,保銳,44.4,79.9,,,,,
3,6485,半導體類,點序,7.0,36.8,78.9,112.0,78.2,99.3,25.9
4,3060,電子工業,銘異,4.5,33.6,31.9,39.9,31.75,33.15,3.9
5,8028,半導體業,昇陽半導體,9.6,27.1,180.5,207.5,180.5,189.5,5.0
6,4973,半導體類,廣穎,7.8,25.5,38.85,53.3,38.35,49.05,26.3
7,2337,半導體業,旺宏,8.3,21.4,40.55,64.0,40.05,58.3,43.8
8,6443,光電業,元晶,3.7,20.4,28.35,33.6,25.0,31.65,11.6
9,8033,其他,雷虎,5.7,17.8,145.5,166.0,141.5,151.0,3.8
10,4130,生技醫療類,健亞,6.7,16.8,27.65,36.15,27.25,33.25,20.3
11,3025,通信網路業,星通,3.3,14.3,65.0,77.0,62.5,70.9,9.1
12,1414,紡織纖維,東和,12.4,14.2,,,,,
13,4530,觀光餐旅,宏易,8.6,13.4,27.0,29.25,24.75,28.5,5.6
14,8112,電子工業,至上,5.0,13.0,75.5,86.5,73.9,78.0,3.3
15,5351,半導體類,鈺創,3.7,12.9,50.8,63.2,50.3,60.1,18.3
16,8038,電子零組件類,長園科,2.6,12.0,48.3,58.8,48.3,58.5,21.1
17,6187,其他電子類,萬潤,4.3,11.1,369.0,410.0,357.5,370.0,0.3
18,3689,電子零組件類,湧德,3.5,10.4,116.5,133.5,115.5,122.0,4.7
19,1528,電機機械,恩德,3.4,9.0,23.0,23.1,20.8,21.95,-4.6
20,3131,其他電子類,弘塑,3.7,8.5,1575.0,1905.0,1570.0,1790.0,13.7
21,4804,觀光事業,大略-KY,4.4,8.4,8.0,8.5,6.96,6.98,-12.7
22,4916,電子工業,事欣科,2.0,8.4,57.2,61.5,55.5,58.2,1.7
23,6530,通信網路類,創威,1.2,7.9,62.6,63.5,58.0,58.8,-6.1
24,3680,半導體類,家登,3.7,7.0,356.5,448.0,356.0,408.0,14.4
25,1605,電器電纜,華新,4.4,6.6,31.95,40.5,31.7,37.6,17.7
26,7728,其他電子類,光焱科技,3.7,6.1,571.0,630.0,569.0,599.0,4.9
27,3706,電子工業,神達,3.0,6.0,88.3,94.7,86.0,88.8,0.6
28,3006,半導體業,晶豪科,2.9,5.7,119.5,152.0,117.0,136.0,13.8
29,5498,電子零組件類,凱崴,2.2,5.6,51.5,54.6,47.0,51.2,-0.6
30,3374,半導體類,精材,2.9,5.5,141.5,178.0,141.0,170.5,20.5
31,6116,光電業,彩晶,2.4,5.4,7.82,11.65,7.65,10.5,34.3
32,8074,電子零組件類,鉅橡,1.9,5.0,53.8,56.3,45.95,56.3,4.6
33,3498,其他電子類,陽程,2.1,5.0,51.2,56.3,49.75,53.7,4.9
34,2342,半導體業,茂矽,1.8,4.9,28.5,36.15,28.5,32.4,13.7
35,8021,其他電子業,尖點,1.9,4.7,193.5,215.5,180.0,215.5,11.4
36,2233,汽車工業,宇隆,2.4,4.6,219.5,228.5,204.5,209.0,-4.8
37,3048,電子工業,益登,1.9,4.4,42.4,49.65,41.2,41.95,-1.1
38,6770,半導體業,力積電,1.9,4.3,39.85,50.5,39.3,47.5,19.2
39,3535,光電業,晶彩科,1.6,4.2,93.5,104.0,90.5,94.5,1.1
40,3430,化學工業,奇鈦科,1.7,4.2,62.6,81.9,62.0,78.8,25.9
41,2327,電子工業,國巨*,2.4,4.1,232.5,260.0,230.0,241.5,3.9
42,6624,其他,萬年清,2.6,4.0,65.6,68.3,59.0,60.4,-7.9
43,4739,化學工業,康普,1.5,3.8,65.2,72.5,65.2,68.1,4.4
44,2492,電子工業,華新科,2.0,3.8,118.0,134.0,117.5,124.0,5.1
45,3094,半導體業,聯傑,0.6,3.7,23.8,26.3,23.65,24.8,4.2
46,8150,半導體業,南茂,2.4,3.7,47.85,58.3,46.8,58.3,21.8
47,4772,化學工業,台特化,1.9,3.6,325.0,385.0,324.5,375.5,15.5
48,6016,金融業,康和證,1.9,3.6,13.1,15.95,13.05,15.1,15.3
49,2413,電子工業,環科,2.0,3.5,44.8,46.8,41.2,43.0,-4.0
50,1591,電機機械,駿吉-KY,0.8,3.5,51.0,54.6,49.6,50.7,-0.6
