排名,股票代碼,公司產業,公司名稱,大戶持有比例差,大戶增加比例(%),第一天開盤價,期間最高價,期間最低價,最後一天收盤價,周漲幅
1,3167,電機機械,大量,15.6,32.2,213.5,279.5,201.0,271.5,27.2
2,6530,通信網路類,創威,4.1,29.7,63.0,67.8,58.3,66.6,5.7
3,6290,電子零組件類,良維,6.2,13.8,166.0,191.0,157.5,185.5,11.7
4,2337,半導體業,旺宏,6.5,13.4,85.0,98.5,79.5,98.5,15.9
5,2489,光電業,瑞軒,5.1,12.3,22.9,27.7,21.8,27.1,18.3
6,2436,半導體業,偉詮電,2.9,12.3,54.5,61.6,52.0,59.4,9.0
7,6470,通信網路類,宇智,1.7,10.6,53.5,53.9,53.4,53.6,0.2
8,8103,電子工業,瀚荃,5.2,10.6,86.3,109.5,86.3,109.5,26.9
9,3163,通信網路類,波若威,3.8,10.5,468.5,593.0,445.5,589.0,25.7
10,8271,半導體業,宇瞻,4.1,10.4,110.0,125.0,108.5,118.0,7.3
11,6426,通信網路業,統新,4.2,10.1,120.0,155.0,110.0,154.5,28.8
12,3060,電子工業,銘異,1.1,9.3,29.5,31.3,28.7,30.3,2.7
13,6217,電子零組件類,中探針,2.9,9.3,59.0,65.6,54.9,64.1,8.6
14,4967,半導體業,十銓,2.9,8.8,223.0,223.0,197.0,199.5,-10.5
15,6683,半導體類,雍智科技,2.0,7.9,680.0,790.0,630.0,790.0,16.2
16,1815,電子零組件類,富喬,3.1,7.8,93.5,96.6,86.5,96.6,3.3
17,5475,電子零組件類,德宏,3.5,7.4,132.0,163.0,120.0,163.0,23.5
18,2464,其他電子業,盟立,1.9,6.2,68.6,78.6,67.4,71.1,3.6
19,6202,半導體業,盛群,1.9,5.7,47.45,58.2,45.7,56.5,19.1
20,6584,電子零組件類,南俊國際,4.2,5.6,342.0,447.5,340.5,445.0,30.1
21,6651,半導體類,全宇昕,2.2,5.4,98.3,99.6,97.1,99.3,1.0
22,5439,電子零組件類,高技,2.4,5.2,303.5,329.5,287.0,311.0,2.5
23,3209,電子工業,全科,1.7,4.6,35.45,38.0,34.6,37.4,5.5
24,4542,電子零組件類,科嶠,2.5,4.4,129.0,149.0,121.0,142.0,10.1
25,2409,光電業,友達,1.8,4.4,15.3,16.2,14.6,16.15,5.6
26,6213,電子工業,聯茂,2.1,3.8,116.5,124.5,111.0,121.0,3.9
27,2515,建材營造,中工,2.0,3.8,13.9,16.2,13.5,15.8,13.7
28,8088,半導體類,品安,0.8,3.7,52.4,55.5,50.0,50.0,-4.6
29,2740,觀光事業,天蔥,2.4,3.7,44.6,46.8,40.8,42.25,-5.3
30,4927,電子工業,泰鼎-KY,1.1,3.6,32.9,34.2,31.3,33.3,1.2
31,6533,半導體業,晶心科,0.8,3.5,228.0,228.5,217.5,223.0,-2.2
32,8277,半導體類,商丞,0.5,3.4,9.72,9.72,8.85,8.95,-7.9
33,4721,化學工業,美琪瑪,1.1,3.4,64.4,67.8,61.5,64.7,0.5
34,6485,半導體類,點序,0.8,3.4,94.0,95.1,89.5,90.0,-4.3
35,3033,電子工業,威健,1.0,3.3,30.3,31.75,29.75,31.55,4.1
36,8043,電子零組件類,蜜望實,1.8,3.3,72.0,74.0,67.7,69.0,-4.2
37,8390,其他,金益鼎,1.5,3.2,93.1,109.0,90.5,103.5,11.2
38,4130,生技醫療類,健亞,1.8,3.2,30.3,33.7,29.6,32.0,5.6
39,6418,電子零組件類,詠昇,1.5,3.1,33.3,35.9,31.75,34.3,3.0
40,4908,通信網路類,前鼎,1.5,3.1,77.9,79.2,71.4,79.2,1.7
41,3290,電子零組件類,東浦,1.6,2.9,49.55,52.0,46.8,47.7,-3.7
42,6207,電子零組件類,雷科,0.5,2.9,54.8,54.8,50.1,51.0,-6.9
43,3363,通信網路類,上詮,1.3,2.8,428.5,464.0,409.0,456.0,6.4
44,6720,半導體類,久昌,1.4,2.6,171.5,171.5,153.0,166.5,-2.9
45,8033,其他,雷虎,0.9,2.6,136.0,149.0,132.5,148.0,8.8
46,3581,半導體類,博磊,1.6,2.6,68.1,72.2,62.7,72.2,6.0
47,2301,電子工業,光寶科,1.9,2.6,163.0,181.0,161.0,179.5,10.1
48,4577,其他電子類,達航科技,1.7,2.5,56.7,63.0,54.4,59.2,4.4
49,6187,其他電子類,萬潤,1.1,2.4,372.5,394.5,360.0,391.0,5.0
50,4909,通信網路類,新復興,0.6,2.3,54.0,55.2,52.0,52.1,-3.5
